topic_category,community_discussion,facebook,government_response
gratitude,0.0,0.0866,0.0
preparedness,0.0653,0.0159,0.0
forecast analysis,0.3003,0.3379,0.0
evacuation logistics,0.0537,0.0404,0.0
political / FEMA criticism,0.2412,0.0,1.0
misinformation,0.0,0.0,0.0
government resources,0.0019,0.0075,0.0
personal experience,0.3025,0.3393,0.0
emotional response,0.0352,0.1725,0.0
