topic_category,debby,helene,milton
gratitude,0.0706,0.0288,0.0185
preparedness,0.0376,0.0764,0.0379
forecast analysis,0.2545,0.2558,0.3376
evacuation logistics,0.013,0.0425,0.0578
political / FEMA criticism,0.0731,0.1653,0.2091
misinformation,0.0,0.0,0.0
government resources,0.008,0.004,0.0028
personal experience,0.4229,0.3641,0.2599
emotional response,0.1204,0.063,0.0764
