Post,Pos,Neu,Neg,Compound,Overall Sentiment
"Mickey Fay sent me this pic of a waterspout she spotted in Destin when up there last weekend. It was her first waterspout spotting! Nice pic! 
For those that are new to the area, waterspouts are very common over the warm waters around Florida. They can happen around summer storms or even winter cold fronts. Although most of the time they are accompanied by a shower or thunderstorm, sometimes they can form under fair-weather clouds. The majority of these are EF-0 intensity and stay harmlessly out over the water. They should be given space if in a boat. 
Occasionally, these can move onshore. Although they typically weaken quickly when they do, minor damage is possible near the beach lofting beach chairs and umbrellas along with other smaller objects.",0.057,0.898,0.045,0.1739,POS
I'm tracking a tropical wave that's heading toward Florida this weekend,0.0,1.0,0.0,0.0,NEU
"Hey y'all! We've made it to Wednesday. Storms return today with sct'd pop-ups near the coast & heavier coverage just east of I-75. Oh, & guess what, it's gonna be hot & humid! I bet you saw that coming from a mile away.  😂Have a great day!",0.111,0.889,0.0,0.7163,POS
"GEEK ALERT! Ok, this is a little ""in the weeds,"" but I think it's worth the explainer. Other than the main models we show you, such as the American (GFS) and EURO, each model actually has multiple models inside it. These are called ""ensemble runs"" and are typically displayed together.
An ensemble in this case is a variation on the main model run. You take the data that goes into the forecast, tweak one of the parameters and run the model. Then you do the same thing over and over, each time tweaking something else. Each time the result is a slightly different solution. 
When plotted together, the result looks similar to a spaghetti plot. There is a difference though. In a spaghetti plot, each line is a completely different model. In an ensemble, each line is a slightly different result from the same model. Reading them is similar. The wider the spread, the less confidence. The lines also show you the possible variations that could occur in that model as parameters change. 
Below is the latest ensemble run of the EURO. Notice although the lines are spread out wide indicating quite a bit of uncertainty in the current EURO forecast, most of them are east of Florida. This indicates that even if some of the parameters around the storm change, it's still more likely than not, that this stays east of the state. A track to the east would mean we basically get nothing from the system here in the Bay area with less rain than usual in the afternoons because we'd be located on the drier side of the storm.",0.047,0.934,0.019,0.7572,POS
"Well well well....those EURO ensemble tracks...they're now looking a lot more like the American model.
What does that mean? The EURO track has shifted west, back with the American model. This now puts the system to our west this weekend, increasing our rain chances. A track more of the Gulf now also increases the chances for a stronger system as it will track over much warmer water. Folks from the Keys to the Emerald Coast (PCB, Destin, Ft. Walton) need to watch this system as it will impact us this weekend & likely into next week if it tracks up toward the Panhandle.
FYI, for now, neither of the models do anything crazy with the intensity but a tropical storm is definitely in the realm of possibility. Even if the system tracks toward the Panhandle, watches or warnings for the Florida west coast are possible as some impacts from the storm would extend well east of the center. 
Stay tuned! We'll see if this new EURO shift holds overnight.",0.121,0.853,0.025,0.9002,POS
