Comments,NEG,NEU,POS,Compound,Sentiment
for sure. Dude doesn't sleep,0.0,0.635,0.365,0.3182,POS
"We can’t do this without you, Denis Phillips!",0.0,1.0,0.0,0.0,NEU
I don't know that it's healthy for us all to love one man this much but MAN we are so grateful for you. ,0.0,0.661,0.339,0.8673,POS
yes we are! I think this man should receive some sort of award!!!,0.0,0.586,0.414,0.795,POS
I needed that,0.0,1.0,0.0,0.0,NEU
Tell your boss to call me to fill-in if you need a break. ,0.0,1.0,0.0,0.0,NEU
"Love it! 🤣🤣
I worked in broadcasting for 25 years, appreciate your forecasting and your commitment. The area is truly blessed to have you.",0.0,0.52,0.48,0.9485,POS
This is comedic gold,0.0,0.526,0.474,0.4019,POS
"Tell him, Milton is the new boss and once he's fired, you'll be back",0.217,0.783,0.0,-0.5574,NEG
"Don’t give up until the bread it’s done
Nothing it’s going to happen you would see
It’s going to be Cat 2
And everyone are going to be ok
Just run for the water , hide from the winds👍
Continue praying with faith ",0.037,0.801,0.162,0.7003,POS
You’re funny.,0.0,0.256,0.744,0.4404,POS
It was worth a shot!,0.0,0.578,0.422,0.2942,POS
What happened to we're here together 24/7,0.0,1.0,0.0,0.0,NEU
"Thursday you can take off the rest of the week, we promise!🤣 First we have to get Milton out the way.",0.0,1.0,0.0,0.0,NEU
"I feel like we as Floridians should be paying your salary and it should be a lot higher than it is! Thank you for your continuous updates through this. You are the calm in the storm and voice of reason. We truly appreciate you and your hours and hours of effort in keeping us informed and safe!
❤️ a military family who didn’t know anything about hurricanes and Florida but you have walked us through the last few years!",0.0,0.856,0.144,0.8306,POS
I appreciated your “Uncle…uncle…” comment yesterday. Ha,0.0,0.412,0.588,0.6908,POS
 Did a miss a good zinger? Dang it I can’t find it,0.139,0.609,0.252,0.3182,POS
"I mean, surely you could still do a remote broadcast from somewhere safe!! It’s crazy for anybody to stay! Hopefully your building is a protected as Tampa General",0.069,0.577,0.354,0.8713,POS
A couple of DDP'S and you will be back in business. ,0.0,1.0,0.0,0.0,NEU
Thanks for all your hard work,0.169,0.482,0.349,0.3612,POS
I should've done the same for my job ,0.0,1.0,0.0,0.0,NEU
Needed this laugh!,0.0,0.339,0.661,0.5983,POS
"You’ve literally been up for three weeks man, surprised you’re still walking upright. Love ya",0.0,0.681,0.319,0.7269,POS
Diet Dr Pepper PLUS his love for the communities keeps him up. He is simply the best!,0.0,0.633,0.367,0.8655,POS
I mean if anyone deserves a day off in this entire State it's you,0.0,1.0,0.0,0.0,NEU
I hope you feel better soon! Sorry you’re feeling under the weather. ,0.082,0.44,0.478,0.7424,POS
Sense of humor is key. I was in Iraq in 2004 and I could see a young Marine was visibly nervous. All I did was say “we just got a new delivery of banana milk today we have that to look forward to” in that moment he smiled and forgot about why he was scared. Stay positive stay focused but don’t lose your perspective. Because hey at least I don’t need to shave today.,0.093,0.803,0.104,-0.0387,NEU
thank you for your service.,0.0,0.615,0.385,0.3612,POS
"thank you for your service, Mike Roach",0.0,0.706,0.294,0.3612,POS
I asked my son in OH if he thought I should shave my legs today! He thought it might are me more bouyant!,0.0,1.0,0.0,0.0,NEU
Dude I LOVE banana milk. That would definitely perk anyone up,0.0,0.512,0.488,0.824,POS
thank you for your service !!,0.0,0.619,0.381,0.4738,POS
Your boss is leading the charge for sending in Diet Dr. Pepper. ,0.0,1.0,0.0,0.0,NEU
Aht aht aht you going to work today Denis 😂😂😂😂😂 Do you need a ride your FB cousins got you .,0.0,1.0,0.0,0.0,NEU
FB cousins ,0.0,1.0,0.0,0.0,NEU
Don’t you dare! ,0.0,1.0,0.0,0.0,NEU
"I reassured my husband that I have been a student of Denis Phillips since I was young, so I am not panicking and just preparing. Everything will be fine, and we will get through this storm! If we were in an evacuation zone, we would have packed up and driven up north to wait out the storm.",0.0,0.868,0.132,0.7552,POS
"I’m sorry! You’re not allowed during Hurricane Season
🫣🫣😂😂 LOL",0.099,0.61,0.291,0.5461,POS
