Comments,NEG,NEU,POS,Compound,Sentiment
"You stay safe too Denis ❤️ Hope you have a keger of Diet Dr Pepper on stand by!.. Oh heck..go full board.. make that regular Dr Pepper ""-)",0.0,0.804,0.196,0.7263,POS
 full board is 3 shots of whiskey and no Pepper where I come from.,0.167,0.833,0.0,-0.296,NEG
whoaaa really letting your hair down.,0.0,1.0,0.0,0.0,NEU
Just saw video of a tornado crossing I-75 I believe in NW Miami area,0.0,1.0,0.0,0.0,NEU
 broward county,0.0,1.0,0.0,0.0,NEU
Naples Park headed towards Bonita,0.0,1.0,0.0,0.0,NEU
Just took this pic heading to Miami from Tampa. Escaping a hurricane just to run into tornados ,0.0,0.926,0.074,0.0516,POS
oh no!!! Go fast away from that funnel!! Stay safe!,0.153,0.487,0.36,0.453,POS
"May God be with you, and us all",0.0,0.769,0.231,0.2732,POS
Prayers !,0.0,1.0,0.0,0.0,NEU
"omg
",0.0,1.0,0.0,0.0,NEU
The rain has started again here in Sarasota and with it we got some wind. I’m thinking we may be starting to get some outer bands,0.0,1.0,0.0,0.0,NEU
"what can people in new tamp and zephyrhills expect. we are not in an evacuation zone however so many of us are questioning the wind force. Concentration has been put on people closer to the bay, maybe we can have just a little info about us inland people? as always you are awesome Denis!",0.025,0.898,0.077,0.6114,POS
google New Tampa weather- or any city- and it gives all kinds of info. Your area looks pretty tame.,0.0,0.849,0.151,0.4939,POS
"I have, but I like to verify any info I see. Hope noone suffers in this mess",0.302,0.408,0.29,-0.0772,NEG
We are at the KOA in Moore Haven and we saw a small tornado in this mess,0.161,0.839,0.0,-0.4357,NEG
Where is Moore Haven?,0.0,1.0,0.0,0.0,NEU
by Lake Okeechobee,0.0,1.0,0.0,0.0,NEU
Cape Coral in Lee had confirmed tornado,0.0,1.0,0.0,0.0,NEU
When will southern sarasota county see peak surge ?,0.0,1.0,0.0,0.0,NEU
Plant City has light rain for now ,0.0,1.0,0.0,0.0,NEU
Thank you Denis everyone stay safe,0.0,0.426,0.574,0.6597,POS
Had a tornado spawn just northwest of us here in Ft Lauderdale a bit ago,0.0,1.0,0.0,0.0,NEU
I'm watching the eye on my RadarScope app and the shear is literally shredding the Southwest quadrant of the storm.,0.0,1.0,0.0,0.0,NEU
sounds like a cool app,0.0,0.294,0.706,0.5859,POS
Is there a front to keep it from coming up the east coast on way out??,0.0,1.0,0.0,0.0,NEU
Prayers for Florida!!,0.0,1.0,0.0,0.0,NEU
Tornado 🌪️ down on alligator alley.,0.0,1.0,0.0,0.0,NEU
Praying for everyone's safety ,0.0,0.274,0.726,0.6486,POS
Just heard that Polk County will be the first county feeling the storm winds in about one hour. Is that so???,0.0,0.907,0.093,0.2593,POS
Where is the updated track?!,0.0,1.0,0.0,0.0,NEU
What does the yellow area mean?,0.0,1.0,0.0,0.0,NEU
the intensity of the rain,0.0,1.0,0.0,0.0,NEU
Any tornado watch app?,0.0,1.0,0.0,0.0,NEU
How are winds looking for Clearwater... sustained?,0.0,1.0,0.0,0.0,NEU
Right in the line of this,0.0,1.0,0.0,0.0,NEU
Here we gooooooo,0.0,1.0,0.0,0.0,NEU
follow this guy.,0.0,1.0,0.0,0.0,NEU
"So what is ""our area"", is that the arrows you have pointing? What area are you in currently so when you say that, then I will be alerted. Thank you",0.0,0.918,0.082,0.3612,POS
What time is this hurricane making landfall?,0.0,1.0,0.0,0.0,NEU
pretty sure he said 8p.m on a earlier post,0.0,0.522,0.478,0.6705,POS
 thank you!,0.0,0.264,0.736,0.4199,POS
"Don’t let the storm distract you from the fact that
Hector is going to be running 3 Honda Civics with spoon engines. And on top of that he just came into Harry's and he ordered 3 T66 turbos, with NOS, and a Motec system exhaust",0.097,0.863,0.04,-0.3818,NEG
you be safe there soldier,0.0,0.58,0.42,0.4404,POS
you to,0.0,1.0,0.0,0.0,NEU
This is so so scary.,0.527,0.473,0.0,-0.6667,NEG
Finished preparing this morning with a little help.,0.0,0.714,0.286,0.3415,POS
so adorable. Stay safe. God Bless and keep you all safe in every way possible.,0.0,0.405,0.595,0.929,POS
what a cute helper! Sending all the good vibes ,0.0,0.368,0.632,0.8221,POS
Brought a smile even thru this weather catastrophe.,0.37,0.42,0.21,-0.4404,NEG
"so cute!
God bless him!",0.0,0.177,0.823,0.8526,POS
adorable ,0.0,0.0,1.0,0.4939,POS
"Medium rain in Darby, just outside Dade City. We evacuated to the farm.",0.0,1.0,0.0,0.0,NEU
Under our stairwell in our closet,0.0,1.0,0.0,0.0,NEU
thanks for the updates !!,0.0,0.534,0.466,0.5399,POS
"I am pure divine love and light in all the people in Florida… so be it so it is … I am God and I love you ❤️
Read that again slowly with Love ❤️
I am the highest state of health and peace and harmony in all the people in Florida … so be it so it is … I am God and I love you ❤️
Read that again slowly with Love ❤️
I am the highest state of peace and harmony in Florida … so be it so it is … I am God and I love you ❤️
Read that again slowly with Love ❤️
I am pure divine love and light in Milton … so be it so it is … I am God and I love you ❤️
Read that again slowly with Love ❤️
I am the highest state of peace and harmony in Milton … so be it so it is … I am God and I love you ❤️
Read that again slowly with Love ❤️
I am Divine law and judgment in all the people who create Milton and not good weather condition … so be it so it is … I am God and I love you ❤️
Read that again slowly with Love ❤️
I am divine love and light in all people who creates Milton … so be it so it is … I am God and I love you ❤️
Read that again slowly with Love ❤️
You can repeat many time consciously ❤️
Thank you . Infinite love and blessing to all ❤️",0.007,0.587,0.405,0.9991,POS
Now let’s focus on dissipating that!!!!,0.0,1.0,0.0,0.0,NEU
Denis what’s the expected landfall time?,0.0,1.0,0.0,0.0,NEU
 I’ve now heard 8:00pm,0.0,1.0,0.0,0.0,NEU
Denis Phillips wondering the same,0.0,1.0,0.0,0.0,NEU
in one of his last posting he said 8pm. You can check that out ,0.0,1.0,0.0,0.0,NEU
Thankyou,0.0,1.0,0.0,0.0,NEU
