Comments,NEG,NEU,POS,Compound,Sentiment
"Dennis Phillips is becoming a father figure for the Bay Area. Which is exactly what we need right now. We need strength and guidance. Well done.
You are an extraordinary human being. Thank you.",0.0,0.794,0.206,0.7783,POS
Agreed! What an amazing person.,0.0,0.326,0.674,0.7345,POS
 he is indeed,0.0,1.0,0.0,0.0,NEU
Make sure your team is safe too. We don’t need to see live outdoor updates that put reporters and staff in danger. Just keep us posted as possible.,0.101,0.744,0.155,0.2023,POS
I tell our USF families in orientation to only listen to you. They have said how helpful that has been. Thank you!,0.0,0.773,0.227,0.68,POS
"USF Dean of Students yep, that is how this Minnesota Mama found Denis Phillips!",0.0,0.839,0.161,0.3595,POS
Thank you for your continued updates!,0.0,0.642,0.358,0.4199,POS
Thank you for your updates but mainly for your encouragement! We are FLORIDA STRONG and we will get through this! Be kind and help your neighbor!!,0.0,0.508,0.492,0.9695,POS
"Thank you Denis, I am from St,Pete but I live in California now but my kids still live there in Clearwater and Tampa so thank you for the updates I pray everyone is safe!",0.0,0.672,0.328,0.9217,POS
Is it slowing down as it passes through FL since last models then? I’m trying to figure out at what time it will go through Volusia County on the East Coast,0.0,1.0,0.0,0.0,NEU
the estimates I'm seeing are roughly 7-10 hours to cross the state. And it is forecasted to still be at hurricane strength when it re-enters the Atlantic.,0.0,0.89,0.11,0.4939,POS
"Thursday afternoon, the wind wraps back on shore on the east coast, still a cat 1",0.0,1.0,0.0,0.0,NEU
we will try and slow it down for you here in St Pete..,0.0,1.0,0.0,0.0,NEU
Traveling to Miami Thursday. Not sure where this falls in proximity to the storm and wondering how much the area will be affected if at all?,0.129,0.871,0.0,-0.374,NEG
"that will most likely cancel, that should at least be your expectation",0.172,0.828,0.0,-0.3134,NEG
we are fine here in Miami. Welcome to Miami,0.0,0.593,0.407,0.5859,POS
... traveling from where? And by what method? If flying... check the airline. The storm is rolling through the middle of the state on Thursday. If driving... please don't If you are coming from north of the storm track.,0.0,0.935,0.065,0.3939,POS
miami is not supposed to be affected at all,0.167,0.833,0.0,-0.1531,NEG
you should be ok.,0.0,0.577,0.423,0.296,POS
I’ve planned and prepared. When can I freak out?,0.269,0.556,0.176,-0.25,NEG
most likely in the middle of the night when you are suppose to be sleeping. That's when I'm saving it for at least,0.0,1.0,0.0,0.0,NEU
" let it out gurl.
",0.0,1.0,0.0,0.0,NEU
Rule #7. When Denis does.,0.0,1.0,0.0,0.0,NEU
the wind will let you know,0.0,1.0,0.0,0.0,NEU
 does pacing in circles count?,0.0,1.0,0.0,0.0,NEU
 I've already begun freak out mode,0.367,0.633,0.0,-0.4404,NEG
"When Jim Cantore sets up in your town, you can panic.",0.248,0.752,0.0,-0.5106,NEG
Denis Phillips what can we expect in the Wesley Chapel area??,0.0,1.0,0.0,0.0,NEU
"strong winds, power outage, maybe floods if you're near water, below sea level",0.0,0.784,0.216,0.5106,POS
Thank you for all you’re doing to keep us informed & as prepared as possible. #RuleNumber7,0.0,0.747,0.253,0.5267,POS
RIP Rule #7 ,0.0,1.0,0.0,0.0,NEU
I’m not trying to be a jerk but nobody predicted it was going to get so intense so fast. How do we know it’s really going to weaken? Just an honest question. Thank you ,0.133,0.642,0.225,0.6144,POS
"what’s that saying? Prepare for the worst, hope for the best. IMHO, trying to guess what will happen is needlessly anxiety-producing because no one knows, right? Here’s my mantra: do the best I can to make sure that I and my pets are safe; do the best you can to make sure necessary documents and, to the extent possible, anything truly irreplaceable is safe; don’t glue myself to news or Weather Channel; charge all devices; and download some audiobooks and podcasts to distract me during the actual storm. What more can we reasonably do?",0.072,0.679,0.249,0.9676,POS
"I've been thinking the same thing. I know mother nature is unpredictable but this thing strengthened way more than they predicted and the words they use for it to weaken are all that it ""might"". Fearing this one.",0.188,0.732,0.08,-0.7227,NEG
" based on weather it will hit along the way. Either way, impact is impact. Protect yourself no matter what.",0.1,0.731,0.169,0.128,POS
"that’s what I’m trying to figure out
",0.0,1.0,0.0,0.0,NEU
EXACTLY.,0.0,1.0,0.0,0.0,NEU
 no way to know 100 percent.,0.306,0.694,0.0,-0.296,NEG
 it has been predicted to get intensity since last night… then calm down just prior to hitting the coast.,0.0,0.887,0.113,0.3182,POS
Boarding up. First time since we moved here 3 years ago. That surge from Helene showed us…,0.0,1.0,0.0,0.0,NEU
been in 50 years. This is my second time boarding up. 😊 I just hope it's enough for this one.,0.0,0.854,0.146,0.4404,POS
" Hey Jennifer, just sent you a message! I'm with CBS News and would love to hear more about your story",0.0,0.8,0.2,0.6696,POS
where’s your location?) stay safe,0.0,0.58,0.42,0.4404,POS
"By the power of the Holy Spirit, we kneel and ask for Jesus’ hand to calm this storm. Jesus, we trust in You. Amen",0.0,0.656,0.344,0.8591,POS
amen. Blessed candles and all! Thank you St. Marks!,0.0,0.501,0.499,0.7896,POS
Amen!,0.0,1.0,0.0,0.0,NEU
 in Jesus name Amen ,0.0,1.0,0.0,0.0,NEU
 that's what I have been saying. We pray for him to calm this storm,0.0,0.705,0.295,0.5574,POS
"If direct hit on Tampa Bay what winds do we expect in Wesley Chapel?
",0.0,1.0,0.0,0.0,NEU
if as predicted as cat 3 expect a little over 100mph,0.0,1.0,0.0,0.0,NEU
Was wondering the same for that area…,0.0,1.0,0.0,0.0,NEU
