Comments,NEG,NEU,POS,Compound,Sentiment
My family who is from the midwest was to fly down to PIE on Thursday to celebrate my mom's 80th birthday!!! Our flights were canceled yesterday,0.0,0.845,0.155,0.6784,POS
Be thankful its been canceled BEFORE you left instead of being stranded here to ride out the storm,0.0,0.821,0.179,0.5719,POS
too bad but you are not the only one,0.22,0.78,0.0,-0.3071,NEG
"Some of the airports were busy trying to fly people out of FL, to safety.",0.0,0.833,0.167,0.4215,POS
they’re better off where they are,0.0,0.633,0.367,0.4404,POS
lucky for you to have been spared being here,0.0,0.741,0.259,0.4215,POS
"Denis, your commitment to your fellow citizens is beyond extraordinary. Thank you!",0.0,0.65,0.35,0.6588,POS
 I don’t know what we are going to do when Denis Phillips retires ,0.0,1.0,0.0,0.0,NEU
"we move out of Florida LOL.
",0.0,0.586,0.414,0.5473,POS
sounds good to me! Unless he can refer someone he trusts 100%.,0.0,0.614,0.386,0.7424,POS
We dont talk about bruno,0.0,1.0,0.0,0.0,NEU
How about MCO??,0.0,1.0,0.0,0.0,NEU
Anything in PBI?,0.0,1.0,0.0,0.0,NEU
they will closed Wednesday,0.0,1.0,0.0,0.0,NEU
What about MCO ?,0.0,1.0,0.0,0.0,NEU
I saw a post saying MCO was closing on Wednesday. I’ll see if I can find it again.,0.0,1.0,0.0,0.0,NEU
than you for the update.,0.0,1.0,0.0,0.0,NEU
"I'd just continue to check their Facebook page for now. I'm sure they will shut down at some point, for a time.",0.0,0.897,0.103,0.3182,POS
"Just tried to book flights out for my daughter and grandkids,no flights to Michigan until the 13th, looks like no flights out anywhere till then from allegiant",0.074,0.842,0.084,0.0772,POS
"I enjoy you the most on my tv for weather, you are the best!!!",0.0,0.571,0.429,0.851,POS
Thank you! I have a flight leaving from PIA Friday at 640am. What are the chances it will be cancelled? How would I even know? I can’t get through to anyone at the airport,0.059,0.795,0.146,0.4501,POS
Allegiant should have an app. Enter flight info and you will get all the updates.,0.0,1.0,0.0,0.0,NEU
 they are gonna have to wait and see how the airport makes it through. The app will notify you if your flight is canceled as well as email.,0.0,0.928,0.072,0.2732,POS
"I’m flying out as well, per their app it should be leaving on time.",0.0,0.861,0.139,0.2732,POS
what airline are you flying? Call them.,0.0,1.0,0.0,0.0,NEU
flightaware,0.0,1.0,0.0,0.0,NEU
I'm going to guess 100%,0.0,1.0,0.0,0.0,NEU
"What about fort myers airport
",0.0,1.0,0.0,0.0,NEU
 most likely stay open,0.0,1.0,0.0,0.0,NEU
thank you friend !!!!,0.0,0.226,0.774,0.7825,POS
My daughter had a 7pm flight out of Tampa tomorrow and just made decision to drive home to VA within minutes of Tampa airport statement. 🙏🏻🙏🏻 for everyone fleeing and those hunkering down!,0.0,1.0,0.0,0.0,NEU
 i-75 North and miserable around Orlando. My husband needed to go toward Melbourne but gave up and came home after sitting in traffic,0.087,0.913,0.0,-0.2732,NEG
thanks,0.0,0.0,1.0,0.4404,POS
" i’m so glad I made the decision to fly my daughter home to Delaware yesterday. Prayers to your daughter, making the drive.",0.0,0.859,0.141,0.5095,POS
traffic horrible. Tell her to get gas when she can on way home and don't let it get low,0.248,0.752,0.0,-0.6808,NEG
thanks! Traffic is bad already! Where exactly?,0.341,0.417,0.242,-0.2924,NEG
Excellent advice!,0.0,0.2,0.8,0.6114,POS
at least she’s going in the right direction…,0.0,1.0,0.0,0.0,NEU
Have you seen a closing time for MCO in Orlando? I have my daughter flying out of there tomorrow morning.,0.0,1.0,0.0,0.0,NEU
also wondering!,0.0,1.0,0.0,0.0,NEU
