Comments,NEG,NEU,POS,Compound,Sentiment
Safe in south end of Lakeland,0.0,0.633,0.367,0.4404,POS
HUGE jump directly north. What does this mean???,0.0,0.662,0.338,0.5534,POS
where did you see this??,0.0,1.0,0.0,0.0,NEU
where is it coming out of with this jump,0.0,1.0,0.0,0.0,NEU
can anyone confirm this please,0.0,0.604,0.396,0.3869,POS
the latest update from nhc says it’s moving north-northeast. Hope it shifts to east-northeast soon!,0.0,0.814,0.186,0.4926,POS
still showing this on Zoom Earth.,0.0,1.0,0.0,0.0,NEU
whens the next update? Where is it coming out of?,0.0,1.0,0.0,0.0,NEU
"oh, wow!",0.0,0.196,0.804,0.6239,POS
" it's wanting to go to Tampa, all the models have been showing this.",0.0,1.0,0.0,0.0,NEU
 should be a 2 pm update soon. I get them on nhc.noaa.gov,0.0,1.0,0.0,0.0,NEU
 it’s going to make landfall in St. Petersburg as of now.,0.0,1.0,0.0,0.0,NEU
Is it me or do the tornadoes warnings seem to be moving more north as the hurricane comes ?,0.115,0.885,0.0,-0.296,NEG
 it definitely is and do u see how many there are atleast 4 moving in straight line,0.0,0.739,0.261,0.5574,POS
I’m so glad someone responded !! Thank you so much ! I thought it was just me !! It’s crazy .. how they are moving like that.,0.073,0.639,0.288,0.7941,POS
"Is it just me or does the live radar show this coming through way north of what they are saying , I’m in new port richey and looks like the further radar shows it going straight through there with all the worst weather ?",0.086,0.821,0.093,-0.1779,NEG
I’m out of power already in Sun city center since 1:31,0.0,1.0,0.0,0.0,NEU
Yes Indian River Country Know.,0.0,0.597,0.403,0.4019,POS
Picture taking from Sawgrass Atlantic Trail Entrance,0.0,1.0,0.0,0.0,NEU
"It would be nice to have a stress free day off, but NO..... this has to be happening",0.095,0.702,0.203,0.2846,POS
needs to go south when it lands it could go south,0.0,1.0,0.0,0.0,NEU
Denis Phillips when are you coming back on ABC??,0.0,1.0,0.0,0.0,NEU
Up to minute amateur radio relay tornado warnings. Can just have it playing in background: ,0.129,0.765,0.106,-0.1027,NEG
So many in Okeechobee already,0.0,1.0,0.0,0.0,NEU
