Comments,NEG,NEU,POS,Compound,Sentiment
"Honestly I’m glad, it gives people the opportunity to evacuate earlier and have clearer minds to prepare and to leave. Even if it feels excessive, sometimes extreme caution is necessary. For students, staff and teachers alike.",0.029,0.762,0.21,0.8225,POS
exactly! When we act like things are normal in every day life leading up to the day before a hurricane we don’t take it as seriously and/or feel like we can’t properly prepare because of our obligations. It’s smart to cancel. I’m not staying for this one. We will prep the house and then move inland.,0.06,0.81,0.13,0.6476,POS
They do this to get the schools ready to be shelters. Because people will be needing to enter the shelters on Tuesday.,0.0,0.894,0.106,0.3612,POS
they use the schools for shelters....need a day to set up..,0.0,1.0,0.0,0.0,NEU
now if only workplaces can give us enough notice like this.,0.0,0.8,0.2,0.3612,POS
exactly and to open schools maybe for shelter . God be with us,0.0,0.84,0.16,0.2732,POS
Exactly. I would want to leave as early as possible. I don't want to leave Tuesday night with everyone else.,0.126,0.737,0.137,0.0516,POS
but they have them returning the day after! No time to get back if evacuation was needed or time to clean school shelters! They would have to leave Wed so things could get cleaned and people our is them for us to return,0.097,0.829,0.074,0.2579,POS
We have been preparing already.,0.0,1.0,0.0,0.0,NEU
Ugh. Iowa Grandma’s… begin your worrying!,0.579,0.421,0.0,-0.6696,NEG
 our Iowa and Nebraska grandmas follow Dennis on FB!,0.0,1.0,0.0,0.0,NEU
haha I’m an Iowa Mom but moved there from Florida so it’s a balanced worry,0.233,0.658,0.11,-0.5016,NEG
MN too!,0.0,1.0,0.0,0.0,NEU
yes  thankful my 7 month pregnant daughter & my 21 month old grandson are flying home to IL tomorrow with us,0.0,0.726,0.274,0.7506,POS
Hey everyone… just follow Denotes s and remember his Rule 7!!!! Right?!?!?!,0.0,1.0,0.0,0.0,NEU
"my grandmother has called 2x today so far, trying to convince me to leave.",0.079,0.789,0.132,0.2023,POS
 Illinois mom here. I’m scared to death,0.576,0.424,0.0,-0.7783,NEG
 i’m from iowa and my daughter lives in st. pete’s so i follow him now,0.0,1.0,0.0,0.0,NEU
"I imagine schools will be closed the entire week. Many schools will be used as shelters. So they will need to be prepped before the storm. Then they will need to be cleaned before students and staff come back. And depending on how bad this storm is, it may be longer if people stay at the schools as shelters.",0.058,0.942,0.0,-0.5423,NEG
I agree. I can’t imagine they would make the bus drivers drive over fallen trees and downed telephone wires as well as pools of water.,0.092,0.738,0.17,0.2732,POS
Going on the 3rd week of no school here,0.216,0.784,0.0,-0.296,NEG
What’s crazy is that Hillsborough Community College is still open on Monday and they haven’t canceled the rest of the days either and on top of that they told us to plan accordingly because there will be no parking.,0.108,0.849,0.042,-0.4215,NEG
ridiculous. Evacuations have been recommended and preparations need to be made beginning tomorrow. Tuesday is too late. I’m sorry you go to a school that is so insensitive.,0.202,0.74,0.058,-0.541,NEG
 hoping you're getting compensated well for all the extra hours covering these storms!,0.0,0.679,0.321,0.636,POS
Yes! And thank you so much for the great coverage,0.0,0.422,0.578,0.8622,POS
Thankful that some or most are being proactive. I retract my statement about why it is happening so soon being that I was raised in Tampa.,0.0,0.765,0.235,0.7759,POS
