Comments,NEG,NEU,POS,Compound,Sentiment
Thank you for your constant updates Denis Phillips your data driven voice in this stress is appreciated 🙏 my family is in Sarasota and friends all over the State and have seen so many resources pouring in all over the State ! Praying for you all from Australia,0.058,0.733,0.209,0.8147,POS
"Yes, thank you so much for all the updates. I am in Indiana and my mother in law is in Venice. She is staying in her condo. I have been watching your page for a few days now. Thank you!!! Praying for all!",0.0,0.76,0.24,0.8852,POS
thank you so much for prayer. We are in Lakeland Fl in a senior community.,0.0,0.839,0.161,0.3612,POS
Thank you Lisa. Feel so blessed to receive your support and prayers. Love 💕 to you and your beautiful country.,0.0,0.434,0.566,0.9601,POS
"Thank you for your constant updates , it helps us all clear our heads and know what to expect. We appreciate you Dennis ! We will get through it everyone. Just be safe, turn around don’t drown and if they tell you you need to leave a flood zone you should . A lot of hurricane deaths are avoidable .",0.075,0.718,0.208,0.8268,POS
gas is now a problem. I saw a reel of someone in Tampa and they stated they couldn’t leave due to no gas anywhere.,0.253,0.747,0.0,-0.6249,NEG
That is our problem as well. We wouldn't make it to Georgia without a gas stop.,0.144,0.642,0.213,0.0742,POS
I’m in largo and TERRIFIED we are in a non evac zone but they are telling Tampa to leave or die and we are directly infront of them I have a small child and I’m not sure what to do I feel like the worst mom…,0.31,0.633,0.057,-0.9367,NEG
" if you have somewhere safe to evacuate to, and you're able to, then do what you need to keep you and your baby safe",0.0,0.791,0.209,0.7003,POS
how far are you from Disney? Try going there. They may let you in at one of their resorts to shelter in place. It’s worth a try. I would certainly do what I could to move inland. Praying for you and your family.,0.0,0.845,0.155,0.7003,POS
"you might try getting into a shelter, but, check first, with the 5 am and later reports. Wish you the best!",0.0,0.638,0.362,0.892,POS
Thank you everyone!!!!,0.0,0.353,0.647,0.5673,POS
ever hear better safe than sorry…error on the side of caution and go somewhere a bit safer.,0.0,0.602,0.398,0.8225,POS
 you should leave. I think that's pretty clear. Good Luck.,0.071,0.237,0.692,0.8885,POS
we are in Largo also non evacuation zone 50 feet above sea level. I think we are ok especially if it’s moving south.,0.0,0.905,0.095,0.296,POS
try to at least get to the local shelter to ride it out.,0.0,1.0,0.0,0.0,NEU
praying for you and your baby!!,0.0,0.619,0.381,0.4738,POS
Can you go to a shelter,0.0,1.0,0.0,0.0,NEU
This showed up in my feed this morning...... I wondered how I missed a whole hurricane inbound ,0.145,0.855,0.0,-0.296,NEG
"What about weakening prior to landfall, is that still projected to happen? I feel like we’re not talking about that anymore😭",0.101,0.789,0.11,0.0516,POS
"I am from Puerto Rico. Having lived near the beach, I've survived many hurricanes. Every hurricane follows its own path. There's no one else in charge. Things can change at any moment. Meteorologists are there to inform and save lives under their human circumstances. It's appreciated by us all. Thank you DP. We got this. God bless you and keep us all safe. Florida is blessed and beautiful. We will rise stronger.",0.024,0.645,0.331,0.981,POS
"from what I remember, I think the weakening is supposed to happen sometime TODAY. I think the 11pm update was a little too soon to show it weakening. I could be wrong, but God I hope I’m right!",0.137,0.69,0.174,0.5334,POS
 please be safe!!!!,0.0,0.366,0.634,0.5374,POS
this!!! ,0.0,1.0,0.0,0.0,NEU
no it's not. And they shouldn't be talking about it anymore. They've underestimated this storm every single step of the way.,0.185,0.815,0.0,-0.5106,NEG
EXACTLY! Are other people just not seeing this?,0.0,1.0,0.0,0.0,NEU
that 8pm cat 3 marker has changed to cat4,0.0,1.0,0.0,0.0,NEU
agreed,0.0,0.0,1.0,0.2732,POS
" It's the 2nd Sentence in the OP. ""Slow weakening should begin through landfall.""",0.158,0.753,0.089,-0.25,NEG
"Glad im not the only left feeling like Dennis just isn't explaining much on this update about the weakening...
Could be he just doesn't know and I don't blame him for not knowing as mother nature does what it wants..",0.0,0.795,0.205,0.7927,POS
"So no one else can sleep either. Got it.
",0.238,0.762,0.0,-0.3597,NEG
 no I tried to sleep. I just woke up in a big panic. I am very very scared right now.,0.408,0.592,0.0,-0.839,NEG
"nope. I’m over here on the east coast. I got some sleep but not a lot.
It comes in increments.",0.0,1.0,0.0,0.0,NEU
nope. My kids and mom are while I'm prepping for our first hurricane!,0.0,1.0,0.0,0.0,NEU
"Girl, no sleep and my stomach is in knots!",0.238,0.762,0.0,-0.3595,NEG
wish I could,0.0,0.27,0.73,0.4019,POS
nope,0.0,1.0,0.0,0.0,NEU
still up but my sleep schedule has been a nightmare for a very long time.,0.0,1.0,0.0,0.0,NEU
 not at all,0.0,1.0,0.0,0.0,NEU
"Do you see it remaining a 4 at landfall? Or still down to a 3 right before?
(Thank you Denis 🙏🏻)",0.0,1.0,0.0,0.0,NEU
Denis why are others saying a north track? Do you agree? Thank you for all that you do,0.0,0.737,0.263,0.6553,POS
