Comments,NEG,NEU,POS,Compound,Sentiment
We went right past this. It was scary. Headed to South Beach Miami,0.211,0.789,0.0,-0.4939,NEG
be safe,0.0,0.256,0.744,0.4404,POS
we are love. Did yall evacuate?,0.0,0.543,0.457,0.6369,POS
no we chose to stay. We live inland in Valrico. We do not live in an evacuation zone. We do have supplies in case of any power outages. I pray for us all. ,0.064,0.87,0.067,0.0258,NEU
yes. Please stay safe. We are headed to South Beach Miami as we speak. God bless us all and the State of Florida,0.0,0.584,0.416,0.8957,POS
" thank you
",0.0,0.286,0.714,0.3612,POS
When does Denis come back on ABC with updates today?,0.0,1.0,0.0,0.0,NEU
"We have to let him get a little sleep. (not much, I am sure)",0.0,1.0,0.0,0.0,NEU
I’m already without power in St. Pete. This is gonna be a long day/night.,0.0,1.0,0.0,0.0,NEU
Where is the expected landfall is gonna be,0.0,1.0,0.0,0.0,NEU
"According to a map I saw a few minutes ago, it looks (map isn't marked clearly enough) South Sarasota towards Osprey. But an hour ago it showed Longboat key. So it's wobbling around.",0.053,0.947,0.0,-0.1603,NEG
ok thanks,0.0,0.0,1.0,0.6249,POS
"where did you see this...I'm seeing tampa bay ,Bradenton area or north sarasota",0.0,1.0,0.0,0.0,NEU
The link to the map above,0.0,1.0,0.0,0.0,NEU
Red line.,0.0,1.0,0.0,0.0,NEU
thank you,0.0,0.286,0.714,0.3612,POS
"The monsters' proportions in the Bay are so abnormal, there's no way you can change my mind",0.133,0.867,0.0,-0.3535,NEG
Don’t give them any ideas!,0.0,1.0,0.0,0.0,NEU
FYI thinking of you and family! ,0.0,0.639,0.361,0.4263,POS
thank you - you as well. Stay safe.,0.0,0.348,0.652,0.7579,POS
Thank you,0.0,0.286,0.714,0.3612,POS
"Yay. What’s next? Wildfires, landslides, blizzards? Bring it on! Milton, you’re a real SOB 😡
Stay strong, everyone! Thank you Denis Phillips for keeping it real",0.083,0.608,0.309,0.8132,POS
the tornadoes are the scariest part of the hurricane,0.0,1.0,0.0,0.0,NEU
 well it is lake placid so my money is on gator-nado. For real tho stay safe out there people!!,0.0,0.753,0.247,0.6792,POS
 I was going to say locusts !,0.0,1.0,0.0,0.0,NEU
blame the SOB’s that manipulated this,0.556,0.444,0.0,-0.6124,NEG
