Comments,NEG,NEU,POS,Compound,Sentiment
Everyone line up and we all blow on the count of three go away Milton,0.0,1.0,0.0,0.0,NEU
"I was thinking the same thing!
",0.0,1.0,0.0,0.0,NEU
"Nice one , can I share this ?",0.0,0.375,0.625,0.6124,POS
OMG ,0.0,1.0,0.0,0.0,NEU
YES!!!!!!,0.0,1.0,0.0,0.0,NEU
"I’m from Delaware and stumbled upon this page to follow. I’ve been glued. We are all
praying for you guys. All of us.
From human to human - Try to take a deep breathe. Try to gather yourself. Get a little rest if possible. At the end of the day, you will be okay. There is nothing you can’t handle. Nothing. Promise.",0.031,0.898,0.071,0.3481,POS
" thank you, we need all the prayers we can get!",0.0,0.763,0.237,0.4199,POS
thanks for the words of encouragement ( but at 77 and 80) we don't have enough time to rebuild all that lol,0.0,0.705,0.295,0.7615,POS
Ty for this. Nicely written,0.0,0.353,0.647,0.6705,POS
I bet this makes you wanna move here ,0.0,1.0,0.0,0.0,NEU
thank you for the kind words.,0.0,0.404,0.596,0.7096,POS
"seriously? People died in last weeks hurricane which was only a 3. Well, not “only” but I mean compared to this…",0.172,0.755,0.073,-0.2732,NEG
thank you for your prayers.,0.0,0.615,0.385,0.3612,POS
"Lord, we are ready for your miracle here.",0.0,0.488,0.512,0.743,POS
"yes Lord Jesus we need a miracle right now
",0.0,0.48,0.52,0.7579,POS
good luck with that,0.0,0.253,0.747,0.7096,POS
 YES and AMEN,0.0,0.368,0.632,0.5319,POS
 amen,0.0,1.0,0.0,0.0,NEU
Amen!,0.0,1.0,0.0,0.0,NEU
Storm be still,0.0,1.0,0.0,0.0,NEU
Come on shear! Come on cold front!!!!! Take on Milton,0.0,1.0,0.0,0.0,NEU
Praying hard here.,0.286,0.204,0.51,0.2732,POS
we have a prayer group believing for exactly this!!! Stand in agreement ,0.0,0.71,0.29,0.6219,POS
what is shear? It sounds like a good thing,0.0,0.526,0.474,0.6597,POS
Lord we pray,0.0,0.465,0.535,0.3182,POS
I’m believing God for a miracle,0.0,0.337,0.663,0.7096,POS
I’m in agreement! Thank you God!!,0.0,0.257,0.743,0.826,POS
Storms often weaken and then re-intensify. I wouldn’t let your guard down. I have a bad feeling about this one and I’ve lived here my entire life and I’ve never evacuated. I’m even considering evacuating this time. Prayers for all involved in this. Prioritize your life over your possessions…,0.124,0.846,0.03,-0.7003,NEG
"same! I’ve been here since 2008, never really worried about any of our hurricanes, this one has me a little on edge",0.0,0.893,0.107,0.3393,POS
please evacuate. This is serious.,0.197,0.455,0.348,0.25,POS
My family is evacuating from Orlando. We also don't have a good feeling about this one. We are parked on I75 as I type this.,0.152,0.848,0.0,-0.4168,NEG
I'm afraid of running out of gas & being stuck. I don't see the news sharing that there are no problems like that.,0.245,0.567,0.188,-0.1531,NEG
where do you live,0.0,1.0,0.0,0.0,NEU
"Same here!
",0.0,1.0,0.0,0.0,NEU
"Enough of the worry, let’s just get this over with!",0.262,0.738,0.0,-0.4926,NEG
