Comments,NEG,NEU,POS,Compound,Sentiment
"Lived here in Sarasota in the same little concrete block house for 26 years and always felt safe, but this one…it’s sooo unsettling. Anxious but hopeful. So extremely thankful for your updates Denis!!!",0.095,0.615,0.29,0.8973,POS
Trust the little house that has protected you for 26 years. The uncertainty is in flooding. Not so much wind. My house made of wood survived Ian with 155+ mph winds in north port.,0.057,0.716,0.227,0.7964,POS
your staying?? We are but I’m not happy about this one,0.303,0.697,0.0,-0.655,NEG
I feel for you guys down there. Knowing you guys were getting the surge regardless I hope zone a people left already,0.0,0.861,0.139,0.4404,POS
"It’s so weird not to see the numbers 3 and 2 .
Cat 4 straight to 1.
I know this is silly but I’m just trying not to let my overthinking brain do its usual",0.048,0.871,0.081,0.0009,NEU
"Oh i just learned why.
It will be a cat 4 upon arrival . Wow.",0.0,0.725,0.275,0.5859,POS
 its broken up into 12 hour periods. Regardless of the strength. Will still likely be a 3 at landfall but we will see,0.089,0.821,0.091,0.0129,NEU
 I was wondering the same thing since the projection has been a three that's hitting .. not a four!,0.0,1.0,0.0,0.0,NEU
"Denis, is this map trying to tell us it's now going to be a four when it hits florida, instead of a three that everybody's been projecting for the last few days?",0.0,1.0,0.0,0.0,NEU
Praying for all Florida! ,0.0,0.518,0.482,0.4199,POS
same,0.0,1.0,0.0,0.0,NEU
"Irma went from 4 at landfall, then 3 at marco Island and when it crossed central florida ( I was in downtown Orlando that year) came as a low 2.",0.08,0.92,0.0,-0.2732,NEG
"Most recent, I read it will hit as a 4 and then weaken...hope not ",0.0,1.0,0.0,0.0,NEU
I lived through Andrew too. Awful,0.429,0.571,0.0,-0.4588,NEG
absolutely. Just went through the eye of Helene in the Middle of Georgia. Never again. We thought it would be further west Lots of damage. Long power outages scary.,0.192,0.808,0.0,-0.7506,NEG
Denis Phillips what could we expect in Clearwater about 4 miles away from the beach?,0.0,1.0,0.0,0.0,NEU
"I believe the further north you are of the storm, it will actually pull water away from you which is a good thing",0.0,0.873,0.127,0.4404,POS
"4 miles from the beach. U should be good. I’m in BelleAir. From the looks of it,, Weve had winds and rainstorms similar to what we are going to get on Thursday
My guess.",0.0,0.914,0.086,0.4404,POS
 I would’ve gotten out of there at least by yesterday,0.0,1.0,0.0,0.0,NEU
"wind gusts 70s and rain
",0.0,1.0,0.0,0.0,NEU
should have left,0.0,1.0,0.0,0.0,NEU
What Zone are you in? ABC are mandatory evacuation and could see storm surge. You need to go inland if you're in that area. It doesn't even have to be far.,0.0,0.958,0.042,0.0772,POS
Clearwater beach won’t be open for a while as will any on the west coast,0.0,1.0,0.0,0.0,NEU
" do you know what zone you are in? If a,b, or c, you are in mandatory evacuation",0.0,0.925,0.075,0.0772,POS
you must be in zone B or C. I doubt you are in D. Did you check your zone by address?,0.122,0.878,0.0,-0.3612,NEG
are you in a mandatory Evacuation zone?,0.0,0.794,0.206,0.0772,POS
What do you see as far a winds for Hernando if this this track holds???,0.0,1.0,0.0,0.0,NEU
"Not much, you’re more than an hour north. Some decent gusts and rain but that would be about it.",0.0,1.0,0.0,0.0,NEU
tropical storm winds and rain.,0.0,1.0,0.0,0.0,NEU
"Probably less then what we saw from Helene
",0.0,1.0,0.0,0.0,NEU
53 mph,0.0,1.0,0.0,0.0,NEU
We’re getting hurricane force winds regardless due to the shear size of the wind field. I hate this thing.,0.179,0.821,0.0,-0.5719,NEG
"he went over winds hour-by-hour during the 7pm Live
It’s on this page scroll down",0.0,1.0,0.0,0.0,NEU
these are gusts. Sustained wind- you should be in the clear that far north. If there’s a major shift on landfall… well- who knows.,0.0,0.817,0.183,0.5719,POS
"Forever grateful for your steadfast work and updates, Uncle Denis. Thank you.",0.0,0.545,0.455,0.7579,POS
This is too much! Just wake me up when it’s over. I do applause all the weatherman social workers and for responders helping everyone out. It’s just so confusing and makes me so nervous. I pray we get through this together.,0.111,0.722,0.167,0.3895,POS
What about Polk county (Lakeland),0.0,1.0,0.0,0.0,NEU
 I've been looking at the track on the NOAA site and this 11 pm update barely shifted passing thru Bowling Green so I think nothing changes for Lakeland,0.0,1.0,0.0,0.0,NEU
Denis has shown that. Watch his live streams. They are available after the stream is over. He answers all the questions there. He will not respond ib comments very often.,0.0,1.0,0.0,0.0,NEU
"rarely does anyone ever reference Lakeland, it’s always Tampa and Orlando like Lakeland doesn’t exist",0.0,0.848,0.152,0.3612,POS
The sheriff's going to shoot the hurricane if it comes that way.,0.179,0.821,0.0,-0.34,NEG
wondering same. They never give us what kind of conditions we might have here and it keeps changing. There was a 2 over Polk then it disappeared and now there’s a 1. I’d like to know what Cat we’re gonna experience in our area. Everything’s focused on the coasts.,0.038,0.86,0.102,0.4939,POS
according to his Live you will still get hurricane force winds. This may shift slightly south but most of the bad weather will be on the north side of the storm.,0.146,0.854,0.0,-0.7307,NEG
"What should we expect in Pasco, approx 83 miles from Sarasota",0.0,1.0,0.0,0.0,NEU
"Hurricane Milton is expected to impact the Pasco County area from **8 p.m. Wednesday through 8 a.m. Thursday**. During this period, the storm will bring heavy rains, strong winds, and dangerous storm surges Hurricane Milton intensifies 'explosively' as it nears Florida.
Praying for you and your family! ❤️ stay safe and evacuate if you can!",0.05,0.801,0.149,0.7339,POS
What would you expect Brevard County to experience with this storm?,0.0,1.0,0.0,0.0,NEU
"You all are under tropical storm conditions. If it shifts further south, I would think logically it would be like what is currently forecast for the middle of the east coast. Check your local meteorologist and local government FB pages.",0.0,0.938,0.062,0.3612,POS
" In Brevard County, Hurricane Milton is expected to bring conditions equivalent to a **Category 1 hurricane** late Wednesday or early Thursday. You can anticipate sustained winds of **74-95 mph**, **heavy rainfall** of 5 to 8 inches, and possible flooding, especially in low-lying areas. Coastal regions may experience battering surf and minor storm surge. A state of emergency has been declared, and shelters are opening to accommodate residents seeking safety [oai_citation:2,Gov. Ron DeSantis Declares State of Emergency for Brevard County Ahead of Hurricane Milton - Space Coast Daily]",0.06,0.907,0.033,-0.34,NEG
Will it still be a category three at landfall?,0.0,1.0,0.0,0.0,NEU
"Wondering the same, so frustrating how they’re not showing the cat at landfall in this update",0.2,0.8,0.0,-0.5777,NEG
 heard it will stay a hurricane all the way across Florida.,0.0,1.0,0.0,0.0,NEU
this is the question.,0.0,1.0,0.0,0.0,NEU
looks like a 4 now,0.0,0.444,0.556,0.3612,POS
maybe who knows but this says otherwise currently,0.0,1.0,0.0,0.0,NEU
"NHC has it at a high 3 or a low 4, but it's too soon to be sure.",0.089,0.743,0.169,0.34,POS
"still projected to be a 3 at landfall but as proven with each update, that isn't set in stone",0.0,1.0,0.0,0.0,NEU
 Looks like a category #4 from this updated diagram.,0.0,0.737,0.263,0.3612,POS
according to the satellite it’s showing a 4. It used to have it at a 3. Ugh prayers it slows down!,0.147,0.853,0.0,-0.4753,NEG
" I heard four at landfall on other channels based on the last update. If it's a three, it'll only be a three by a few mph. I'd prepare for a four. Prepare for the worst and pray for the best.",0.096,0.751,0.153,0.34,POS
How does this change storm surge?,0.0,1.0,0.0,0.0,NEU
"So basically, the way the hurricane is turning and where it hits determines which area receives more storm surge in relation to it... When it's blowing in a direction out to sea, it takes water with it, then dumps it on the areas where it blows the other direction back onto land. Also, Google the ""dirty side of a hurricane"" for more specific info as to which area gets the worst winds and rain.",0.123,0.877,0.0,-0.8658,NEG
