Comments,NEG,NEU,POS,Compound,Sentiment
"Perhaps you could check in with HAARP, they could help you pinpoint landfall within inches!!!!!!",0.0,0.784,0.216,0.5951,POS
checkout the app Ventusky. Apparently it’s been spot on for past hurricanes.,0.0,1.0,0.0,0.0,NEU
well said!!!!,0.0,0.234,0.766,0.5053,POS
thanks for the laugh!,0.0,0.227,0.773,0.7777,POS
exactly,0.0,1.0,0.0,0.0,NEU
"weather modification! But the government would ""never do anything to hurt us""",0.308,0.692,0.0,-0.7088,NEG
I agree,0.0,0.0,1.0,0.3612,POS
So you just do whatever Newsmax tells you eh?,0.0,1.0,0.0,0.0,NEU
the weatherman can't speak on that. He's too worried he won't have a job Monday,0.145,0.855,0.0,-0.296,NEG
" unfortunately, there is a whole offshoot of the BASE who totally believe this to be true.",0.132,0.714,0.154,0.1027,POS
"yall are like parrots, one person says a conspiracy theory and you all follow",0.201,0.651,0.148,-0.2263,NEG
Had to make our own hurricane cakes!,0.0,1.0,0.0,0.0,NEU
"That's a great job, but with my anxiety, I wouldn't be able to eat a bite, lol!",0.105,0.561,0.334,0.6696,POS
we made one too!,0.0,1.0,0.0,0.0,NEU
good job!,0.0,0.239,0.761,0.4926,POS
Ooh can you share the recipe?,0.0,0.694,0.306,0.296,POS
poor Publix I can't believe people really raised a stink about them,0.432,0.568,0.0,-0.7251,NEG
those hurricane cakes many looked at those as lucky or good luck. It was a cake many of good things.,0.0,0.564,0.436,0.891,POS
"Denis please don't feel a need to apologize. You can't give us information that you don't have. We understand. We would rather you give an honest "" I don't know "" then a prediction that doesn't ring true. Stay the course, we are with you and so appreciate all that you DO do to keep us informed. Much respect during this challenging time.",0.034,0.744,0.222,0.897,POS
well said. I say prepare like it's going to hit you and be grateful if it doesn't.,0.0,0.631,0.369,0.765,POS
totally,0.0,1.0,0.0,0.0,NEU
Don't apologize. We would rather you say you don't know then make something up,0.091,0.909,0.0,-0.0762,NEG
yes exactly why we love Denis Phillips,0.0,0.42,0.58,0.7845,POS
"At this point, snow or chilly weather doesn't seem all that bad.",0.241,0.759,0.0,-0.5423,NEG
"..agreed..
Have blizzards to deal with..but we know ahead of time and what the accumulation will be
I resided on the West Coast for a short time..St Pete area
Kudos to all Floridians..I had bags packed by the door in case evacuation was necessary for myself and my 2 fur babies
Keeping everyone in my thoughts and prayers..",0.0,0.942,0.058,0.5106,POS
"can't forget the blizzards, tornadoes, rain & hail, earthquakes. I will take the hurricanes over the others. At least we have several days notice of hurricanes, and can leave if we want to. The others we don't.",0.033,0.85,0.117,0.2654,POS
I've spent quite a bit of the last four winters in Upstate NY; they have gotten noticeably milder,0.0,1.0,0.0,0.0,NEU
I said the same thing. What I would do for a good old fashioned nor’easter,0.0,0.791,0.209,0.4404,POS
That's what we've been thinking lately...,0.0,1.0,0.0,0.0,NEU
I prefer the desert with some dessert!,0.0,1.0,0.0,0.0,NEU
I'm rethinking this as well,0.0,0.656,0.344,0.2732,POS
"same thoughts
",0.0,1.0,0.0,0.0,NEU
 Have you ever lived through an ice storm and 5 to 10 inches of snow and 15 to 30 mile an hour winds with the temps below zero and a power outage? No fun.,0.062,0.845,0.093,0.2732,POS
I lived in Bradenton most of my life and my heart is broken for everyone . We had to relocate a year ago - trust me it’s a huge and take lol zz negative 7 last year sucked . But right now I’m so afraid for my family and friends and our paradise . God Bless eveeyone in the oath let’s pray that sheer eats this thing up quick before landfall,0.077,0.624,0.299,0.9615,POS
Oh dear god please let this thing weaken before it makes landfall please god!!!!,0.126,0.404,0.47,0.7696,POS
" I agree! Please God please save Tampa Bay and everyone, everything in it",0.0,0.355,0.645,0.8932,POS
in Jesus’ name,0.0,1.0,0.0,0.0,NEU
amen,0.0,1.0,0.0,0.0,NEU
"Denis Phillips, what’s it like being the coolest guy in Florida right now? You might be more famous than Jim Cantore!",0.0,0.878,0.122,0.4199,POS
Denis is wayyyy cooler,0.0,1.0,0.0,0.0,NEU
Cantore is in ft myers,0.0,1.0,0.0,0.0,NEU
"of Denis says it is, then it is! Right? I love this",0.0,0.69,0.31,0.6696,POS
"but Denis was already there! (By default, but who cares 😆)",0.0,0.7,0.3,0.6476,POS
 he'll be arriving soon I'm sure ,0.0,0.685,0.315,0.3182,POS
"I’ve been in your immediate area for 55 years and have seen a bunch of storms go all around but have never experienced this. My house is 52 years old. This is scary. I’m not in an evacuation zone, but wish I could leave. I’ve never felt this way about a storm before. I feel like I’m about to be in a movie.",0.084,0.813,0.102,0.296,POS
"it’s because you saw what Helene did to the beach. I’m in Seminole in a non evac zone. Wind is my only concern. Best you can do is stay prepared and not panic. Driving off last minute to an unknown destination, with no fuel available, roads clogged and no supplies is a crazy bad idea into me. Best off stay put and deal with the wind from my experience. I also live in a concrete home that’s survived every hurricane since 1976.",0.108,0.722,0.171,0.7907,POS
" I agree with you! I'm in a non evacuation/non flood area. But also a mile from the gulf. I just moved into this house 2 months ago. I've always lived in Pinellas, but a bit further inland. If I had a place to go, I'd leave. Felt perfectly fine here with Helene, but uneasy feeling with this one!",0.077,0.724,0.199,0.8118,POS
"We live in Bradenton. 15 miles away from Anna Maria Island. Not in a flood zone. Been in Florida for 10+ years. My wife, 25 years. The moment, I saw the track, yesterday at noon, my heart sank. My wife has been through some monsters, Charlie/Andrew. She’s nervous. All you can do is prepare for the absolute worst and do your absolute best for your family. You cannot prevent anything. Many blessings to all.",0.089,0.817,0.094,0.3455,POS
" I understand, as my two homes in the area are 49 and 52 years old. I do know this— they don’t make them like they used to. I have a feeling mine will do better than anything DR Horton threw up in five minutes. Big hugs!",0.0,0.785,0.215,0.8553,POS
 I feel the same way. This storm just isn't the normal. Just pop up in the gulf & within a week your a cat 3. Been on both coast been through quite few in the last 25 yrs. It just setting like rest. Being 3 days out and still unknown and heading dead ahead at us.,0.077,0.878,0.045,-0.4215,NEG
"I feel you. I've only been here 21 years, but I don't have a good feeling about this, at all. ❤️❤️❤️ Much love, girlie. We'll get through this.",0.144,0.678,0.179,0.4829,POS
"Listen, I don’t mind if you can’t tell us EVERYTHING as long as you tell us SOMETHING. Post a random word, a meme, a really bad dad joke. I feel like at this point in my extensive history of relying solely on you for hurricane information, I need you to post something, anything, at least every 15 minutes. ",0.066,0.848,0.086,0.044,NEU
No apologies needed. You are doing everything you possibly can and passing along the information that you are given. Hopefully soon you will be able to provide more of an update. Please do try your best to focus on your family and your home’s safety and take some time to rest. We rely on your updates and will be here when you have something more to go on.,0.028,0.816,0.155,0.8689,POS
nicely dairy and I totally agree.,0.0,0.345,0.655,0.6901,POS
I doubt I’ll get any sleep from now til the storm passes.,0.2,0.8,0.0,-0.3612,NEG
same here I’m so nervous,0.407,0.593,0.0,-0.4101,NEG
"same , the anxiety from this is the worst",0.492,0.508,0.0,-0.7003,NEG
neither will Denis,0.0,1.0,0.0,0.0,NEU
Question : Totally legitimate hurricane snacks have no calories. Right?,0.216,0.784,0.0,-0.296,NEG
same..evacuating Tuesday..this one scares me,0.375,0.625,0.0,-0.34,NEG
me too. It makes you sick!!,0.437,0.563,0.0,-0.5972,NEG
been praying w phone in hand...still awake.,0.0,0.667,0.333,0.3612,POS
 Thank goodness for medical THC...my anxiety disorder and PTSD is over this nonsense. Good luck and safety to us all! ,0.221,0.353,0.426,0.7886,POS
"deep breaths, don’t panic….be prepared but try not to over analyze and over stress. We will be good and if best prepared will be much better off than not prepared….",0.082,0.533,0.384,0.9274,POS
The anxiety is unbearable,0.362,0.638,0.0,-0.1779,NEG
For sure. That pot in my stomach since I woke up at 6:30 and looked at the track. I was ready to get out 3 cars packed up with our umpteen pets and take off. My family had to talk me down. I just feel numb now but making practical plans to hopefully stay home and keep everyone safe.,0.027,0.8,0.173,0.8442,POS
I've had a stomach ache for 2 days thinking about it,0.245,0.755,0.0,-0.3818,NEG
agreed. Feel like I'm going to have a breakdown.,0.0,0.566,0.434,0.5574,POS
"I rarely do this, but today I took a Valium.",0.0,1.0,0.0,0.0,NEU
Right there with you,0.0,1.0,0.0,0.0,NEU
I'm gonna ask for prayers for safe travel to Venice Monday morning to pick up my mother in law and bring her back to Wesley Chapel. My Husband is in Boston assisting our son after surgery. So yay us!,0.0,0.843,0.157,0.7836,POS
praying for your sons healing and your families protection in the name of Jesus amen .,0.0,0.848,0.152,0.3612,POS
Certainly will pray you stay safe.,0.0,0.283,0.717,0.765,POS
you ought to stay Venice much calmer there and less traffic mess. Just a thought,0.133,0.718,0.15,0.0717,POS
That’s because of the prayer warriors all across this country praying that this thing would die out in the ocean! that a cool dry air and a windshear would demolish the storm out in the sea where it does! in Jesus’s name!,0.084,0.794,0.122,-0.2444,NEG
"Don't apologize, you are doing your best!",0.12,0.463,0.416,0.6365,POS
prayer certainly does not hurt. We do need prayer warriors!,0.0,0.594,0.406,0.6671,POS
 It's not going to die out. You have to look at this scientifically too.,0.0,0.805,0.195,0.4847,POS
With God All things are possible🙏 God Turn this Around ,0.0,0.656,0.344,0.4939,POS
"Denis Phillips, First, thank YOU! We live in N. Tampa. Of course, the only thing we know is “This monster is hitting Florida.” We’re in a non-evacuation area and always stay home. My concern is my nephew who is in a motored wheelchair bound - Muscular Dystrophy. We have a portable wheelchair but his upper body needs protection. We’re lost in decision making …should we need help in the midst of this wickedness, if. Praying. “And He said to them, Why are you afraid, O you of little faith? Then He rose and rebuked the winds and the sea, and there was a great calm.” Luke 21:25",0.066,0.786,0.148,0.871,POS
"Our home on Davis Islands was flooded by Helene. My husband and I are 80 and 70, respectively, and both have health problems. We have a crew coming tomorrow to finish moving our things to a warehouse. That leaves Tuesday for evacuation for Milton. Where would you suggest we try to go? Every direction seems risky. Also, do you expect downtown Tampa to be hit hard? We are currently at the Hilton, The Flor and wonder if it is safer than the unknown.",0.072,0.867,0.06,0.168,POS
in the live video he did about an hour ago he said panhandle or Miami/West Palm Beach area,0.0,1.0,0.0,0.0,NEU
 go to Disney - get away from the coast.,0.0,1.0,0.0,0.0,NEU
they are saying only place in fl that's safe is the Tallahassee area,0.0,0.805,0.195,0.4404,POS
Maybe and I only say maybe Miss Judy you need to look into a local shelter at this point because Tuesday the traffic will be horrible and you don’t want to stack in an unknown area on the road. Denis Phillips my opinion only doesn’t mean it’s right.,0.103,0.87,0.026,-0.5859,NEG
"What floor are you on? I think you’d be better off staying there if there is no chance of being flooded, but if the power goes out, you won’t have access to an elevator. As far as leaving goes, traffic on Tuesday will be terrible and you will need to go to the panhandle or southeast to be safe. Hotels and gas will be hard to find. I’m so sorry this is happening to you and for everybody else having to go through this so soon after Helene. It’s a tough decision, but you’ve gotten this far in your life. You’ll get through this, too.",0.099,0.837,0.064,-0.4426,NEG
"Oh my gosh, Judy. I am so sorry for what you and Joe have gone through and are going through. We also lost everything including cars. We haven’t even been able to finish cleaning out everything. I wish I could offer you our home, but it’s not safe to stay there as it’s on the water. I don’t know if you still have my phone number in your phone but I’m going to private message you so we can keep up. Keeping you and Joe in my prayers. Hugs and love to both of you.",0.059,0.811,0.129,0.8508,POS
"I think your best option would be to find the closest shelter and go there. The traffic will be nightmare on Tuesday, the last thing you want is to be stuck in traffic when this thing hits. Good luck, hope everything works out.",0.038,0.688,0.273,0.9062,POS
 if you can afford the rooms stay at the casino. You don’t have to drive far and your car will be protected in the parking garage.,0.0,0.896,0.104,0.4404,POS
 I would go to NYC. I'm not kidding.,0.178,0.822,0.0,-0.0762,NEG
Orlando is never a bad option...inland.,0.0,0.584,0.416,0.431,POS
Thank you for the constant updates. We are very much counting on them,0.0,0.828,0.172,0.3612,POS
Please don’t apologize. You continue to care about us and are stellar at what you do. Thank you.,0.0,0.598,0.402,0.8126,POS
Thank you for staying in communication wish I could say the same for my employer meanwhile business as usual,0.0,0.755,0.245,0.6369,POS
I hear you! My employer sends out emails which state “business as usual”. Really? Nothing usual about any of this!,0.0,1.0,0.0,0.0,NEU
I will forever value a straight answer of  over hype and bluster. Thank you sir.,0.0,0.595,0.405,0.7003,POS
 exactly this. I have been screaming to everybody that will listen that I will only watch or listen to Denis Phillips because he keeps it real and doesn’t fearmonger.,0.091,0.909,0.0,-0.3818,NEG
That's kinda funny. Never heard anyone say they're useless,0.226,0.564,0.21,-0.0498,NEU
he's so real,0.0,1.0,0.0,0.0,NEU
I say it every time I see them lol,0.0,0.682,0.318,0.4215,POS
"the spaghetti models are useless right now, not Denis.",0.259,0.741,0.0,-0.4215,NEG
I’ll take useless models. Models are models right ,0.286,0.714,0.0,-0.4215,NEG
I say it all the time. Keeps the expectations low,0.208,0.792,0.0,-0.2732,NEG
#FloridaStrong Thank you for all youdo.Just preparing the best we can here in Sarasota.No.money to evacuate or board up so I'm just praying we stay safe. Praying that everyone stays safe,0.0,0.585,0.415,0.9498,POS
 Go to a shelter! Don't try and ride it out at your home!,0.0,1.0,0.0,0.0,NEU
"Thoughts n prayers for ya girl🙏
Indian Rocks Beach here! ",0.0,1.0,0.0,0.0,NEU
Find a local school to shelter at. No money needed,0.216,0.784,0.0,-0.296,NEG
 prayers for you ,0.0,1.0,0.0,0.0,NEU
"Denis I can hear your worry in your words. I personally thank you, I salute you and you and your family stay safe. 100% Floridian and this one has me worried.",0.148,0.696,0.157,0.0772,POS
The lack of rule #7 right now is,0.247,0.753,0.0,-0.3182,NEG
I been feeling that in my soul the last two days!,0.0,0.834,0.166,0.2003,POS
I think Denis Phillips might be freaking out right now. Just sayit!,0.236,0.764,0.0,-0.4753,NEG
what is rule 7?,0.0,1.0,0.0,0.0,NEU
"If you live in a non evacuation area, is it safe to stay.",0.0,0.791,0.209,0.4404,POS
" DP has explained he doesn't like giving people suggestions as to what they should, he provides you with the best info he can, then figure out what's best for you.",0.108,0.675,0.218,0.7394,POS
" No consider about it. If you're in a mobile home, you're rolling weighted dice.",0.155,0.845,0.0,-0.296,NEG
"the evaluation only takes flooding and mobile homes into account, not hurricane winds",0.0,1.0,0.0,0.0,NEU
"we’re all thinking the same thing.
",0.0,1.0,0.0,0.0,NEU
lmao how do you know.,0.0,0.506,0.494,0.5994,POS
that's what I was wondering,0.0,1.0,0.0,0.0,NEU
