Comments,NEG,NEU,POS,Compound,Sentiment
"Bless you, Denis, with safety and an unlimited supply of both patience and Diet Dr Pepper.",0.0,0.714,0.286,0.6808,POS
dr. Pepper and whiskey or vodka,0.0,1.0,0.0,0.0,NEU
Listen… this storms needs to hurry up and pass through. It keeps getting pushed back. I have a flight out of st Pete on Friday that I really need to take to make it to my grandpa who’s not doing well. The waiting for the strike is exhausting!,0.127,0.873,0.0,-0.6256,NEG
I have a headache. I'm glad to be able to come here for updates!!,0.0,0.754,0.246,0.555,POS
my brothers flight from Phoenix to Tampa was delayed until Saturday. Call your airline for updates,0.112,0.888,0.0,-0.2263,NEG
yes! We are heading to Miami friday for a cruise Saturday!!! Get outta here Milton!!,0.0,0.771,0.229,0.5951,POS
I suggest you leave asap!!,0.373,0.627,0.0,-0.1984,NEG
it was 2am Wednesday into Thursday so they did move it up,0.0,1.0,0.0,0.0,NEU
completely agree. I’m suppose to fly out from Tampa in Saturday,0.0,0.782,0.218,0.4201,POS
"I know I, over this waiting game bring it on",0.0,1.0,0.0,0.0,NEU
ohhhhh...I hope you'll be able to get out,0.0,0.707,0.293,0.4404,POS
 maybe you can fly out of Gainesville,0.0,1.0,0.0,0.0,NEU
I heard airports were closed,0.0,1.0,0.0,0.0,NEU
The fact that it slowed down enough to gain a day,0.0,0.726,0.274,0.5267,POS
"this is the tropical storm winds, not the storm itself",0.0,1.0,0.0,0.0,NEU
Yes with this storm the longer it stays out there with the shear and the front would help weaken it. Normally you don't want them to stay out there because it strengthens them but not in this case. So I agree with you!,0.062,0.739,0.199,0.7698,POS
i think slow down is good in this case. The shear will break it down a few notches even more. The water temp is not as warm as it was before Helene so that won't be a fueler for this hurricane this close in the immediate Gulf.,0.036,0.902,0.062,0.3036,POS
another day to clear Helene debris,0.0,0.658,0.342,0.3818,POS
I’m so overwhelmed with my store and home and all my family in Chicago! The calls are thankful but brings so much anxiety 😬 keep your family safe all!! We got this! Built for this!! FLORIDA STRONG!!!,0.052,0.651,0.297,0.9135,POS
I’m so glad someone said this. I know they’re coming from a place of love and concern but they’re all only reading the sensational headlines! And then I have to explain to them what is actually happening. It’s more stressful than waiting for the stupid storm.,0.183,0.729,0.089,-0.7926,NEG
Oh my God I'm going through the same s*** I mean yeah they care but God they're not making it any better what more can we do but be prepared I'm not picking up the phone anymore for my family that don't live here,0.0,0.724,0.276,0.9022,POS
yes me too. I'm going to make a recording on my phone and not pick it up and say listen I'll call you back after the hurricane okay leave me alone I appreciate the the attention that you giving me but I can't take answering all these questions and they're getting different forecasts in Chicago and New York,0.044,0.838,0.117,0.5023,POS
THIS!!!! I've had to find distractions to keep from going crazy.,0.382,0.618,0.0,-0.6776,NEG
the calls are difficult to handle …,0.333,0.667,0.0,-0.3612,NEG
I thought I was the only one who felt like this,0.0,0.762,0.238,0.3612,POS
same. I just tag each and everyone of them to Denis’s page here and tell them this should calm your nerves (translation: calm the annoyance questions lol),0.122,0.726,0.152,0.2263,POS
 thank you ! I'm from chi town. They are driving me crazy,0.169,0.634,0.197,0.1007,POS
Thank you Denus for every second you’ve spent on informing the people.. you’re appreciated beyond & want you to know that. We’ve been praying for all of Fl & will continue.,0.0,0.723,0.277,0.8225,POS
"Maybe if we call he-who-shall-not-be-named a tropical storm, he’ll weaken",0.259,0.741,0.0,-0.4215,NEG
 love it lol,0.0,0.125,0.875,0.7906,POS
"we better not name it Joe or we’re all doomed in fact, Americans already are.",0.209,0.647,0.144,-0.3182,NEG
"Ya think like a name like Milton, it would be nothing but breezy conditions!",0.0,0.744,0.256,0.4199,POS
Possibly the best reply yet.,0.0,0.488,0.512,0.6369,POS
What is it going to be like in Port Richey Florida on the West Coast. What kind of winds can I expect I'm going to ride it out at the house. I am not in a flood zone,0.0,0.932,0.068,0.3612,POS
Stay safe,0.0,0.256,0.744,0.4404,POS
 tropical winds to 39-73 mph. But the73 is very unlikely,0.0,1.0,0.0,0.0,NEU
I'm in Port richey and riding it out too....,0.0,1.0,0.0,0.0,NEU
When does denis get on live and never leaves? I feel like I’m ready for that comfort ,0.105,0.646,0.249,0.4386,POS
he’ll be available on the radio to talk you through it if you lose power too. He really gets us through these storms! ,0.12,0.88,0.0,-0.4574,NEG
he is the best,0.0,0.417,0.583,0.6369,POS
"How long will this last? With Ian it was on top of us for what seemed like forever. I know that was a much slower storm, but how long will we have the worst of the worst conditions for this one?",0.234,0.703,0.063,-0.9102,NEG
"How long does it take to pass over ?
",0.0,1.0,0.0,0.0,NEU
"How come nobody on the other weather channels are talking about that sheer we’re supposed to be getting?? to knock the bottom end off
Are we not getting it anymore?
This morning s vol Chief Meteorologist even talked that it might go down to a cat one or two is this still possible?",0.0,1.0,0.0,0.0,NEU
The eye or tropical storm? Look at the speed that it is traveling and figure out how far you are from the eye and what side of the storm you are on. Should give you a pretty good idea.,0.0,0.855,0.145,0.7269,POS
hard to know. Some hurricanes becam stationary like Jeannie or Francis. Can’t remember which. But it was days before it moved away.,0.052,0.871,0.076,0.1406,POS
43.5 minutes,0.0,1.0,0.0,0.0,NEU
hours,0.0,1.0,0.0,0.0,NEU
One thing I would like to know also,0.0,0.706,0.294,0.3612,POS
