Comments,NEG,NEU,POS,Compound,Sentiment
"We drove right through 27 just after this crossed. We saw it on radar and heard on radio so made a U-turn and waited for it to pass. It's dangerous out there, y'all stay safe!",0.089,0.836,0.076,-0.126,NEG
"Omg, so many tornadoes",0.0,1.0,0.0,0.0,NEU
I’m in lake placid we have had three near us and our phone sends a warning alarm and text with info,0.211,0.789,0.0,-0.5859,NEG
thats funny,0.0,0.256,0.744,0.4404,POS
Are there any tornado warning apps?,0.324,0.676,0.0,-0.34,NEG
I’m in lake placid we have had three near us and our phone sends a warning alarm and text with info,0.211,0.789,0.0,-0.5859,NEG
google maps will tell you!,0.0,1.0,0.0,0.0,NEU
thanks!,0.0,0.0,1.0,0.4926,POS
 here’s a good app I use as well.,0.0,0.444,0.556,0.6124,POS
here’s a screenshot of one of,0.0,1.0,0.0,0.0,NEU
"mine doesn't show anything=\
I'm up by Davenport too",0.0,1.0,0.0,0.0,NEU
hmmm try going to google and look up tornado warnings near me and the map should pop up too. Let me see if I can figure out the setting I put mine on to get it,0.062,0.937,0.0,-0.296,NEG
get this app! It’s a good one too,0.0,0.653,0.347,0.4926,POS
Now let’s collectively dissipate this!,0.0,1.0,0.0,0.0,NEU
Is the page hacked? all I see is Tornado warnings,0.412,0.588,0.0,-0.5994,NEG
unfortunately not. It's all real threats right now.,0.464,0.536,0.0,-0.6369,NEG
Can you add the link to the app/website for those of following for friends and family in the area??,0.0,0.839,0.161,0.5362,POS
