Comments,NEG,NEU,POS,Compound,Sentiment
Can newer built houses roof and walls sustain category 4 hurricane? Should those in the path or near the eye wall evacuate if they are not in the zone for evacuation for floods. How worried should we be for wind speeds for category 4 that our roof and house will fall apart (houses built in 2017),0.04,0.96,0.0,-0.296,NEG
"Greg Dee on ABC news just reported that if you are in a well built home and sheltering in place, you will be ok. It’s the surge from the wind that causes destruction. He said you may have some damage to your roof and such but you will be ok. That made me feel a little better!",0.071,0.777,0.153,0.6372,POS
" keeping all internal doors closed - so set up camp & stay in one - two rooms is best, and resist all temptation to have a peek outside until the storm has passed (via social media and radio updates). Good luck x",0.0,0.771,0.229,0.8779,POS
"they should. Just have a plan. As I recall people got in bathtubs and put their mattresses over them in Homestead in 92. We l8ved in an older house with lath and plaster ceilings so when our roof blew off it held until the next day. Of course it was raining in the entire house in lines 16"" apart. We had boarded everything so no windows blew. We all huddled in an inside room. I remember hearing loud bing, bing,Bing as the roofing nails started ripping out. So again, have a plan that everyone knows, have a clear path to your place and execute it as fast as possible. God speed.",0.026,0.932,0.043,0.2105,POS
"Building Codes: Homes built in 2017, especially in hurricane-prone areas, should comply with local building codes designed to withstand wind speeds of 130-156 mph, which is the range for a Category 4 hurricane. Roofs, walls, windows, and doors are often built to be more resistant to wind.
if you have any problems with your roof, if needed, we have crews on standby to tarp homes as needed. Here to help . Hope you and your family stay safe during this storm.",0.032,0.869,0.1,0.7003,POS
that’s what the builders claim. I know they said that with my tile roof. I had my house built in 2013. I guess we are about to really test it ,0.0,1.0,0.0,0.0,NEU
don’t focus on new or old. Focus on whether your house is block/stucco or if it’s just a wood frame. If it’s a wood frame I’d be getting out of the path of this storm.,0.0,1.0,0.0,0.0,NEU
"this is the thread I needed. I’m so worried. We are in LWR, home built in 2023. I’m hoping and praying we will be ok",0.094,0.659,0.247,0.5623,POS
I've read the difference in the wind from the cat 3 to cat 4 should only be about a 5 mph difference. Everything else we have been warned about will be the same.,0.07,0.93,0.0,-0.2732,NEG
 that’s what I’m trying figure out as well. This is different than a cat 3 for sure,0.0,0.747,0.253,0.5267,POS
assuming it was built right by NASA standards and parts Made in Pakistan.,0.0,1.0,0.0,0.0,NEU
How far is the surge expected to go inland in south Sarasota?,0.0,1.0,0.0,0.0,NEU
"I've seen estimates of 3 miles - which is why zones A, B, and C were evacuated",0.0,1.0,0.0,0.0,NEU
" depends on elevation which is why they measure it in feet rising, not distance coming inland. If you're elevated 50 ft 500 yards away you'll be fine. So you should know your elevation. If you are in a flood zone, you need to leave now!",0.026,0.927,0.046,0.2244,POS
depends on how much surge ask siri or Google for your elevation -,0.0,1.0,0.0,0.0,NEU
"Denis Phillips I so appreciate your coverage and watch you for all our updates, but as a resident of Spring Hill, sometimes it's hard to tell what's actually going on in my area. Can you explain the impacts as of now for the Hernando County/Spring Hill area? We're about 15 mins from the Pasco and Hernando County Line. Thank you!",0.026,0.882,0.093,0.6355,POS
thinking the same in citrus. We are too far north of tampa to matter and ocala / Gainesville don't cover us either,0.0,0.948,0.052,0.0258,NEU
"Waking up to news of a Cat 4 landfall is not how I wanted to start my day, given my son is hunkered down in Tampa with his roommates. 😢 Keeping all of those affected by Milton in my thoughts and sending love from",0.037,0.868,0.096,0.5574,POS
" that far inland and in a second floor apartment, hopefully all they will deal with is loss of power. I’d estimate he’s about 35 miles from the gulf and 20 miles from the bay. I know it’s stressful, but hang in there.",0.089,0.868,0.043,-0.2382,NEG
he will be okay as long as he's not right near where there would be storm surge.,0.0,0.894,0.106,0.2263,POS
get on the UT Webcam too.,0.0,1.0,0.0,0.0,NEU
So is Wesley Chapel area at risk of major flooding? That's where we are and I am in a nonevacuation zone.,0.104,0.896,0.0,-0.2732,NEG
"where are you in Wesley chapel? There are areas that do flood when we get a good chunk of rain, but for the most part, Wesley chapel does not flood. I live in Watergrass….",0.0,0.941,0.059,0.2382,POS
 I wouldn’t say major flooding.. but definitely some in low lying areas from rain or overflow of lakes. You guys are enough inland that no surges will hit. If your not in an evacuation zone I think you’ll be okay ,0.205,0.674,0.121,-0.631,NEG
 curios about this too,0.0,1.0,0.0,0.0,NEU
Check you flood zone. WCHS has s open as a shelter.,0.0,1.0,0.0,0.0,NEU
"WC here also, worried about the wind.",0.268,0.732,0.0,-0.296,NEG
"a lot of WC floods just from a strong summer storm, so yes, probably going to flood some. Just pray it doesn’t reach into your house.",0.0,0.662,0.338,0.8478,POS
I would just be ready,0.0,0.545,0.455,0.3612,POS
 I don’t think so,0.0,1.0,0.0,0.0,NEU
What about Lake Wales/Polk County?,0.0,1.0,0.0,0.0,NEU
"it looks like Polk County is just southwest of Orlando, so you can gage the impact if you look at the maps.",0.0,0.894,0.106,0.3612,POS
"good question I'm also in Lake Wales
",0.0,0.674,0.326,0.4404,POS
how about Haines city,0.0,1.0,0.0,0.0,NEU
"Prayers lifted for all in its path, the emergency crews, medical teams, and first responders who stayed behind.",0.133,0.867,0.0,-0.3818,NEG
 thank you!!! My son is a Pinellas Deputy 💙🖤 we appreciate your prayers,0.0,0.622,0.378,0.7249,POS
Amen,0.0,1.0,0.0,0.0,NEU
Leaving Brandon Florida for good after this....if I survive and if I have a home to sell afterwards. In zone x but I don't think that'll matter for this monster storm. The wind will be catastrophic even outside of a flood zone. Florida is becoming unliveable. I should have left four years ago when I could. I hope everyone survives this.,0.091,0.811,0.098,0.0999,POS
"yep, me and my husband are going to sell and move. I’m a Native of FL and these major hurricanes were very rare and unheard of when I was growing up. Now, they seem like the norm. ",0.0,0.833,0.167,0.6597,POS
"that's so sad! 😭 my kids and I never want to come to Florida in the first place! Unfortunately, they have to experience this fear of the unknown!",0.346,0.654,0.0,-0.892,NEG
I agree with you.This is to much for anyone to endure!,0.0,0.763,0.237,0.4199,POS
"You will have issues anywhere you go, wildfires, tornados, hurricanes, snow storms, drought.",0.0,1.0,0.0,0.0,NEU
I’m with you. This might be the straw that breaks the camels back.,0.0,1.0,0.0,0.0,NEU
my family and I have been talking about the same. These storms are just crazy now and the stress of worrying about losing everything just isn’t worth it anymore ,0.291,0.655,0.054,-0.8074,NEG
you will be fine In Brandon unless track changes. Gusts 60s 70s,0.0,0.859,0.141,0.2023,POS
 I googled where the safest state is (as far as natural disaster). It’s Michigan. The cold doesn’t seem so bad right now!!,0.159,0.637,0.205,-0.2204,NEG
" I said the same. I’m not starting over here. Somewhere else, fine but not here…and I love Florida",0.228,0.702,0.07,-0.6312,NEG
Same. We need to get out of FL permanently.,0.0,1.0,0.0,0.0,NEU
On radar it looks too be coming in sooner than overnight. Has the timing changed?,0.0,1.0,0.0,0.0,NEU
 the rain will be all day. The winds will pick up as the day goes on. The eye will hit sometime after midnight. If you are north / west of the eye there will be a much higher risk of fresh water flooding than those south and east.,0.043,0.909,0.048,0.0516,POS
"there's a storm system in front of the hurricane, hence why we'll see rain early this am",0.0,1.0,0.0,0.0,NEU
Do they have a better breakdown for the yellow zone other than 4+. 4+ could mean anything.,0.0,0.838,0.162,0.4404,POS
scary ^,1.0,0.0,0.0,-0.4939,NEG
Anyone know where Jim Cantore is this morning? He was MIA last night on the weather channel.,0.155,0.845,0.0,-0.4466,NEG
he was in Tampa this AM,0.0,1.0,0.0,0.0,NEU
 it says that he will be covering Tampa Tampa Bay today,0.0,1.0,0.0,0.0,NEU
That’s what I’ve been saying as others are almost celebrating it shifted ….. this is a huge storm it may have shifted but we are still going to feel some of it along with the rain,0.0,0.895,0.105,0.4317,POS
it shifted back north on the 5am,0.0,1.0,0.0,0.0,NEU
"Denis Phillips we need the radio stations. Power is going to go out, and that will be our only access to you. Please post them.",0.0,0.913,0.087,0.3182,POS
Thank you! My family safely evacuated but some chose to stay behind. I pray for everyone who is impacted by this storm.,0.0,0.717,0.283,0.7263,POS
"The forecasts got people too excited, category 3 was possible, but now it will enter as category 4, that will not hold here.",0.0,0.925,0.075,0.1779,POS
hillsborough still ok south not so much,0.0,0.732,0.268,0.296,POS
Is there an image of the entire state?,0.0,1.0,0.0,0.0,NEU
this is from Zoom Earth. We live in New Port Richey where the blue dot is.,0.0,1.0,0.0,0.0,NEU
So who is at most risk of flash flooding from freshwater? I assume it is completely different than the people at risk of storm surge from coastal areas. “Flash Flooding” is new to me as of last week from what I saw in NC,0.107,0.893,0.0,-0.584,NEG
"Flash flooding happens when the rain comes down too fast for drainage to handle it. It happens to some degree even with summer storms here. Any fresh water source would rise as well-rivers, ponds, etc.",0.0,0.937,0.063,0.3182,POS
 this week is the first time I’ve ever seems post talking about flash flooding across Florida.,0.0,1.0,0.0,0.0,NEU
right?! Does that mean lutz ? We are the north 70 miles from Sarasota,0.0,1.0,0.0,0.0,NEU
flash flooding is extremely common in WNC. (native here now in tampa) I have never heard of flash flooding in FL - that would freak me out,0.108,0.892,0.0,-0.4404,NEG
Black Creek in Clay county has flash flooded many times. I’m sure other creeks in Florida do too especially along the St Johns River. Riverside in Jax always floods. It’s quickly rising water not your waterfall type flooding coming down from a mountain like North Carolina. Check your flood zone.,0.0,0.907,0.093,0.5859,POS
Is it still possible to see the reverse surge that was previously spoken about for the northern counties such as Tampa northward? Or is that no longer in play with this storm?,0.063,0.858,0.079,0.1431,POS
 that’s what I was wondering,0.0,1.0,0.0,0.0,NEU
 I dont think water is the main concern for non flood zones. It’s the winds.,0.0,1.0,0.0,0.0,NEU
They're predicting something they haven't seen in 100 years. If you're within 40-60 miles north of the eye maybe move further North for safety.,0.0,0.891,0.109,0.4215,POS
Can anyone in Orange County put in layman’s terms the expectation,0.0,1.0,0.0,0.0,NEU
I was in Orlando when Charlie went through a Cat 2 it did a lot of damage. Prepare for the worse. My kids and grandkids are in Orlando. I’m very worried.,0.268,0.732,0.0,-0.8313,NEG
most likely a 1 or a 2 by the time it gets to you looking more like a 2 but pray for a 1,0.0,0.728,0.272,0.6419,POS
What is north of the center (what is the center)? Sorry drove 2 days to get out of it and I live in Punta Gorda,0.056,0.944,0.0,-0.0772,NEG
the center is the eye,0.0,1.0,0.0,0.0,NEU
cathy it looks like the center is Sarasota.,0.0,0.737,0.263,0.3612,POS
north of center means north of the center eye of the storm. Where ever the storm comes on shore the risk of flash flooding will be 40-60 miles north of that. You really won’t know for absolute sure what that area is until the last few hours before.,0.042,0.913,0.046,0.0516,POS
glad you got out ,0.0,0.5,0.5,0.4588,POS
Rule 7 is going down the drain...,0.0,1.0,0.0,0.0,NEU
 do not panic In Jesus name. PEACE BE STILL,0.0,0.502,0.498,0.7867,POS
"NY mom here with a son who attends The University of Tampa.
My kid was not able to get home 💔
Left Tampa & is up north still in FL
These past few days have been nauseating!!
Keeping EVERYONE in FL in my prayers ",0.0,1.0,0.0,0.0,NEU
" I’m in NC where Helene just destroyed us and I have 3 grown children there. I’ve never watched a hurricane more. One thing about it, they know how to ride out these things. My son said, “Florida man always survives”.",0.082,0.918,0.0,-0.4939,NEG
 does he have a safe place away from.UT? That area floods. He needs to go to a shelter,0.0,0.838,0.162,0.4404,POS
another mom here reminding you to SEE your son safe and protected. You’ll be telling stories about it all very soon,0.0,0.766,0.234,0.7003,POS
"where is he exactly? If he's in Jacksonville, he should just find a hotel and ride out the storm. If he was able to leave Tampa and away from the coast, that is MUCH better. He's going to be okay. He shouldn't drive in hazardous conditions though.",0.024,0.878,0.098,0.5574,POS
Can we see this with the whole state in view? Denis Phillips,0.0,1.0,0.0,0.0,NEU
I thought the major flood threat was south of the eye?,0.274,0.726,0.0,-0.5267,NEG
storm surge and wind on the south side and copious rain (thus flooding even in non coastal areas) on the north side,0.0,1.0,0.0,0.0,NEU
 for the surge were still going to get a ton of rain,0.0,1.0,0.0,0.0,NEU
" for storm surge, but north side is massive rain and flash flooding",0.0,1.0,0.0,0.0,NEU
 I thought so too.,0.0,1.0,0.0,0.0,NEU
no surge in Tampa bay on this path the wind will pull water out of the bay,0.121,0.879,0.0,-0.296,NEG
"Denis, ima need to see you on live one more time before it gets to us",0.0,1.0,0.0,0.0,NEU
Sending love from Oklahoma. Stay safe,0.0,0.36,0.64,0.7964,POS
might just move to Oklahoma when this is over,0.0,1.0,0.0,0.0,NEU
bless you,0.0,0.263,0.737,0.4215,POS
You would think the red part is the bad part,0.28,0.72,0.0,-0.5423,NEG
What about south of the cone?,0.0,1.0,0.0,0.0,NEU
is there an updated storm surge map or has it stayed the same??,0.0,1.0,0.0,0.0,NEU
When should we expect to see the storm effects in Oldsmar or Pinellas ?,0.0,1.0,0.0,0.0,NEU
What about Pinellas county ?,0.0,1.0,0.0,0.0,NEU
What are we looking at in Miami? Any chance of flooding by the airport?,0.0,0.846,0.154,0.3313,POS
wait I am confused Denis Phillips I thought it was said that the worst of the water was happening South of the center?,0.252,0.748,0.0,-0.7506,NEG
" it changes. If you follow Denis or any of the hurricane posts, you should know that until it hits, about all they can do is report what the hurricane is currently doing and make cautious predictions, knowing that it can and will change.",0.032,0.968,0.0,-0.1027,NEG
" if I'm not mistaken, surge is worse south and rainfall worse north.",0.358,0.52,0.122,-0.6237,NEG
I am in North Tampa what is our wind speed that we can get from this?,0.0,1.0,0.0,0.0,NEU
"we are too, northdale area! It sounds like it will be a wait and see game today any wobbles could reduce or gain more for us. Be safe ",0.0,0.725,0.275,0.8439,POS
60s maybe 70s gusts,0.0,1.0,0.0,0.0,NEU
is the south side of the eye less impact or ??,0.0,1.0,0.0,0.0,NEU
 the south side of the eyewall is the “weaker side”. The northeast quadrant of the storm is stronger and nicknamed “the dirty side”.,0.109,0.792,0.098,-0.0772,NEG
"I think south side is storm surge, north side is biggest effect of rain and wind?",0.0,1.0,0.0,0.0,NEU
I think he’s just talking about the rain. South side will be the surge,0.0,1.0,0.0,0.0,NEU
It’s all an impact. nothing will be less on another side.,0.0,1.0,0.0,0.0,NEU
are we North?,0.0,1.0,0.0,0.0,NEU
"Upon exiting Florida after hitting the West Coast, yes the south side of the storm has less rain and wind. Make no mistake, it is still a hurricane and needs to be taken seriously.",0.166,0.763,0.071,-0.3818,NEG
"less wind, more rain.",0.0,1.0,0.0,0.0,NEU
 left side! Left side!,0.0,1.0,0.0,0.0,NEU
Is it possible to have a warning for more areas to evacuate?,0.194,0.806,0.0,-0.34,NEG
"Can we see this for the entire state, please?",0.0,0.777,0.223,0.3182,POS
"Especially after seeing what happened in Atlanta and north Carolina, how do people who are sheltering in safe homes prepare for and respond to flash floods?",0.0,0.896,0.104,0.4404,POS
do you have sandbags around your home? Are you within 40-60 miles north of the eye?,0.0,1.0,0.0,0.0,NEU
Maybe this local information line could give you more specifics for your area. If you're outside the cone you could be okay so long as it tends the same way.,0.0,0.939,0.061,0.2263,POS
Praying! You can have peace in the midst of the storm. Where does our help come from? Creator of heaven and earth. Psalm 121 Jesus is the answer! Trust Him. I'm in Pasco/Hudson. We are going through this together. It will be ok.,0.0,0.672,0.328,0.9523,POS
I know that’s right keep ur faith keep praying 🙏 God will never leave us nor forsake us,0.0,0.584,0.416,0.7613,POS
AMEN,0.0,1.0,0.0,0.0,NEU
