Comments,NEG,NEU,POS,Compound,Sentiment
This is the most indecisive storm… this is emotional whiplash with every update,0.154,0.739,0.107,-0.1761,NEG
right? I don’t even know what I’m hoping for anymore.,0.0,0.741,0.259,0.4215,POS
ugh,1.0,0.0,0.0,-0.4215,NEG
it is,0.0,1.0,0.0,0.0,NEU
no kidding.,0.611,0.0,0.389,-0.2023,NEG
"Keep on praying, Tampa Bay 🙏
Optimism & positive energy to everyone out there. Milton is temporary; we will outlast him in the end.",0.0,0.606,0.394,0.8934,POS
" love you, stay safe",0.0,0.22,0.78,0.7964,POS
Amen,0.0,1.0,0.0,0.0,NEU
praying for shear!!!,0.0,0.372,0.628,0.5229,POS
prayers are still coming,0.0,1.0,0.0,0.0,NEU
hopefully our prayers are stronger than the Sarasota folks. Serves them right if they can't pray bigger than that. Lol,0.075,0.614,0.311,0.7301,POS
amen ,0.0,1.0,0.0,0.0,NEU
No one INVITED YOU MILTON,0.355,0.645,0.0,-0.296,NEG
MILTON doesn’t even go here. 💁🏻‍♀️ iykyk. ,0.0,1.0,0.0,0.0,NEU
Mexico evicted milton last week,0.0,1.0,0.0,0.0,NEU
 like fa real! Ugh ,0.407,0.263,0.329,-0.1511,NEG
"We are praying the winds calm more and more…no matter where it hits, SOMEONE will be hurt, devastated. Our house in St. Pete was basically destroyed by Helene…was just in the process of rebuilding and then Milton. We are all so worried and anxious. 😥 Praying for everyone. We’re all in this together. ",0.233,0.638,0.129,-0.8429,NEG
I’m so sorry to hear that. We in Sarasota are praying for everyone.,0.106,0.729,0.166,0.228,POS
I’m so so sorry. Praying for peace and strength for you and your family ,0.096,0.458,0.446,0.825,POS
so sorry about your home.,0.285,0.715,0.0,-0.1513,NEG
"THANK YOU!
",0.0,0.264,0.736,0.4199,POS
same,0.0,1.0,0.0,0.0,NEU
We are putting together a group to help with whatever people need in the bay area. Message me after the storm we are going to have around 20 guys helping clean up/move however we can help!,0.0,0.745,0.255,0.8622,POS
"What time will we feel hurricane winds? (Riverview, FL)",0.0,1.0,0.0,0.0,NEU
 sitting on my porch enjoying the weather. Will be out all night.,0.0,0.764,0.236,0.5267,POS
go outside and find out😂. Just kidding dont,0.0,0.833,0.167,0.1027,POS
Storm surge updates based on new track? Does this mean swfl gets less water?,0.0,1.0,0.0,0.0,NEU
 yes. We are in Cape Coral and our surge predictions are down as a result.,0.0,0.828,0.172,0.4019,POS
no it means the opposite. swfl will get more surge and the tampa bay area will get more wind,0.109,0.891,0.0,-0.296,NEG
"Wind gusts from the front of my house in Spring Hill!
I had an ominous feel from the very beginning that landfall was going to wind up closer to the Pasco & Hernando area!
Please keep safe everyone and God bless ",0.051,0.722,0.227,0.8065,POS
which area in Spring Hill? I hope u all stay safe!,0.0,0.535,0.465,0.7263,POS
I've had this feeling too I'm not letting my guard down just yet on this one . This storm has felt so eery,0.103,0.829,0.067,-0.2183,NEG
Im in Land o Lakes and the wind gusts and heavy rain are terrible right now ,0.181,0.819,0.0,-0.4767,NEG
same… I had the feeling too,0.0,0.727,0.273,0.128,POS
 I did too.,0.0,1.0,0.0,0.0,NEU
COME HERE,0.0,1.0,0.0,0.0,NEU
"Polk county tornado warnings going off all day gave me enough anxiety, I better go nap before the real action starts tonight",0.157,0.726,0.117,0.0,NEU
Would love to see where it’s supposed to hit in central Florida. Any way you could show the updated path for us?,0.0,0.833,0.167,0.6369,POS
"We will overcome this. We are strong 💪
And as long as we have our life, we will rebuild!
My business is in south Tampa (bay to bay )
My house is near Bayshore
I may return and don’t have a home or a business, but we will overcome this.
Together! As a community.
We need to help each other and support each other.
Adversity shows what you are truly made of.
sending love 💕 to everyone.",0.042,0.734,0.223,0.95,POS
"Join me in prayer that our Heavenly Father protects His children, providing peace at this time. Forgive us, Father, for our sins and we surrender to your mercy and grace. We trust in you and to you be all glory.
“He got up, rebuked the wind and said to the waves, “Quiet! Be still!” Then the wind died down and it was completely calm.” Mark 4:39
He can do it but He doesn’t have to. He only promises to be with us but doesn’t say he will keep every human out of harm’s way. I pray for all to find peace in Him through this.",0.035,0.728,0.237,0.9682,POS
Amen these are the verses we have been meditating on as well. We have a son and DI L in Fl we are praying for everyone!,0.0,0.818,0.182,0.5983,POS
Amen!,0.0,1.0,0.0,0.0,NEU
Just as predicted two days ago. Ugh! We didn't need this storm but it is what it is. We will get through it.,0.091,0.909,0.0,-0.2942,NEG
2 days ago they were predicting a direct hit to St Pete/tampa area. Now it’s showing the manatee/Sarasota area. That is a big difference. I live in St Pete. Tampa is 20 mins from me and the projected track is an hour from me. There is a big difference between a direct hit and simply being within the cone,0.0,1.0,0.0,0.0,NEU
"We got this, y’all. And if not, we are Tampa Bay and we will come together because that’s what we do.",0.0,1.0,0.0,0.0,NEU
"if our beloved mobile is still habitable, we will adopt an abandoned dog and help all of our neighbors to the best of our ability. Praying hard for everyone that is to be impacted by this storm.",0.088,0.579,0.333,0.9062,POS
"or we are Tampa Bay, we wet, soggy and sick of this. At this point I could walk up and punch H Milton in the windy nose.",0.121,0.879,0.0,-0.5106,NEG
what an uplifting post. Stay safe,0.0,0.633,0.367,0.4404,POS
Sarasota here and you are all in my prayers. Wherever he goes may it be as little damage as possible.,0.133,0.867,0.0,-0.4417,NEG
"Cold Shear, please break this monster. I know you can do it!",0.0,0.794,0.206,0.3802,POS
"keep praying really hard. Just keep praying because I believe it's working. I don't care if anybody calls me nuts because I have been praying so hard. I have everybody I know praying God hears and God listens. And no, I'm not a religious fanatic I'm just a good Catholic who believes prayer works",0.168,0.559,0.273,0.764,POS
 will say this: we are near Tallahassee and it’s a VERY noticeable cooler temp outside. My weather app says it’s 67. So that is definitely a cold shear for sure!! I hope it helps you all out!!,0.0,0.715,0.285,0.8986,POS
Amen it’s gonna shred it,0.0,1.0,0.0,0.0,NEU
it did,0.0,1.0,0.0,0.0,NEU
This has been the track all along give or take. Have no idea where these crazy right turn tracks have been coming from. All apps I’ve been using have held this track since yesterday.,0.126,0.874,0.0,-0.5574,NEG
I agree the apps I have been watching all kept saying that this was going north. An hour ago it had it coming into Sarasota at 8:00 p.m. but yet the other models I was looking at for days kept it going north. Wherever it goes It's just sad!,0.089,0.877,0.035,-0.5707,NEG
"Yeah I would like to know what Apps you are using as well
",0.0,0.57,0.43,0.7003,POS
"Lutz and S Pasco still getting the most rain being on top of the eye wall, 15 + inches of rain ?",0.0,0.909,0.091,0.2023,POS
what apps do you use,0.0,1.0,0.0,0.0,NEU
...the Euro model was very consistent without flip flops,0.0,0.797,0.203,0.2584,POS
"Eye going right over us in Polk County, but now as 1 instead of a 2 so that is much better! Not going to complain as my fellow Floridians are feeling much worse! Be safe everyone, we are Florida Strong",0.079,0.593,0.328,0.9185,POS
It hasn't made landfall yet,0.0,1.0,0.0,0.0,NEU
"This is exhausting!
",0.583,0.417,0.0,-0.4199,NEG
"it is only wednesday, feels like we have battling this for a week now.",0.135,0.705,0.16,0.1027,POS
 I’m so sick of hearing about it !,0.393,0.607,0.0,-0.5974,NEG
 I totally agree,0.0,0.264,0.736,0.4201,POS
yes! Agreed! Ugh!,0.33,0.0,0.67,0.4359,POS
AGREED,0.0,0.0,1.0,0.2732,POS
EXHAUSTING.,1.0,0.0,0.0,-0.3612,NEG
Took long enough for them to see the more northern kick…,0.0,1.0,0.0,0.0,NEU
I was watching the radar and I was like that is definitely going north,0.0,0.658,0.342,0.6369,POS
literally noticed it this morning,0.0,1.0,0.0,0.0,NEU
I'm so scared it will go right up Tampa Bay.,0.262,0.738,0.0,-0.4927,NEG
"South Sarasota be like, wobble with me, wobble with me, wobble with me.",0.0,0.828,0.172,0.3612,POS
 get outa here yeah yeah,0.0,0.405,0.595,0.5267,POS
are you in treasure island now,0.0,0.694,0.306,0.296,POS
What are your thoughts on driving at 8am tomorrow morning from Tampa to Valrico? There’s a chance my work will require me to go in and I’m nervous about the safety of the commute.,0.057,0.813,0.13,0.4019,POS
