Comments,NEG,NEU,POS,Compound,Sentiment
Oh Lord...praying for everyone through this. Please be safe Y'all. Thank you Denis Phillips for always keeping up dated! You really have a big job always. Lord bless you. ,0.0,0.683,0.317,0.8784,POS
"Wondering if it’s a safe bet to go to the other coast side, or if the other coast will get any storm surge as well. Praying we don’t get leveled.",0.0,0.776,0.224,0.7579,POS
Canada ,0.0,1.0,0.0,0.0,NEU
according to the forecast by the time it gets to the east coast it will be a cat 1,0.0,1.0,0.0,0.0,NEU
 Anxious to live new port Richey. No telling what will be fall us...God be with us.,0.231,0.769,0.0,-0.4939,NEG
What is also frightening is the fact that there is a lot of debris from flooded homes and condos lining the streets. That stuff could all be air-born or float around if flooding and winds are severe.,0.146,0.854,0.0,-0.7003,NEG
oh it will all be air born for sure!,0.0,0.755,0.245,0.3802,POS
yep.. it's crazy out here!,0.402,0.598,0.0,-0.4003,NEG
"So scary, have been trying all night to book a hotel as we live in a Manufactured home in rural Plant City. All the hotels in the PC/Lakeland/Zephyrhills/Brandon area are all booked solid already.",0.1,0.855,0.046,-0.4391,NEG
Is anyone in the P.C. area planning to board up this time around? I'm thinking if we are it should be started today since Monday and Tuesday will bring moderate to heavy rain.,0.0,1.0,0.0,0.0,NEU
"We are in Weeki Wachee/Spring Hill area. We booked late last night, there are several hotels in my area, don’t know about vacancies at this point. Good luck.",0.0,0.815,0.185,0.7096,POS
we’ve called hotels in Georgia and they’re booked with linemen and workers from the last storm… prayers for you and your family ,0.0,1.0,0.0,0.0,NEU
have you tried VRBO or Air BNB. I was looking this morning and there are plenty,0.0,1.0,0.0,0.0,NEU
I found a room at motel 6 in Lakeland there after calling around for an hour!,0.0,1.0,0.0,0.0,NEU
I'm in one in Lutz and looking all the way up to Orlando. Even those are almost booked and not sure we would even make it.,0.073,0.927,0.0,-0.2411,NEG
I got air mattress up here in the forest ,0.0,1.0,0.0,0.0,NEU
"I would go to a shelter! I think Tomlin middle school is having one, I know there are a few others in PC too!",0.0,1.0,0.0,0.0,NEU
i would go further north. Lakeland gets hit hard every time,0.135,0.865,0.0,-0.1027,NEG
"Try Airbnbs, and Vibro at least it would be a house.",0.0,1.0,0.0,0.0,NEU
"Where should Pinellas County (St. Pete) residents evacuate to? Realistically, how far inland north or south should we aim for?",0.0,1.0,0.0,0.0,NEU
"would not go south, this thing may turn that way, we may go north east inland a bit",0.0,1.0,0.0,0.0,NEU
we are going to Lake city,0.0,1.0,0.0,0.0,NEU
maybe as close to Georgia as u can.,0.0,1.0,0.0,0.0,NEU
Go west to Alabama or to the Panhandle,0.0,1.0,0.0,0.0,NEU
I don't know what to do but I know I'm over RULE #7! Having major panic attack!,0.414,0.586,0.0,-0.8802,NEG
sending the love to you and all my Florida friends. I have family that left arden nc and are staying with family in Southern Florida on the west coast. Many prayers for peace and safety. I'm glad you are listening to Denis. He'll keep you up to speed on what's happening.,0.0,0.731,0.269,0.9485,POS
"Prepped, safe and ready...feeling good...thanks for the love friends!!!",0.0,0.351,0.649,0.9017,POS
what is rule #7? Stay calm?,0.0,0.653,0.347,0.3939,POS
this going to be me when I move to Florida lol  Panic Attacks on 10,0.31,0.55,0.14,-0.5267,NEG
Love you lady. Stay safe,0.0,0.297,0.703,0.7964,POS
"lots of us are having those .. focus on your breathing, make a plan and remember that stuff can be replaced ..but you can't.",0.0,1.0,0.0,0.0,NEU
"Every Floridian in the state, bring a portable fan to the west coast beaches, point them at the Gulf and turn them on high! Let's blow this thing back out into the Gulf of Mexico. If you don't have a fan, bring a hair dryer or anything that'll help push Milton back! If only it would work this way... 😆 Stay safe everyone!",0.0,0.832,0.168,0.8772,POS
I have a leaf blower! Where do you want me to stage?,0.0,0.85,0.15,0.1511,POS
Thank you Denis Phillips for the updates. Stay safe!,0.0,0.552,0.448,0.69,POS
Is it safe to use Ian as a comparison when it comes to flooding? If we didn’t get water in our house then is it safe to say we most likely won’t get flooded with Milton?,0.0,0.843,0.157,0.7319,POS
"these are my thoughts too. I'm half zone A, half zone B near the Hillsborough River and we didn't get a drop of river surge from Helene, Ian or any other storm",0.0,0.941,0.059,0.2057,POS
i have the same question as we are to arrive this week to inland Bradenton.,0.0,1.0,0.0,0.0,NEU
"Sadly, a lot of people that didn’t flood in Ian flooded in Helene and this storm surge is predicted to be worse than Helene. No, I don’t think whether you flooded in Ian is a good predictor.",0.198,0.732,0.071,-0.6369,NEG
"I think it all depends on where it makes landfall. If it hits Pinellas or within 10-20 miles north of it, the flooding will probably be worse. I’m hoping it goes south",0.089,0.831,0.08,-0.0772,NEG
"Waiting on Denis Phillips forecast tomorrow morning… I’m in largo, in a first floor condo that doesn’t allow plywood on windows/ patio doors…and I have 20’ of patio doors… I’m have a full tank of gas and gonna head out of dodge if Milton stays directly heading for Tampa Bay",0.0,0.96,0.04,0.2263,POS
I’m not sure that the HOA can dictate that. I’d put up wood and leave. Then take it up w a lawyer after the storm.,0.131,0.869,0.0,-0.2874,NEG
 personally I’d take the HOA violation and just do it anyway.,0.242,0.758,0.0,-0.4939,NEG
"do it anyway, that’s ridiculous!",0.411,0.589,0.0,-0.4199,NEG
I would take the HOA fine & board up!,0.0,0.741,0.259,0.2714,POS
I’m sure they don’t allow them as permanent covers but would not fine you as a temporary cover for a direct hit. Guess what will cover your sliders if they break after the hurricane…plywood.,0.056,0.853,0.091,0.0547,POS
"good luck either way traffic if you wait that long
",0.0,0.576,0.424,0.7096,POS
"What’s with these people asking if they can DM us, ask us a question… when you check out their profile, they just joined! The scammers are out in full force",0.0,1.0,0.0,0.0,NEU
you can put plywood up. Most of the time their rules are for people who make them permanent like AC window units with Plywood blocking outside air. If they don’t put it in the documents that can’t stop you from doing it but I bet you no one will come after you for protecting yourself and your home during a hurricane. But also plywood is the cheapest way to board up. You can get other wood if “plywood” is specifically the one mentioned in the docs. Best of luck to you and potential travels!,0.06,0.827,0.114,0.8244,POS
same here,0.0,1.0,0.0,0.0,NEU
GO GO GO!,0.0,1.0,0.0,0.0,NEU
I’m getting a little nervous! What should I expect? I live on the northside in St.Pete.. evacuation zone is C,0.123,0.877,0.0,-0.273,NEG
"wind and rain. Probably not much flooding, but I’m still choosing to evacuate since it’s predicted to be a CAT 3. I’ve seen too much these past 2 weeks.  I’d rather be safe than sorry.",0.04,0.854,0.106,0.5267,POS
My grandson is flying in from Lakeland mom at 4 both parents are fighters and have been called in,0.066,0.934,0.0,-0.0516,NEG
What about Sumter County??? We have flood watch!,0.0,1.0,0.0,0.0,NEU
So we have to prep for a hurricane and pack our vehicles during the rain. Ok got it. Man I look forward to a month from now,0.0,0.913,0.087,0.296,POS
November 30th is the last day of hurricane season. I am praying so hard it gets here fast.,0.096,0.775,0.129,0.1615,POS
Im in Apopka in a travel trailer. Nervous if i should stay or go to a hotel,0.139,0.861,0.0,-0.2732,NEG
"Definitely hotel asap, you will want a sturdy shelter if there's high winds/debris blowing around",0.0,0.75,0.25,0.4588,POS
Also in Apopka. Dont ride this one out in a mobile home if its headed our way. Get to either a hotel or a shelter - good chance some of our schools will open as shelters.,0.0,0.86,0.14,0.5994,POS
If it comes in on Tampa how far will feel the same effects,0.0,1.0,0.0,0.0,NEU
"My husband is staying, me and kids are headed north. What app should he download to get best coverage of this storm? We are in Hillsborough county",0.0,0.861,0.139,0.6369,POS
 The earth zoom app is great,0.0,0.549,0.451,0.6249,POS
if you have spectrum watch it there,0.0,1.0,0.0,0.0,NEU
my radar app,0.0,1.0,0.0,0.0,NEU
We live on the east coast in Port St. Lucie. I’m scheduled to fly out of West Palm on Wednesday afternoon. Trying to decide if I should leave Tuesday instead or if Wednesday will be ok since we’re on the other side of Florida.,0.027,0.923,0.05,0.25,POS
leave early!,0.599,0.401,0.0,-0.126,NEG
You won't be flying Wednesday afternoon.,0.0,1.0,0.0,0.0,NEU
I have never evacuated before-in Lakeland-should we consider? If so how far north should we go?,0.0,1.0,0.0,0.0,NEU
" he said if you're east of i-75, you'll get winds of at least up to 80 miles an hour.",0.0,1.0,0.0,0.0,NEU
can you board up a block home? Do you have huge trees that overhang your house? Are you on a lake? ( get out of a mobile home!),0.133,0.785,0.082,-0.3468,NEG
what flood zone and separately what evacuation zone are you? Are you being told to evacuate by your county? This is extremely important information for you to have well before a storm.,0.0,0.864,0.136,0.5504,POS
I'm wondering this too.,0.0,1.0,0.0,0.0,NEU
"Will we get a break in the rain at all to help narrow down a time to evacuate? Maybe Monday evening, I think I saw that somewhere?",0.0,0.878,0.122,0.4696,POS
"Be safe my friends in my Florida hometown, New Port Richey
",0.0,0.6,0.4,0.7184,POS
And what would that be?,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips - succinct and definitely to the point - love the updates,0.0,0.515,0.485,0.8555,POS
We got torrential rain this morning in palm coast.,0.0,1.0,0.0,0.0,NEU
I'm so excited..i mean I'm cleaning up homes in dunedin on the west side of alt19..still has sitting water in the backyard..should be a great week,0.0,0.854,0.146,0.6249,POS
so not going to be good,0.0,0.633,0.367,0.4404,POS
Mother Nature is just prepping us for what's to come,0.0,1.0,0.0,0.0,NEU
"I have no words, we are already devastated. Prayers for all.",0.437,0.563,0.0,-0.7351,NEG
"Hi, I am in Cancun. In your opinion, is it safe to fly home into Tampa on Monday afternoon? Or should I catch a flight today?",0.0,0.871,0.129,0.504,POS
great question i have to get into CWB to clear out damage done from Helene today & get right out. I’m afraid I’m going go get stuck.,0.158,0.638,0.204,0.3612,POS
you may want to call and ask,0.0,0.822,0.178,0.0772,POS
Flights should be good Monday and Tuesday.,0.0,0.674,0.326,0.4404,POS
I don’t think airports will be open in Tampa on Monday with 120 mile an hr winds,0.0,1.0,0.0,0.0,NEU
You'll be fine Monday.,0.0,0.625,0.375,0.2023,POS
hurricane is coming Wednesday,0.0,1.0,0.0,0.0,NEU
"When on Wednesday is Milton coming to visit? Morning, day-time, nighttime?",0.0,1.0,0.0,0.0,NEU
"winds Wednesday AM, landfall PM",0.0,1.0,0.0,0.0,NEU
as of now morning,0.0,1.0,0.0,0.0,NEU
I saw one p m,0.0,1.0,0.0,0.0,NEU
