Comments,NEG,NEU,POS,Compound,Sentiment
Still can’t believe you went on Fake News CNN,0.279,0.721,0.0,-0.4767,NEG
Please. I don't do politics. I do weather. It ain't fake,0.0,0.591,0.409,0.5932,POS
"What’s wrong with you? He’s helping as many ppl as he can with his weather reports and he’s the one that’s always right in his forecasting. He should be able to be on every channel he can if it helps more ppl to stay out of harm’s way. There are ppl that might not know to follow him and it might help more ppl to hear his report. Left or right shouldn’t matter when it comes to this. Ridiculous to bring it up and complain, he’s been up for days reporting for everyone in the path.",0.08,0.839,0.081,-0.2204,NEG
you have no soul to make a comment like that especially at this time,0.14,0.701,0.159,0.0772,POS
" dude, this is not the time and place for that.",0.0,1.0,0.0,0.0,NEU
"When you can tell me a storm is gonna cross over Mexico from the Pacific and become a hurricane, let me know. Any stock tips? Definition of a moron. Sadly, they abound these days. Give up the last name. Far from a Wilson.",0.14,0.86,0.0,-0.7184,NEG
 look on the bright side...at least they had 1 real story this year lol! Thanks for being the best Denis Phillips!,0.0,0.545,0.455,0.9244,POS
 information about this storm should be spread to as many people as possible. News station doesn’t matter.,0.0,0.936,0.064,0.0258,NEU
" came for the weather, staying for the comments",0.0,1.0,0.0,0.0,NEU
Denis Phillips is the best weatherman in all of the U.S i went to school with one of his sons if you really gonna talk like that maybe you’re the problem and need to be banned,0.131,0.71,0.159,0.3102,POS
You probably are about to get blocked ,0.259,0.741,0.0,-0.2732,NEG
"Stop saying it ""shifted"" south, it wobbled and still 400 miles away, nobody knows, people north now like where I live in New Port Richey are saying ""we can relax now"" it's hitting south, even if it hits Sarasota, Tampa and my area will still be hit hard! Catastrophic damage will still hit Tampa and areas north! It didn't ""shift"" south, it wobbled!",0.15,0.775,0.075,-0.6679,NEG
"Thanks for the tip. I have used the word wobble. Go back and read
Get your facts straight.",0.0,0.758,0.242,0.5859,POS
" he is providing facts. The models have shifted the track south (aka drawn the ""line"" slightly more south than the previous track), that is accurate.
Denis always says that things can change and never to be too confident in any particular track...",0.0,0.928,0.072,0.4939,POS
" if you don’t like it, please leave this site and go elsewhere. Denis does an excellent job! He’s the best!! He clearly said, “wobble.” Please don’t twist things!!",0.029,0.511,0.459,0.9563,POS
"Denis has stressed very forcibly that we can't relax and what a powerful storm this is. Seriously, maybe listen before speaking.",0.257,0.632,0.111,-0.4031,NEG
"It’s called the “cone of uncertainty” for a reason. Whether it shifts, wobbles or electric slides, we, as Floridians should know to NEVER trust the track until it hits and to be prepared for the worst.",0.167,0.786,0.047,-0.7097,NEG
we are all nervous but chastising the chief expert meteorologist with more than 30 years experience is not the right move. Especially when you’re wrong in your assertion and he’s working 24/7 for his area. He’s on our team!,0.216,0.784,0.0,-0.8732,NEG
"this is quite literally becoming harassment. Regardless of what you think about her comment, there is absolutely no reason for you to go stalk her fb page and the incessant attacks at her like you personally know her. Guys, tension is high right now… but there is quite literally ZERO reason why we should be tearing each other down right now. #FloridaStrong",0.116,0.857,0.026,-0.6096,NEG
" I think we should be grateful that Denis Phillips takes the time to post this information. I’ve been following him for a while and he gives more detailed updates than anyone else. And when it is his opinion, he states that it’s an opinion. You don’t have to follow him.",0.0,0.94,0.06,0.4588,POS
I don’t think either word makes a difference at this point because it’s impacting the entire west coast. He is providing so much info to us hourly. Be thankful we have news casters and meteorologists out here literally working day and night to help us prepare. They have families and lives too.,0.0,0.882,0.118,0.7506,POS
who are you to tell him what to say?? If you LISTEN to Denis he has stated throughout this entire thing DO NOT let your guard down. ALL surrounding areas WILL feel an impact of some sort. So if you and your people are saying you can relax now that's your stupidity. Geeez some people!!,0.049,0.901,0.049,0.0,NEU
I'm in Clearwater just off Missouri and Kingsley and scared of what the wind gonna bring,0.162,0.838,0.0,-0.4404,NEG
 I’m a couple blocks from where you are and I’m definitely scared what the wind is going to bring.,0.213,0.667,0.12,-0.2732,NEG
right look what Clearwater got from Helene alone.,0.222,0.778,0.0,-0.25,NEG
 isn’t Clearwater a mandatory evacuation zone,0.0,0.755,0.245,0.0772,POS
A shift south is very good news for you in Clearwater.,0.0,0.738,0.262,0.4927,POS
"The fact that Denis Phillips is still awake and functioning like the true professional he is, keeping us updated, sticking to the facts, not hyping, not complaining, just telling it like it is, speaks volumes about the man. His family evacuated yet he stayed behind to see us through yet another monster hurricane. He is the ultimate warrior of meteorologist! Believe him, trust him. He is the best of the best. Prayers for all of us.",0.016,0.765,0.219,0.9604,POS
it’s the Diet Dr. Pepper,0.0,1.0,0.0,0.0,NEU
yes. Denis is amazing!,0.0,0.227,0.773,0.7777,POS
Scariest turtle 🐢 stalking on record! Thank you for all you do.,0.0,0.782,0.218,0.4199,POS
 it really DOES feel like I’m watching a turtle crawl across the gulf ,0.0,0.799,0.201,0.4144,POS
Stay safe,0.0,0.256,0.744,0.4404,POS
"I like your wind predictions better. My weather app is saying 110mph max sustained winds & 125mph gusts (in Largo close to north Pinellas Park). Granted, that is only for a very brief time but still",0.0,0.852,0.148,0.4939,POS
that’s what I’m seeing too. Has me freaking out like my roof is gunna be lifted. I’m a first timer. Not sure if I’m being irrational,0.234,0.685,0.082,-0.5664,NEG
"I'm sorry, I'm naive on some points here. What does "" reverse surge"" mean to us in the bay area? When the water returns, does it happen like a surge?",0.12,0.8,0.08,0.1179,POS
"it pulls the water out of the bay but when it comes back in, it looks like when the time comes in on any normal day. It happened several years back. The coolest thing I've ever seen. People were literally walking on the seabed of Tampa Bay.",0.0,0.934,0.066,0.5023,POS
"the water will be sucked out temporarily. It’s happened here before. And we will see the sea floor for a ways out. The smell is awful, hoping we don’t have more stranded manatees like we did the last time it did it!",0.129,0.757,0.114,-0.1848,NEG
Reverse storm surge occurs when a storm makes landfall in such a way that significant winds blow offshore. Basically drying out the land. If you look up Hurricane Irma you'll be able to see what happens.,0.0,0.948,0.052,0.2023,POS
reverse surge is when the storm pulls the water out instead of pushing it in. Then as the storm passes the water returns.,0.0,1.0,0.0,0.0,NEU
Unfortunately the reverse surge can cause seawall damage due to not having pressure on both sides of the wall. We saw that in our area from Hurricane Irma.,0.172,0.77,0.058,-0.5736,NEG
my understanding is that rather than the storm pushing water into the bay as it approaches land...the wind actually shifts from the East and will push the water out of the bay to a certain extent. It means less surge for the bay hopefully.,0.0,0.895,0.105,0.5859,POS
"looks like this, happened during Irma. You could walk all the way out into Tampa Bay (Hillsborough Bay). That’s Bayshore.",0.0,0.884,0.116,0.3612,POS
all the water gets sucked out instead of more being rushed in causing major flooding. You'll see the bay looks super empty. Really eerie!,0.248,0.629,0.123,-0.4561,NEG
"Is it just me, or does this hurricane sound more and more like Ian?",0.0,0.81,0.19,0.469,POS
Denis did compare the track to Ian last night,0.0,1.0,0.0,0.0,NEU
and Charlie,0.0,1.0,0.0,0.0,NEU
Didn’t Ian cause #2 which is reverse surge? This storm moving more south and now #2 remind me so much of Ian.,0.0,1.0,0.0,0.0,NEU
"Thank you for all of the updates and the hard work it takes for you to provide them. Did I read somewhere you're also on radio? If so, please post info...thanks again!",0.04,0.796,0.164,0.6579,POS
"How wide is the storm now? Originally you said it was only about 10ish miles for The extreme wind and such. But I know it’s gotten larger, so just curious",0.0,0.893,0.107,0.5216,POS
"Wasn’t Milton part of the remnants of Hurricane John?
Also, could Milton fuse with that low?",0.141,0.859,0.0,-0.3527,NEG
"Denis Phillips…. Honestly man, thank you for staying on here keeping us posted as much as you do, it is very appreciative. To the point a lot of us just look forward to your post. Keep them coming brother",0.0,0.788,0.212,0.8553,POS
Thank you for keeping us in the know. I admit that I'm stalking your Facebook page for the latest updates. You keep it real without sugar coating and adding more to the fears we are feeling. I really appreciate the direct approach. So thank you for that!,0.057,0.723,0.22,0.7792,POS
"Thank you for all that you do for us, Denis Phillips! My adult children in Ohio are following you closely, and appreciate your aversion to unnecessary drama, as do we here in Dunedin",0.076,0.781,0.143,0.3802,POS
So is Orlando in the clear? More tropical storm like conditions.,0.0,0.627,0.373,0.6557,POS
"no. But these tend to lose power once they hit land.
The track is still subject to change so no one in the cone of uncertainty is “in the clear” but the level of severity will depend on whether they are north or south of the eye at landfall.
Hope that helps.",0.172,0.715,0.113,-0.4215,NEG
I think we’re still going to get drenched.,0.0,1.0,0.0,0.0,NEU
same question I have,0.0,1.0,0.0,0.0,NEU
"It is coming straight across the state and maintaining hurricane force winds. The answer is ""no"".",0.0,0.888,0.112,0.2263,POS
nooo,0.0,1.0,0.0,0.0,NEU
I’m confused how the winds will only be 65-90 if it is a Cat 3 at landfall. Can anyone help me understand?,0.1,0.783,0.117,0.1027,POS
"The wind speed they report are within a 1-2 mile diameter from the eye wall, 40ish miles from the eye are hurricane force winds (74+) the farther out you go the less intense the wind is, so if you're 50-60 miles from the eye wall wind might only be 65-90",0.0,0.979,0.021,0.0018,NEU
"only those within several miles of the eye will get hurricane force winds. Since it’s south, if you’re in hillsborough or pinellas, we will see winds up to 90 mph. Many outside of the eye will experience those same winds.",0.0,1.0,0.0,0.0,NEU
Thank you all so much!,0.0,0.589,0.411,0.4199,POS
as far as I understood it’s because those high winds are only in a small mile radius of the eye (in the eyewall ) of the hurricane. The outer areas have weaker winds - they categorize hurricanes by the speed of the eyewall which that area will have the cat 3 high winds at landfall,0.056,0.944,0.0,-0.4404,NEG
meaning it’s going to go SLOWWWWWW,0.0,1.0,0.0,0.0,NEU
I am curious as well,0.0,0.312,0.688,0.5267,POS
 girl I’m confused right along wild you. Ugh,0.459,0.541,0.0,-0.6249,NEG
Well. Ali only loves me during hurricanes. So I needed Milton help to bring her to me again ,0.0,0.615,0.385,0.83,POS
What about the area in front of it? Denis?,0.0,1.0,0.0,0.0,NEU
I was wondering that blob is too,0.0,1.0,0.0,0.0,NEU
"Thanks for another update! Milton definitely has us scared. We live in our ⛵️ & did the best we could to protect her.
We evacuated inland to stay with family. Now we wait & see. #FloridaStrong",0.065,0.65,0.285,0.8687,POS
