Comments,NEG,NEU,POS,Compound,Sentiment
The only Cone of Uncertainty I want to experience is will McDonald's Ice Cream machine be working when I get there or not?! ,0.117,0.826,0.057,-0.3382,NEG
Thank you for the laugh...it's very much needed right now. I may just stop at McDs tomorrow and check out the cone of uncertainty.,0.17,0.738,0.092,-0.2732,NEG
now they need to make that available during hurricane season! A red and green swirled soft serve ice cream!,0.0,1.0,0.0,0.0,NEU
60/40 that disappointment is in your future.,0.355,0.645,0.0,-0.5106,NEG
"haha thank you for the giggle, I needed it during this stressful time.",0.192,0.397,0.411,0.5307,POS
 this is why we are friends my dear!,0.0,0.5,0.5,0.7177,POS
thanx i needed that very overwhelmed and worried,0.275,0.558,0.167,-0.2431,NEG
we needed this tonight thank you lol,0.0,0.485,0.515,0.6486,POS
Thanks! I needed that right now!,0.0,0.534,0.466,0.5399,POS
you win the internet for eternity. We all need a good laugh at this point.,0.0,0.516,0.484,0.8834,POS
"My cone was certain! Thank you for the little giggle.
",0.0,0.486,0.514,0.7506,POS
’m going to my mom’s in On Top of the World in Clearwater. It’s a no-evac zone. Should we stay? It seems odd that there’s even a no-evac zone in Clearwater…,0.074,0.868,0.058,-0.128,NEG
my Mom lived there. You should be fine. They are concrete block and about 70+' above see level. Always went there for Hurricanes. Never had a problem.,0.097,0.768,0.135,0.0408,NEU
"I'm in Clearwater on the Largo border, and it's a no Evac zone here too. I'm in a third floor apartment and staying put.",0.095,0.905,0.0,-0.296,NEG
were in bellaire bluffs probably 30ft above sea level in a small block home but not in a evac zone and were staying,0.089,0.911,0.0,-0.2382,NEG
 that's where we are evacuating TO from a coastal zone. Hunkering down with the grandparents.,0.0,1.0,0.0,0.0,NEU
i’m in Dunedin nearby if it’s a no evac area you should be ok.❤️🙏🏽 that’s wonderful that you’ll be with your mom too,0.085,0.772,0.143,0.3612,POS
we are not in danger of storm surge in that area,0.0,0.783,0.217,0.4168,POS
