Comments,NEG,NEU,POS,Compound,Sentiment
Is anyone in Lake Wales on here? Were any tornadoes on the ground there?,0.0,1.0,0.0,0.0,NEU
 my sister is in lake wales and hasn't seen it but a tornado is there she says,0.0,1.0,0.0,0.0,NEU
my sister said it was in Dundee heading towards Haines city,0.0,1.0,0.0,0.0,NEU
any photos?,0.0,1.0,0.0,0.0,NEU
This is just the beginning. Let’s stay safe everyone,0.0,0.734,0.266,0.4404,POS
I have family in Polk City and Lakeland. I pray you all are safe,0.0,0.658,0.342,0.6369,POS
Winterhaven by Legoland here,0.0,1.0,0.0,0.0,NEU
Four tornado warnings in the past hour in Fussels Corner (Lakeland).,0.18,0.82,0.0,-0.296,NEG
One was just issued for us here at FAU,0.0,1.0,0.0,0.0,NEU
Polk city i can't see anything I'm in the closet,0.0,1.0,0.0,0.0,NEU
"good girl,stay safe",0.0,0.147,0.853,0.7003,POS
