Comments,NEG,NEU,POS,Compound,Sentiment
"Heavenly Father,
I come against this storm named Milton! I declare and stand on your word that no weapon formed against us shall prosper. I speak LIFE over the state of Florida and all surrounding areas. I praise you for sending your archangels to protect everyone in the path of this evil. I THANK YOU for your divine protection, Father. I speak to this storm as Jesus did and rebuke Milton for causing any harm. I say to the winds and rain, Peace! Be still! I declare that your people shall be filled with your Holy Spirit and rise up to declare that all glory will be yours.
May your will be done on earth as it is in Heaven, Amen.",0.092,0.699,0.209,0.9498,POS
Amen,0.0,1.0,0.0,0.0,NEU
Amen! Thank you for your powerful prayer! In Jesus name we pray! ,0.0,0.515,0.485,0.8164,POS
thank you for this!! Amen amen,0.0,0.619,0.381,0.4738,POS
 ln Jesus precious name amen ,0.0,0.519,0.481,0.5719,POS
"I agree in the Mighty name of Jesus!!
",0.0,0.661,0.339,0.4738,POS
"This page is a Godsend to parents (family) that live in other States. Here is SC, after having experienced Helene as well, we were really anxious for our children and grandchildren living in Florida and weren't sure about all the reports we were hearing or maps we were seeing. You're really giving us the news we need to stay in touch with what is going on! Thank you!",0.055,0.793,0.152,0.8137,POS
"I agree! We live in Oklahoma but our daughter, son in law and 3 young grandchildren live in Pinellas Park. I’m so thankful for Denis Phillips keeping us in the know.",0.0,0.757,0.243,0.8643,POS
"Live in Manatee County, and I've been on the Gulf coast for 16 years (12 in Tampa Bay area), he's the only one I listen to.",0.0,1.0,0.0,0.0,NEU
we’re the same. Children/grandchildren in Tampa and we’re in SC.,0.0,1.0,0.0,0.0,NEU
"Same from Colorado. I lived in Tampa Bay for 37 years and we used to watch The Weather Channel and BayNews9. The last few years all I heard was ""Denis Phillips"". Now I know why family and friends watched Mr. Phillips exclusively.",0.0,0.925,0.075,0.4767,POS
Im in Florida and none of the channels are on the same page its scary for sure,0.156,0.732,0.112,-0.2263,NEG
You guys are doing a great job! Stay safe and Thank you for keeping us informed!,0.0,0.543,0.457,0.8774,POS
Thank You Thank You Thank You Denis and family. For keeping us up to date without the drama and to your family for allowing us to have so much of your time and talent during this stressful time. You are a Godsend.,0.063,0.668,0.269,0.8689,POS
"AMEN Gretchen! We're so grateful to Denis, his family, and his colleagues for the time and dedication that Denis shows us every day. We're very blessed to have him providing us with constantly updated information on these incredible hurricanes. Praying for the safety of everyone in our beautiful state! ",0.0,0.711,0.289,0.9574,POS
 perfectly expressed. I believe we are all in agreement. Be safe.. 🙏 prayers are being said for ALL.,0.0,0.654,0.346,0.8126,POS
"My house is 12 ft above sea level a bit under a mile and a half from the water, but ive seen inundation maps that had my street in the orange, can someone explain how thats physically possible if the predicted surge is 10-15? I cant find any super specific info online and i want to know every little detail i can!",0.075,0.901,0.024,-0.6201,NEG
 stop questioning it. You definitely sound like you live in a zone that's been evacuated. No one knows exactly what's gonna happen. The experts have done the best to keep you safe. Now do your job and get out of town.,0.114,0.646,0.241,0.8176,POS
"to everyone responding to this comment - they did not mention anything about staying. They just might want to know if they will have a house to come home to. The more information someone has, sometimes it helps with anxiety. I have a family member with a home in this area who is not staying, but is wondering the same for their house. Homeowners insurance usually does not cover storm surge, so if you don’t have flood insurance, it’s very stressful to think about.",0.074,0.891,0.035,-0.6474,NEG
video your whole house in and out. Take your insurance information and most important papers! Best case hit a school shelter so you can return easily to ease your soul!,0.0,0.675,0.325,0.9009,POS
a mile and a half ain’t much. Combined with fresh water flash flood it could get deep quickly,0.0,0.867,0.133,0.3182,POS
"look at Asheville. The mountains flooded. With mother nature, anything is possible.",0.0,1.0,0.0,0.0,NEU
"The speed/category of Milton is so concerning to forecasters because the more powerful the storm over sea, the larger the surge. It will flood to levels never seen before and have power behind it, leading to inundations over historic markers. If you can get to a higher elevation, please do. The 12 ft elevation of your house, vs a 10-15 inundation ? Your house will not win, you will be left stranded. The water level alone will flood the house, but the power (basically the speed of the water) will be high. The water does not rise slowly and still, it will push at pillars, foundations, all structural elements. Even to find somewhere 5-10 miles inland, at 20 elevation or higher, would be better.",0.028,0.913,0.059,0.6137,POS
"with storm surge the ocean will just be that much higher. So if Milton goes slightly north and we see that 15 ft surge, you will be waist deep in water and unable to open your door to get out. It doesn’t really matter if you’re one or two miles in if you’re that low.",0.037,0.938,0.025,-0.1796,NEG
"evacuate
",0.0,1.0,0.0,0.0,NEU
"if predicted surge is 12-15 ft, it could be more or less than that height. That is just the water rise.... you STILL have crashing waves on TOP of that. It's an absolutely nightmare when you are in the path of the eye AND have surge. You had best get out.",0.0,0.879,0.121,0.7739,POS
depending on where you live - street flooding from the rain that has no where to go? So much storm water is routed to the Bay.,0.084,0.916,0.0,-0.296,NEG
"We live in Bradenton, after the shift back north this morning and the projected strength of now being a cat 4, we are headed to Miami.",0.0,0.882,0.118,0.4939,POS
" I left for Miami last night; took me 7 hours so bring your patience, water and good music. It’s sunny here today. Stay safe!",0.0,0.681,0.319,0.8356,POS
"Where are you going there? I'm only seeing sold out when I search hotels? We're in Duette, not in an evacuation area but considering leaving.",0.0,1.0,0.0,0.0,NEU
what about Valdosta or Macon GA. Smaller towns may have availability. Same trip in hours. Just a thought.,0.0,1.0,0.0,0.0,NEU
I was considering doing that too ,0.0,1.0,0.0,0.0,NEU
I live in Valrico and i have been at my parents house in Miami since yesterday. It been raining on and off here but right now the sun is out. Have a safe drive ,0.0,0.886,0.114,0.5927,POS
Lakewood ranch here.thinking of leaving last minute now that it's a 4. Miami or panhandle???,0.0,1.0,0.0,0.0,NEU
do you know how far inland in Bradenton the storm surge expected to go? My brother lives about 5.5 miles in off of Cortez. He and his family are not evacuating. I’ve said all I can to convince them.,0.0,0.949,0.051,0.25,POS
were thinking of Miami also,0.0,1.0,0.0,0.0,NEU
 Welcome to Miami! We're extremely lucky!,0.0,0.375,0.625,0.7702,POS
sending a prayer your way. God speed,0.0,0.704,0.296,0.2732,POS
"Thank you so much, to you and your great team for working tirelessly and keeping us all up to date and/or informed with the latest track. My family and I greatly appreciate it. Blessings to you and your staff and families as well.",0.0,0.705,0.295,0.9377,POS
"Where is the best place to find wind speed forecasts like these surge maps?
We live in Bay Crest and we're very worried about all the debris from Helene that is still sitting in our streets. Our hurricane boards were soaked in flood water so we threw them out with plans to replace. Projectiles everywhere!!",0.04,0.842,0.118,0.6995,POS
" nhc.noaa.gov has most of the map, graphs etc he is showing.",0.0,1.0,0.0,0.0,NEU
You are all doing a great job !! I know y’all are worn out. Thanks for what you do. Where do we send our cases of Dr Pepper!! Stay safe . God bless!,0.052,0.569,0.379,0.9296,POS
make sure it’s diet ,0.0,0.566,0.434,0.3182,POS
Can you show a larger picture for those of us down by Sarasota. Please and thank you very much,0.0,0.769,0.231,0.5859,POS
"Yes, please talk about Sarasota/Venice area.",0.0,0.444,0.556,0.6124,POS
"yes, this is what I’m looking for! My mother was unable to evacuate.",0.0,0.8,0.2,0.4574,POS
Can you show us another hour by hour overnight with windfield. You showed it last night and I'm sure it would help greatly for those who are preparing for this storm.,0.0,0.853,0.147,0.6124,POS
you can find it on nhc website!,0.0,1.0,0.0,0.0,NEU
 I mentioned following Denis Phillips when speaking to Matt yesterday. He is the best!!,0.0,0.715,0.285,0.6988,POS
stay safe Rika! Thinking of you and all my Tampa Bay friends. I remember Denis Phillips bringing a hurricane awareness seminar to Nielsen the year I moved to Tampa. ,0.0,0.792,0.208,0.7424,POS
yes he is the best..,0.0,0.597,0.403,0.4019,POS
PLEASE keep manatee n Sarasota county in your updates. Obviously we need it,0.0,0.784,0.216,0.4648,POS
"Following from WA state Sheree and hoping you and your family of people, Goldens, and elderly horses are safe",0.0,0.749,0.251,0.6908,POS
This sounds so selfish and I deeply apologize… but what are the chances the cold trough push it further south? Is that still a “push” factor or has it stopped “pushing” the storm?,0.147,0.791,0.062,-0.4598,NEG
it’s heading right at our house currently.,0.0,1.0,0.0,0.0,NEU
How will anclote be for surge? I live East of 19 and 2.7 miles from the Gulf and fortunately got nothing from Helene,0.0,1.0,0.0,0.0,NEU
"Don't have any questions , just want to say THANK YOU to you and your team! Your knowledge and sacrifice are so appreciated... Even when people ask a million questions.",0.0,0.843,0.157,0.5893,POS
Is there one for the sarasota area,0.0,1.0,0.0,0.0,NEU
"We are close to Oldsmar, I couldn't get better news this morning, I prepped like crazy , did everything in my control, but so much out of our control. Thank you for your updates, I always wonder when does this guy sleep?",0.08,0.802,0.118,0.3812,POS
"Is there a map of some kind that shows the wind speed that is similar to the maps that show the water levels, like the map above?",0.0,0.803,0.197,0.7096,POS
"Thank you so much Denis for keeping us well informed. I truly appreciate how much you put yourself and your feelings into these posts. You care about us all. We’re not freaking out, but we’re as prepared as we can be",0.0,0.714,0.286,0.8487,POS
