Comments,NEG,NEU,POS,Compound,Sentiment
Thanks Denis hunkered down here in Bradenton,0.0,0.674,0.326,0.4404,POS
stay safe down there. Thinking of our Florida neighbors,0.0,0.734,0.266,0.4404,POS
Bradenton! Prayers up for everyone in this storm's path and its vicinity.,0.0,1.0,0.0,0.0,NEU
stay safe! Sending prayers and good vibes,0.0,0.451,0.549,0.7263,POS
hunkered down in Parrish praying it gets weaker ,0.254,0.526,0.219,-0.1027,NEG
 Lakewood ranch here. Praying,0.0,0.545,0.455,0.3612,POS
great source of info for your parent’s location.,0.0,0.631,0.369,0.6249,POS
please be safe!! ,0.0,0.147,0.853,0.6988,POS
" us too! Hang in there!
",0.0,1.0,0.0,0.0,NEU
West Bradenton here! Stay safe!,0.0,0.534,0.466,0.5399,POS
so is my boy. Worrying mother in ,0.286,0.714,0.0,-0.34,NEG
Hunkered down here in Largo with my dog and cat. Nervous about the wind due to the trees around me. But thankful to be in a non-evacuation zone. I just hope that the storm keeps on getting weaker!!!,0.114,0.678,0.207,0.7488,POS
I live in Largo but had to evacuate so I'm at my son's house in Tampa. Hope and pray all stay safe and there will be minimal damage. ,0.113,0.606,0.281,0.7469,POS
 my aunt/cousin are in Largo (Starkey side of the East Bay Golf Resort). They stayed since no evac in that zone. I hope everyone stays safe. I live in East Lake and had to leave. Watching from Georgia. ,0.083,0.777,0.141,0.5267,POS
 I'm also in a non evac zone. I'm so worried for everyone who was in an evacuation zone that was unable to do so.,0.115,0.885,0.0,-0.4341,NEG
my house is in Clearwater also a non evac zone but I rented it out. I really really hope ya’ll come out of this ok ,0.0,0.715,0.285,0.8384,POS
also in Largo no flood/evac zone. Stay safe!,0.193,0.527,0.28,0.2481,POS
 I’m in Largo also! Prayers,0.0,1.0,0.0,0.0,NEU
alas. Largo here but in an evacuation zone. ,0.181,0.819,0.0,-0.1406,NEG
"same here! We are moving into the one room
Less likely to be impacted!",0.0,1.0,0.0,0.0,NEU
me too I hope it weaken and weakens,0.425,0.333,0.242,-0.296,NEG
"me 2. Be safe
",0.0,0.508,0.492,0.4404,POS
"Thinking of you all from Glasgow Scotland, have many dear friends in florida! Stay safe everyone ",0.0,0.594,0.406,0.8356,POS
Glasgow has been our absolute favorite international city to visit so far! ❤ We look forward to coming back!,0.0,0.826,0.174,0.555,POS
Mount Dora will be fine!,0.0,0.657,0.343,0.2714,POS
I have a friend in Glasgow Scotland!! Thank you from Glasgow!!!,0.0,0.505,0.495,0.7825,POS
 is it relatively safe there ? To live ? I'm thinking I'd like to live in another country. Waters warning here too quickly.,0.092,0.688,0.22,0.5204,POS
"Aye, wee lassie. That's grate. Scotland the Brave ...",0.0,0.702,0.298,0.5267,POS
Are we sure it's not bouncing north and exiting around near Daytona ish? 😅 idk the radar I check every so often shows it hugging the north side of the cone and cutting up towards daytona for exit,0.072,0.8,0.128,0.4939,POS
that’s what I’m seeing a last minute wobble north to Tampa..,0.0,1.0,0.0,0.0,NEU
"me too. It seems to be moving more northward.
",0.0,1.0,0.0,0.0,NEU
agree. I don’t get what they are saying at all.,0.0,0.762,0.238,0.3612,POS
this!! ,0.0,1.0,0.0,0.0,NEU
"sure hope not, we evacuated to Daytona beach from Bradenton",0.0,0.606,0.394,0.6369,POS
"agreed!
",0.0,0.0,1.0,0.3382,POS
"they don't know for sure. So possibly
",0.246,0.754,0.0,-0.2411,NEG
zoom earth app says satellite beach Brevard,0.0,1.0,0.0,0.0,NEU
seeing this too ,0.0,1.0,0.0,0.0,NEU
check zoom earth app,0.0,1.0,0.0,0.0,NEU
"Denis Phillips In times when uncertainty can cause anxiety, your steady voice and expert insights have helped us all feel both prepared and reassured. Many thanks for your dedication and the vital role you play in our community's safety.",0.082,0.62,0.298,0.8689,POS
Yes!! His voice and dedication to his job brings peace . I have anxiety for every one and I’m inland but listening to you Denis brings reassurance. Thank you !!!,0.037,0.637,0.326,0.8865,POS
"absolute truth!! Love our Denis Phillips, appreciate him sooo very much!!!!",0.0,0.436,0.564,0.8852,POS
I love you cuz and yes I even follow him in the keys same reason,0.0,0.615,0.385,0.7845,POS
Praying it weakens significantly for everyone!,0.253,0.44,0.307,0.126,POS
Amen,0.0,1.0,0.0,0.0,NEU
 be safe my friend!,0.0,0.238,0.762,0.75,POS
Amen sister ,0.0,1.0,0.0,0.0,NEU
Thank you for your updates. My family condo is on Siesta Key Sarasota so looks like we in line for a direct hit. I'm sick to my stomach for everyone down there and my happy place condo.,0.075,0.723,0.203,0.6887,POS
continued prayers for the storm to weaken. We have timeshare week on Lido Key that the entire first floor units were destroyed by Helene’s storm surge. I hope our MH doesn’t get destroyed in Sarasota.,0.219,0.713,0.069,-0.743,NEG
"me too. I’m hunkered down in West Palm Beach, tornadoes all over Southern Florida! My condo is on the mainland side of the South Bridge to SKB. I was up till 4 am when they predicted landfall significantly south of us, went to sleep happy.
When I woke up, it was back on top of us again and hasn’t budged.
I’m a top floor condo and doesn’t look good now. Still hope it will weaken or turn away. I’ve evacuated 5x and this by far is the worst.",0.071,0.791,0.138,0.6696,POS
My daughter just moved to Venice. They’ve taken all of the precautions. Praying everyone stays safe. ,0.0,0.722,0.278,0.6597,POS
siesta key and downtown Sarasota were already damaged from helene outer bands,0.209,0.791,0.0,-0.4404,NEG
"same with us! We’re just above the south bridge on the gulf side. This ain’t gonna be pretty. We’ve had 44 years of paradise…and it’ll be unrecognizable for a long time. Sad for us, horrible for folks who live and work there year-round.",0.14,0.794,0.065,-0.5707,NEG
In NYC praying for Milton to continue losing steam!!! Thinking of my lovely friends and coworkers in the area!! ,0.092,0.533,0.375,0.8388,POS
 I came to NYC to get out of this one. My area was devastated by Helene,0.222,0.778,0.0,-0.6124,NEG
Thank you for doing these updates on Facebook we really appreciate it. I'll be back at 5pm for your update,0.0,0.766,0.234,0.6697,POS
Thank you so much for all of the updates you are the man!!!,0.0,0.78,0.22,0.5229,POS
GOD can do the supernatural and may He get all credit. Thank You for continuing reports!,0.0,0.612,0.388,0.8034,POS
We choose to trust the Lord as well! Praying for all of us!,0.0,0.541,0.459,0.8168,POS
Amen the winds and waves still know His name! Sweet Jesus!,0.0,0.736,0.264,0.555,POS
some people can’t help themselves from commenting.,0.0,0.69,0.31,0.4019,POS
does he get the blame if it's bad? Just wondering how that works.,0.349,0.651,0.0,-0.7096,NEG
amen,0.0,1.0,0.0,0.0,NEU
amen,0.0,1.0,0.0,0.0,NEU
"the hurricane is an Act of God, so...",0.0,0.769,0.231,0.2732,POS
Is all of the yellow going to be a Cat 3,0.0,1.0,0.0,0.0,NEU
"pretty sure it’s just the brown around the eye, the yellow I’m pretty sure are tropical storm force winds.",0.0,0.577,0.423,0.875,POS
it's going to be a hurricane all the way across the state it's just going to lessen from a category 3 to a category 1 so those will be hurricane force winds not tropical storm winds,0.0,1.0,0.0,0.0,NEU
yellow will be tropical storm force winds. The red is hurricane force wind.,0.0,1.0,0.0,0.0,NEU
"actually the RED, the brown would be hurricane winds but not cat 3",0.0,1.0,0.0,0.0,NEU
 no. That’s just tropical storm winds,0.306,0.694,0.0,-0.296,NEG
 just the red,0.0,1.0,0.0,0.0,NEU
Looks like the path has it going more towards Seminole County than before,0.0,0.828,0.172,0.3612,POS
that pic is the same as other he had but agree the NNE track if it continues will 100% change the track everywhere,0.0,0.871,0.129,0.5023,POS
actually no it’s moving south that means far away from us here in Seminole county .,0.136,0.864,0.0,-0.296,NEG
they did receive evacuation notice via text,0.0,1.0,0.0,0.0,NEU
I wouldn't read into those small changes too much.,0.0,1.0,0.0,0.0,NEU
It’s moving N/NE,0.0,1.0,0.0,0.0,NEU
Seminole County????????,0.0,1.0,0.0,0.0,NEU
"We keep seeing it push north, the warm jet stream is catching it and pushing it up. Same thing happened with Helene",0.0,0.917,0.083,0.2263,POS
you’re right! It’s going to have to jog east soon or else it’s coming in the bay!,0.0,1.0,0.0,0.0,NEU
Tampa bay direct hit ! Catastrophic event,0.411,0.589,0.0,-0.5411,NEG
wrong. It’s projected to hit Bradenton / Sarasota county line area,0.256,0.744,0.0,-0.4767,NEG
We will see. Who is placing the wager?,0.0,1.0,0.0,0.0,NEU
so you know more then a meteorologist ?,0.0,1.0,0.0,0.0,NEU
AccuWeather still has it making landfall at the mouth of Tampa Bay...live report at 3:30 this morning from Storm Front Specialists concurs. They gave a great presentation explaining why the storm would shift and when.,0.0,0.889,0.111,0.6249,POS
the dry air up north is pushing south,0.0,1.0,0.0,0.0,NEU
definitely not north!!,0.0,0.379,0.621,0.508,POS
I’m so glad it slowed down! God is hearing our prayers ,0.0,0.613,0.387,0.6893,POS
none stop prayers from many of us ,0.0,0.761,0.239,0.2235,POS
"Glad it's going down, praying we go down another cat. ",0.0,0.593,0.407,0.6705,POS
God is calming the storm!,0.0,0.371,0.629,0.6239,POS
Praying for Sarasota and Manatee,0.0,0.615,0.385,0.3612,POS
"Denis, I prefer your map because of the county delineations. It just feels more ""precise"". I always start looking for this exact map of yours shortly after 8, 11, 2, 5, etc.",0.0,1.0,0.0,0.0,NEU
Hunkered down in clearwater ,0.0,1.0,0.0,0.0,NEU
always evacuate if you can. These storms are bull whips,0.0,1.0,0.0,0.0,NEU
wasn't Clearwater a mandatory evaluation??,0.345,0.655,0.0,-0.1486,NEG
"I'm glad you guys stayed because you’re in a non-evac zone!
Hang tight girl, we’re here with you in St. Pete.",0.0,0.852,0.148,0.5093,POS
be careful.,0.0,0.385,0.615,0.1531,POS
Thank you Denis. We appreciate you working nonstop to keep us informed!,0.0,0.645,0.355,0.6696,POS
stay safe!!,0.0,0.223,0.777,0.5399,POS
did you guys evacuate?,0.0,1.0,0.0,0.0,NEU
This 12z Euro run has it going right into the heart of tampa i dont think anybody knows the exact landfall up untill about 1-2 hrs before impact,0.0,1.0,0.0,0.0,NEU
Euro is maybe the most accurate individual model. The NHC model has actually been proven as the most accurate composite model. It takes all of the models into account as well as other factors and the knowledge of experts who interpret the models. They form their own forecast utilizing all of that information (including the Euro forecast),0.0,0.964,0.036,0.2732,POS
if you go on the Ventusky app majority of hurricane models have it going into the bay or Bradenton beach. So crazy.,0.114,0.886,0.0,-0.4005,NEG
sitting here arguing with the actual weather guy only amilli,0.25,0.75,0.0,-0.4588,NEG
oh so it’s going to make landfall Anne Marie upper longboat key and then move north into the bay interesting I thought it was gonna go straight east,0.0,0.845,0.155,0.5574,POS
"I don’t know if it’s already been said, but Denis Phillips is the real mvp here. Not all heroes wear capes. Grateful for all your updates.",0.116,0.753,0.131,0.1147,POS
"Sweet Jesus please calm this storm in Jesus Name we pray 🙏
Praying for all of our Florida family and friends",0.0,0.475,0.525,0.926,POS
in agreement in Jesus name!,0.0,0.534,0.466,0.5411,POS
Amen !,0.0,1.0,0.0,0.0,NEU
Hey I’ll take a cat 3 anyday.,0.0,1.0,0.0,0.0,NEU
over a 4 or 5 hell yeah. It’s pretty scary when we’re hoping for a 3! Ugh!,0.424,0.265,0.311,-0.6103,NEG
I thought 130 mph was a 4?,0.0,1.0,0.0,0.0,NEU
Sending love and prayers to all of Florida,0.0,0.625,0.375,0.6369,POS
Thank you!,0.0,0.264,0.736,0.4199,POS
Pray for my area in Englewood ,0.0,0.685,0.315,0.3182,POS
What time does the surge usually get the worst? Before landfall? Venice FL here,0.255,0.745,0.0,-0.6662,NEG
Is there possibility to strengthen back to 5?,0.0,0.753,0.247,0.3182,POS
no. It’s also moving more north east. Mike is debating on going back towards Tampa,0.136,0.864,0.0,-0.296,NEG
