Comments,NEG,NEU,POS,Compound,Sentiment
"I live in an 85-year-old home in Western Polk County. I've made plans to go to the Best Western about a mile from my home. My daughter and family live in Tampa. So frightened for them, but they do have a newer brick home away from a flood zone. It may or may not hit Polk County, but as a retiree, I'm not taking any chances!",0.066,0.894,0.04,-0.1721,NEG
"Be safe, praying for all . I am in central Florida ,it seems we will get a direct hit , praying it gets weaker as it gets closer to the coast ",0.086,0.68,0.234,0.6124,POS
my parents are in a 1919 Florida bungalow (thankfully replaced the original tin roof this spring) located in Bradenton. 😕 they won't leave for anything,0.0,0.859,0.141,0.3502,POS
"smart move, a less stressful event when it comes you should be safer",0.172,0.514,0.314,0.3597,POS
hey should get you and stay with them.,0.0,1.0,0.0,0.0,NEU
Don’t take any chances!! Be safe,0.0,0.431,0.569,0.6467,POS
"where is that BW, if u have approximate address or phone#. Thank u",0.0,0.8,0.2,0.3612,POS
"Good to be safe! It is hard to leave our homes but in view of this, that is the right choice.",0.098,0.724,0.178,0.4389,POS
stay safe.,0.0,0.256,0.744,0.4404,POS
okay,0.0,0.0,1.0,0.2263,POS
Best wishes from Fort Myers for safety and a smooth week ahead for us all!,0.0,0.553,0.447,0.8356,POS
prepare there too. You're not out of possibility and you'll be on the dirty side.,0.172,0.828,0.0,-0.4404,NEG
"please note there will be flooding there and in the past that area didn’t fare incredibly well.
Be careful ",0.0,0.709,0.291,0.6764,POS
Here I was in the White Ambulance 2 Year's ago. Area look familiar?,0.0,1.0,0.0,0.0,NEU
Amen,0.0,1.0,0.0,0.0,NEU
 back at you!,0.0,1.0,0.0,0.0,NEU
 Amen!,0.0,1.0,0.0,0.0,NEU
"I’ll be safe working in the fortress known as Tampa General Hospital for another Hurricane life in the medical field, my current position ad staffer makes me nonessential, but my wife is a nurse on A team, so she'll be working too.",0.0,0.952,0.048,0.2382,POS
you have no idea how much I appreciate your dedication and please stay safe!,0.113,0.464,0.422,0.7177,POS
as a nurse myself thank you for everything you do for your patient especially in situations like this.,0.0,0.74,0.26,0.6444,POS
seriously! That fence was so cool!,0.183,0.431,0.385,0.4358,POS
I loved that wall!!,0.0,0.308,0.692,0.6688,POS
" God Bless our ""unsung "" heroes- our healthcare workers Thank you & I pray you all will be safe",0.0,0.386,0.614,0.9313,POS
that aqua fence is amazing. Be safe!!,0.0,0.407,0.593,0.8065,POS
Best hospital ever,0.0,0.323,0.677,0.6369,POS
I’ve lived in the Brandon area most of my life. Hurricane Charley (2004) was one that our power went out for days and the wind was loud for hours. And I think at one point Orlando had 100mph winds. Take precautions for this storm as it is sounding similar. Google it if you weren’t in Florida then. Stay safe everyone!,0.0,0.948,0.052,0.4926,POS
"we lived in Winter Springs (Seminole County) and Charley caused an extensive amount of damage throughout Central Florida. It took my husband one hour to get his parents house who lived in the same neighborhood, and less than two miles from us.",0.072,0.928,0.0,-0.4939,NEG
"yes! I lived in Charlotte Harbor! Charley was compact, extremely strong and caused a lot of wind damage. Thankfully it moved fast!",0.11,0.549,0.342,0.7763,POS
i just moved to Brandon today  I'm freaking out. I don't know what to do! Hubby doesn't think we need to leave.,0.193,0.807,0.0,-0.5093,NEG
I lived in Polk when that occurred and then moved south and the next year they came there and it was devastation weeks with no power.,0.179,0.821,0.0,-0.6124,NEG
"there was one of the storms that my power was out for a week. Also, it was very scary when it was going through even in Brandon.",0.123,0.877,0.0,-0.5413,NEG
this was another weather war like Katrina,0.342,0.439,0.219,-0.34,NEG
I live in Brandon too. I am terrified of this one. My hubby won’t leave,0.321,0.679,0.0,-0.6369,NEG
I lived in my new home in Venice during Charley.,0.0,1.0,0.0,0.0,NEU
The line is going almost into my backyard in tampa. Near faulkenburg road. We are trying to sell... Should we board up the windows?,0.0,1.0,0.0,0.0,NEU
"my Daughter lives in Brandon, trying not too worry.",0.0,0.769,0.231,0.3412,POS
I'm on the verge of perhaps breaking rule #7,0.0,1.0,0.0,0.0,NEU
 I panicked a lil and I’m currently at TPA awaiting to board my flight. I decided to be on the safe side and visit my parents in Arkansas. I needed a mental break,0.094,0.815,0.091,-0.0258,NEU
"I'm in St Pete & on the heels of Helene it's difficult to stay calm or optimistic. This has me exhausted and worried. My extended family and I are working through how to stay together and strong. Having a support system is so important right now, it is just awful to be planning for a major storm immediately after trying to deal with the devastation of a week(ish) ago. I'm 50 and a St Pete native, I've seen a lot, this just isn't the same. This season has brought so much loss. May we all thrive in the long term despite these hardships.",0.137,0.749,0.114,-0.3843,NEG
new here.... Where do I find the rules?,0.0,1.0,0.0,0.0,NEU
 I already broke rule 7,0.583,0.417,0.0,-0.4215,NEG
same here! No sleep up all night,0.293,0.707,0.0,-0.3595,NEG
what is rule #7?,0.0,1.0,0.0,0.0,NEU
me too!!,0.0,1.0,0.0,0.0,NEU
were all here for each other !,0.0,1.0,0.0,0.0,NEU
what’s the rule?,0.0,1.0,0.0,0.0,NEU
I've been breaking it too,0.0,1.0,0.0,0.0,NEU
We just evacuated back to Ohio to family from our home in Eastpoint from Helene. We were spared but many were not. Will stay put to see how this one pans out. Many prayers and stay safe !,0.0,0.897,0.103,0.63,POS
GOOD  IDEA!!,0.0,0.223,0.777,0.5399,POS
I live in land hernando I’m probably leaving to head to my sons in Jacksonville Tuesday,0.0,1.0,0.0,0.0,NEU
"we are also leaving, if it doesn't shift! This is horrible! - hernando county-",0.254,0.746,0.0,-0.6229,NEG
u might want leave early than that,0.185,0.615,0.2,0.0258,NEU
"My family and I live in Spring Hill and will be heading to Jacksonville as well if the track doesn’t change come Tuesday.
Be safe and God bless you and your family",0.0,0.732,0.268,0.836,POS
"if you're able to leave before tuesday, that would be a good idea.",0.085,0.709,0.206,0.4019,POS
might want to leave sooner. Everyone is going to want to leave,0.185,0.615,0.2,0.0516,POS
Tuesday is to late,0.0,1.0,0.0,0.0,NEU
"im on vacation staying in four corners. im so worried about this as we have never experienced a storm (from the uk, we get high winds but nothing like this) should we go to jacksonville?",0.126,0.874,0.0,-0.5571,NEG
I live in brooksville I can’t leave I have animals,0.167,0.833,0.0,-0.0516,NEG
