Comments,NEG,NEU,POS,Compound,Sentiment
"I’m partnering with that second option, Dennis. Those upper level winds are gonna do their thing.",0.0,1.0,0.0,0.0,NEU
 I’m praying it weakens!,0.324,0.282,0.394,0.126,POS
 Yes!,0.0,0.0,1.0,0.4574,POS
"We are praying Gods protection over our state ! We pray that the eye and the winds of the storm dissipate now in the name of Jesus !!!! We speak the peace of God over every household. Father we thank you for Denis Phillips cover and shield his family . In the mighty name of Jesus !
Together we are Florida strong !!! ",0.0,0.757,0.243,0.9466,POS
"standing, declaring and believing with you from Idaho ",0.0,1.0,0.0,0.0,NEU
believing in agreement with you in Illinois.,0.0,0.652,0.348,0.4939,POS
 thank you so much for this prayer! You are a sister in Christ! Praying in agreement!,0.0,0.569,0.431,0.8433,POS
" standing, agreeing, interceding and BELIEVING with you from Pennsylvania!!!! ",0.0,0.692,0.308,0.5526,POS
Amen!!!!!,0.0,1.0,0.0,0.0,NEU
"WEAKEN THE STORM, STRENGTHEN OUR HOME WALLS
praying for it. declaring it. it WILL happen 🙌🏻",0.16,0.589,0.251,0.25,POS
Praying for the infrastructure to hold up and wind shear to continue and thanking God for His protection and intervention however He does it in whatever as only He can do In Thank You Lord that You are everywhere and you are worthy of all worship and praise We need you and you are the salvation and our Savior in Jesus name amen,0.0,0.783,0.217,0.93,POS
praying and declaring with you! In Jesus name!,0.0,0.694,0.306,0.4738,POS
Amen! May our homes and hearts remain strong!,0.0,0.643,0.357,0.5972,POS
praying THIS and safety for all.,0.0,0.43,0.57,0.6486,POS
Praying and standing with you from CT!,0.0,0.682,0.318,0.4199,POS
praying and declaring this with you,0.0,0.667,0.333,0.3612,POS
In agreement with you and declaring it in Jesus name!,0.0,0.72,0.28,0.5411,POS
 I touch and agree! It’s already done. ,0.0,0.642,0.358,0.4199,POS
Amen! Tell the storm to weaken ,0.382,0.618,0.0,-0.4753,NEG
"No matter the path, many fellow Floridians will see and suffer from this. Feeling anxious like never before ",0.31,0.484,0.206,-0.5574,NEG
"praying for peace for you! I’m nervous too, but hoping it weakens!",0.227,0.354,0.419,0.5837,POS
 I'm in the same boat. Most of my family is in Clearwater and Trinity. Feeling very nervous right now from Maryland...,0.105,0.83,0.066,-0.2247,NEG
" I feel it too be safe
",0.0,0.58,0.42,0.4404,POS
