Comments,NEG,NEU,POS,Compound,Sentiment
Denis Phillips wouldn’t it be less of a storm surge for Manatee County if the eye is below us?,0.0,1.0,0.0,0.0,NEU
I thought the same thing...,0.0,1.0,0.0,0.0,NEU
is the eye south of us now?,0.0,1.0,0.0,0.0,NEU
"Yesterday the power outage index showed Spring Hill in the low-moderate range. Now that the track shifted a bit south I would think it would’ve been better, but the current outage index showed moderate to high..can someone help me understand? I’ve been following Denis since Hurricane Ian, but this is the heaviest I have kept up with a storm! So there are some things I still don’t understand.",0.0,0.913,0.087,0.6996,POS
"I think it’s a function as others have said of the northside of the contact line being the stronger wind threat because the southside is supposed to get eroded by the sheer. It’s also, I believe, because the storm is expected to be wider (doubling in size) which would extend the hurricane force winds out further than yesterday’s forecast.",0.056,0.873,0.071,-0.0258,NEU
Please everyone stay safe and if you can evacuate now before it hits if your in any of the areas he mentioned better to be safe then sorry!!,0.036,0.641,0.323,0.8829,POS
"Part of it is probably also because yesterday Milton was down to 3/4, and today it's back up to 5, which has likely also impacted the predicted risk for outages.",0.068,0.932,0.0,-0.2732,NEG
"hernando county looks like expecting power outages, but I'd be surprised to see major surges outside hernando beach. We'll see I guess",0.0,0.823,0.177,0.4767,POS
"the worst of the wind will be on the North side of the storm, so now that it has shifted South it means stronger winds in Spring Hill (which is on the North side of the storm)",0.098,0.839,0.062,-0.3612,NEG
 the north side of the storm gets more of the hurricane force winds,0.0,1.0,0.0,0.0,NEU
 where can i find the index please?,0.0,0.685,0.315,0.3182,POS
"It's the grid. Major poles and transformers affected affect many, even those not in the path.",0.096,0.904,0.0,-0.1531,NEG
prep for the worst and hope for the best. The electric company is not a meteorologist.,0.177,0.517,0.306,0.4588,POS
what outage index are you looking at?,0.0,1.0,0.0,0.0,NEU
I wish we can get a map with the counties or cities on it,0.0,0.803,0.197,0.4019,POS
after it passes,0.0,1.0,0.0,0.0,NEU
…this is a great meteorologist to follow. When we lived in Sebring he was who we always watched. He has great advice and knows his stuff! I still follow him to get information on the area! Hope you stay safe!,0.0,0.696,0.304,0.9421,POS
Thank you!,0.0,0.264,0.736,0.4199,POS
the best,0.0,0.192,0.808,0.6369,POS
Just for once can the hurricane come during the day? Why does it always come during the night,0.0,1.0,0.0,0.0,NEU
"It's at night when the upper and middle part of the atmosphere cools (because the sun is not there to heat it up) and that releases energy in the storms, which turns into winds and moisture.
With the increased winds and moisture, storms become stronger, likely pushing them further along their paths toward land.
I didn’t fully remember from reading about hurricanes while back ago, so had to Google",0.0,0.905,0.095,0.7003,POS
I’m totally with you on that!!!! Ramps up the anxiety 1000%!!,0.223,0.777,0.0,-0.4344,NEG
and surge is really scary at night unfortunately I know firsthand from Helene,0.371,0.629,0.0,-0.7089,NEG
"absolutely agree with you!
",0.0,0.493,0.507,0.474,POS
I was just thinking that today,0.0,1.0,0.0,0.0,NEU
"Ian was a daytime player no?!
",0.0,1.0,0.0,0.0,NEU
