Lots of folks talking about this funnel cloud. Brandon to Riverview. This is from Harbour Island. 📸 Karine Henschen,Pos,Neu,Neg,Compound,Overall Sentiment
that's what I came here to say 😂,0.0,1.0,0.0,0.0,NEU
glad someone else thought that as well!! 😄,0.532,0.468,0.0,0.6892,POS
This was taken at the fairgrounds,0.0,1.0,0.0,0.0,NEU
It was crazy. I saw it walking into the Riverview 🎯,0.0,0.769,0.231,-0.34,NEG
I seen it when it first started forming I was getting off of work In Riverview Fl 😱😱,0.0,1.0,0.0,0.0,NEU
In Brandon near bloomingdale,0.0,1.0,0.0,0.0,NEU
On Bloomingdale in Brandon toward Riverview,0.0,1.0,0.0,0.0,NEU
This is not something we see often in this area.,0.0,1.0,0.0,0.0,NEU
Also saw it in Apollo beach,0.0,1.0,0.0,0.0,NEU
"You might ought a
bring my babies a week early!!!😳",0.0,1.0,0.0,0.0,NEU
Holy Moses,0.0,1.0,0.0,0.0,NEU
Saw it from my front yard too,0.0,1.0,0.0,0.0,NEU
Yup we saw it driving from Lithia to Riverview. Quick shot,0.0,1.0,0.0,0.0,NEU
"We saw it too!",0.0,1.0,0.0,0.0,NEU
I75 near Riverview!,0.0,1.0,0.0,0.0,NEU
Nice little rope. Even the NWS was watching it on radar.,0.219,0.781,0.0,0.4215,POS
"Looks like someone collected all the Dragon Balls",0.263,0.737,0.0,0.3612,POS
We had one too near edge in Gibtown. Riveview.,0.0,1.0,0.0,0.0,NEU
Outside my daughters daycare,0.0,1.0,0.0,0.0,NEU
I got a video (passenger).,0.0,1.0,0.0,0.0,NEU
is this in Brandon or near there?,0.0,1.0,0.0,0.0,NEU
I was in Riverview on Boyette going toward Gibsonton from Lithia.,0.0,1.0,0.0,0.0,NEU
Was dropping my mom off at her house in Brandon.,0.0,1.0,0.0,0.0,NEU
Did it touch down or do any damage ? I hope not,0.206,0.567,0.227,-0.0772,NEG
it didn’t make it all the way down. This is a neighbor of mines video:,0.0,1.0,0.0,0.0,NEU
My son saw it faulkenburg and 301,0.0,1.0,0.0,0.0,NEU
Turkey Creek looking west down Highway 60,0.0,1.0,0.0,0.0,NEU
