"Oz GFS continues to bring Tropical Storm Debby (to be) close to the coastline Sunday am. Other models more offshore. It won't have a ton of time to develop, but if this is accurate,  expect some squally weather late Saturday and into Sunday morning. We should know track by Friday am once the center forms. As always, we'll be updating 24/7.",Pos,Neu,Neg,Compound,Overall Sentiment
Will there be storm surge flooding?,0.0,1.0,0.0,0.0,NEU
"ugh, Idalia flooded us terribly. Hudson beach",0.0,0.439,0.561,-0.7506,NEG
"Denis Phillips you are talking storm hitting this Sunday, correct? Not a week from Sunday?",0.0,1.0,0.0,0.0,NEU
you have one day to get ready. THIS Sunday,0.238,0.762,0.0,0.3612,POS
"Denis Phillips, how many inches of rain at worst do you think (Morriston/Ocala)",0.0,0.745,0.255,-0.6249,NEG
"Denis Phillips thank you!",0.482,0.518,0.0,0.4199,POS
I have a flight Monday morning out of srq will we still be able to fly in your opinion,0.0,1.0,0.0,0.0,NEU
