"Debby is now a hurricane. Winds are 75 mph. No changes to track or landfall estimate. We are LIVE right now on DPL so if you have any questions, you can stop by and say Hi. Jason Adams will be in shortly as well. ABC Action News at 11 starts now.",Pos,Neu,Neg,Compound,Overall Sentiment
Wind is nuts right now by the beach in saint pete. Rain is about to start up again. Love those outer bands they're a doozy.,0.147,0.772,0.081,0.4404,POS
- the wind is insane -,0.0,0.526,0.474,-0.4019,NEG
Clearwater is being pounded by rain and the wind is horrible! Been without power now for almost two hours now and I know they can’t/won’t put workers in harms way to get it fixed. It’s going to be a long and warm night. Be safe everyone and stay off the roads! Prayers to our first responders.,0.077,0.805,0.117,-0.5399,NEG
I’m hoping to get a few hours of sleep before work but it’ll end up being about 4 hours max. The flooding is giving me anxiety since I don’t have flood insurance (never seen it like this before!) so I’m having trouble sleeping,0.172,0.707,0.121,0.3708,POS
"it’s 3:30 am and one dog woke me up desperate to go out since she refused all day yesterday. She was leery with all the wind, but rain has stopped and she tiptoed 😂 around until she could go. We haven’t had power in 6 hours, so the house is now hot and humid making it difficult to sleep. Work will be rough, but hopefully they will show us grace since they are in the same boat. Take it easy and stay alert on the roads. 🙂",0.141,0.77,0.09,0.7935,POS
"school closed for me, thank goodness. I am so sorry you still have to go in:(",0.288,0.629,0.083,0.6003,POS
"From Dunedin, it certainly was tense there for awhile, we were keeping an eye on our pond out back of our home-since it is fed by the gulf, but we made it through-- fingers crossed and alot of prayers too.We;ll take a walk around the property when things dry out a little, for now just staying put. Thank you being there with us through this, would not have made it without your calming words.",0.064,0.877,0.059,0.0933,POS
I need to pick up my sister and mom from the st Pete airport. Is it flooded? Or am I good to go? It's only raining a little here in dunedin now!,0.113,0.887,0.0,0.5502,POS
"This is a scary TS. It's sounds like a hurricane outside here in Clearwater 🫣🌀",0.15,0.659,0.192,-0.1779,NEG
what is TS. I have seen a few people use that.,0.0,1.0,0.0,0.0,NEU
"TS is the abbreviation for tropical storm",0.0,1.0,0.0,0.0,NEU
"Zephyrhills is windy and rainy on and off, often, times real heavy!!",0.0,0.854,0.146,-0.2225,NEG
"same in Wesley Chapel",0.0,1.0,0.0,0.0,NEU
Heaviest wind in north fort myers right now!,0.0,1.0,0.0,0.0,NEU
"The track has shifted east, what is the probability of it continuing to shift further east tonight?",0.0,1.0,0.0,0.0,NEU
"Denis, currently vacationing in Charleston and trying to drive back to Tampa tomorrow morning. Will we be able to skim by the storm early Monday morning?",0.0,1.0,0.0,0.0,NEU
You might need to try….. Listen to Patrick Pat Prokop's Weather and Nature Page,0.0,1.0,0.0,0.0,NEU
not a good idea....wait for it to completely pass over .,0.0,0.769,0.231,-0.3412,NEG
Still having very strong gusts of wind and driving rain in Seminole.☔️🦆💧,0.246,0.754,0.0,0.5563,POS
Thank you!,0.736,0.264,0.0,0.4199,POS
we have no power here in Seminole. We are right next to the Seminole lake park.,0.0,0.872,0.128,-0.296,NEG
hope it's back on now!-??,0.47,0.53,0.0,0.5502,POS
Hillsborough county teachers are reporting to various training locations across the county at 7:30AM tomorrow (Monday) morning. Where can we view current road flooding conditions to help us get there safely? Thanks!,0.239,0.761,0.0,0.8439,POS
it is wild to me that some counties are flooded and you have to go in. Hernando has closed all work sites tomorrow!,0.0,1.0,0.0,0.0,NEU
This is what my phone looks like right now as of 2AM and the trainings are still on schedule for this morning in Tampa.,0.098,0.902,0.0,0.3612,POS
Citrus County Schools are closed - keep checking your District for updates - especially now that storm has upgraded to hurricane .,0.0,1.0,0.0,0.0,NEU
They should cancel. It's supposed to continue raining tomorrow too.,0.0,0.818,0.182,-0.25,NEG
"good question. Same with Pinellas County Schools.",0.326,0.674,0.0,0.4404,POS
I honestly can't believe Pinellas hasn't called off work for tomorrow with all of the flooding. It's only going to be worse in the morning.,0.107,0.783,0.11,-0.0258,NEU
I know.. as a pinellas county teacher with no electricity right now.. I’m in shock.,0.0,0.696,0.304,-0.5859,NEG
they have cancelled school for less than this. I am dumbfounded.,0.0,0.635,0.365,-0.5574,NEG
well it’s just us teachers going into work tomorrow…. It’s making me think they don’t care about us..🥲,0.249,0.751,0.0,0.6486,POS
Also a Pinellas County teacher: Prepping my boat to get to work tomorrow,0.0,1.0,0.0,0.0,NEU
"Our apt complex is flooded in st Pete I would stay off the streets over here",0.0,1.0,0.0,0.0,NEU
"It could be worse if it had been slower in the gulf.",0.0,0.78,0.22,-0.4767,NEG
"The wind is insane in Largo right now!!",0.0,0.681,0.319,-0.508,NEG
It's never ending!!,0.0,1.0,0.0,0.0,NEU
Heavy rains and wind on waterfront now in Hudson. Lightning and thunder as well. High tide 2 am,0.116,0.884,0.0,0.2732,POS
"I could hear it getting stronger out there .
Thank you and to your team for keeping us updated.",0.254,0.746,0.0,0.6249,POS
Super windy feels great outside right now,0.615,0.385,0.0,0.8402,POS
Sounded like a train passing full speed. Rain and wind just now calmed in Temple terrace .,0.282,0.718,0.0,0.6249,POS
train sound is the tornadoes,0.0,1.0,0.0,0.0,NEU
It’s real windy here in Hudson,0.0,1.0,0.0,0.0,NEU
it is!!,0.0,1.0,0.0,0.0,NEU
"and it’s coming down in buckets",0.0,1.0,0.0,0.0,NEU
Pretty intense in Inverness right now. Thank you for the updates.,0.467,0.533,0.0,0.7184,POS
Does anyone know how wide the entire hurricane is? It looks pretty wide with the outer bands,0.167,0.833,0.0,0.4939,POS
not sure how accurate 😂,0.0,0.605,0.395,-0.2411,NEG
Is it just me or it didn’t the last two radar images show it’s moving east or is it an eye wall replacement cycle?,0.0,1.0,0.0,0.0,NEU
"I was thinking the same. The updated track is from that little jog.",0.0,1.0,0.0,0.0,NEU
Is it totally away from the Tampa Bay Area? Other than the rain?,0.0,1.0,0.0,0.0,NEU
it's right over Tampa Bay right now.,0.0,1.0,0.0,0.0,NEU
"In Floral City here. Just a lot of rain and wind on and off all day. So far so good! 🙏🙏🙏",0.187,0.813,0.0,0.6556,POS
"Oh dear, hopefully everyone will be safe ♥️",0.621,0.379,0.0,0.802,POS
thanks,1.0,0.0,0.0,0.4404,POS
Should Ocala get just heavy rain?,0.0,1.0,0.0,0.0,NEU
that's what I thought till I saw how bad Clearwater is getting hammered. Might be more wind and rain coming than I thought,0.0,0.844,0.156,-0.5423,NEG
Do you know when will it hit Tallahassee?,0.0,1.0,0.0,0.0,NEU
Big thunder in north west Palm Harbor!!!,0.0,1.0,0.0,0.0,NEU
"yes! Loud!",0.767,0.233,0.0,0.508,POS
"What's Valdosta going to get?",0.0,1.0,0.0,0.0,NEU
The wind in Largo/Belleair Bluffs is strong right now!,0.31,0.69,0.0,0.5562,POS
it’s so bad in largo 😬,0.0,0.513,0.487,-0.5849,NEG
I live in Largo and the wind is insane. Can't wait for this to pass.,0.0,0.828,0.172,-0.4019,NEG
it’s keeping me up. 😭 the house next door has a large tree next to my room. I hope they cut it down one day.,0.116,0.8,0.084,0.2023,POS
I'm watching The Weather Channel and see how they are helping people out to safety in canoes. 💔 God bless and keep you safe and neighbors!,0.396,0.604,0.0,0.902,POS
"we have 8 old oaks and a giant old pine in the yard, and I am really, really done with the wind!!",0.0,1.0,0.0,0.0,NEU
"this cracked me up,, sorry. Your Lil doggies face. I know serious but thanks for the giggle. Really really needed that. Im near Pinellas Park at 1130 at night and still getting strong gusts and rain bands coming off Gulf. Prayers to everyone",0.234,0.721,0.045,0.9136,POS
pretty crazy in Tarpon Springs too!,0.353,0.404,0.243,0.2714,POS
Largo for the last few hours:,0.0,1.0,0.0,0.0,NEU
Ton of rain in Brandon for hours.,0.0,1.0,0.0,0.0,NEU
here too. All night ...🌧🌀🌊🌊,0.0,1.0,0.0,0.0,NEU
We are flying to clearwater beach on Monday morning. We will land at 11 lsh. Do you think it will be safe or think it will get canceled?,0.097,0.903,0.0,0.4404,POS
We're on the dirty side of the rotation so the winds and rain were fairly brutal. Subsiding now tho..but it was a lot worse than I expected that's for sure.,0.063,0.659,0.277,-0.8316,NEG
Thank you for staying up with everyone tracking this storm!,0.237,0.763,0.0,0.4199,POS
"I waited patiently for you to type, Denis Phillips!",0.0,1.0,0.0,0.0,NEU
me too. I’m a faster typist so my patience was running thin more than it has thru this entire storm 🤣😅 and I’ve been without power since 8,0.0,1.0,0.0,0.0,NEU
"oh no! So far, we have power and I hope it stays that way. Where are you located? I’m by Weeki Wachee - daughter is in New Port Richey.",0.105,0.823,0.072,0.2481,POS
Pinellas park area,0.0,1.0,0.0,0.0,NEU
me too. Been a monstrous day 4 hours straight and more coming in off Gulf. Lost electricity 2x but came back on. This is nuts. I'm born and raised in Florida . Waiting for that last tailwhip. 🙏 just saw lightning,0.036,0.849,0.115,-0.4854,NEG
I think Duke just gave us a teaser! Ceiling fan turned 2 rotations and stopped. Teasers! 🤣😂,0.124,0.541,0.335,-0.4374,NEG
me too. Thanks Denis Phillips!!!,0.486,0.514,0.0,0.5826,POS
we sure type fast!,0.464,0.536,0.0,0.3802,POS
same!! 😂😂,0.0,1.0,0.0,0.0,NEU
we type fast!,0.0,1.0,0.0,0.0,NEU
Denis Phillips is fabulous at keeping every updated regarding hurricane info. I stalked his webpage during Hurricane Ian.,0.175,0.825,0.0,0.5267,POS
"Omg now it’s a hurricane it’s felt like a hurricane all day 😳",0.217,0.783,0.0,0.3612,POS
agree.,1.0,0.0,0.0,0.3612,POS
Just incredible I can hear airplanes going over our house in this mess. I would not want to be on that flight.,0.0,0.815,0.185,-0.4761,NEG
yup! Just heard a plane take off from SRQ. These pilots are amazing.,0.271,0.729,0.0,0.6239,POS
same!!!,0.0,1.0,0.0,0.0,NEU
I’ve live here my entire life (33 years) and I’ve never experience this even with a more dead on hit in Port Richey. Soooooo much rain. We never get flooded but today we saw it. Crazy how this thing came on so quickly and strong!!,0.093,0.784,0.124,-0.1618,NEG
"Insane rain, thunder and wind in NPR. Had to unplug my NOAA radio because it was going off every 2 minutes!",0.0,0.864,0.136,-0.4574,NEG
Thank you for all your hard work ..you are a voice of comfort,0.325,0.584,0.091,0.5574,POS
What does that mean for Tampa,0.0,1.0,0.0,0.0,NEU
it means it’ll be starting to calm down here in a few hours. We’re good.,0.302,0.698,0.0,0.6369,POS
Pounding Us here in Holiday right now,0.31,0.69,0.0,0.4019,POS
I’m gonna be that guy and ask if outgoing TPA flights on Monday could be cancelled,0.121,0.769,0.11,0.0516,POS
How’s Hudson on Bolton ave,0.0,1.0,0.0,0.0,NEU
I live in beacon woods and the wind and rain is crazy!!,0.0,0.77,0.23,-0.4559,NEG
How's Tampa Florida going so far,0.0,1.0,0.0,0.0,NEU
Wet & windy 😉,0.0,1.0,0.0,0.0,NEU
