OK. Let's see your hurricane snacks.,Pos,Neu,Neg,Compound,Overall Sentiment
would love your recipe I love Pumpkin season sounds delicious,0.669,0.331,0.0,0.9201,POS
That sounds delicious 😋,0.649,0.351,0.0,0.5719,POS
"I'm inviting myself over to your house too!",0.27,0.73,0.0,0.3802,POS
those look amazing recipe?,0.559,0.441,0.0,0.5859,POS
"Happy to share.
Soft Pumpkin Snickerdoodles 🎃
Delicious and easy Pumpkin Snickerdoodles infused with pumpkin puree and warming spices!
Ingredients:
1/2 cup butter, softened
1 1/2 cups sugar
1 egg
1/2 cup pumpkin puree
3 cups all-purpose flour
1 teaspoon cream of tartar
2 teaspoons baking soda
1/4 teaspoon salt
1 teaspoon pumpkin pie spice or 1/2 teaspoon cinnamon, 1/4 teaspoon allspice, 1/4 teaspoon nutmeg, 1/4 teaspoon ginger
Cinnamon Sugar Mixture:
2 tablespoons sugar
2 teaspoons cinnamon
Instructions:
Preheat your oven to 350 degrees Fahrenheit (175 degrees Celsius). Line a baking sheet with parchment paper. In a large mixing bowl, cream together the softened butter, sugar, egg, and pumpkin puree until smooth. Add the flour, cream of tartar, baking soda, salt, and pumpkin pie spice (or individual spices). Mix until a dough forms. In a small bowl, mix together the sugar and cinnamon for the cinnamon sugar coating. Roll the dough i-inch balls, then roll each ball in the cinnamon sugar mixture until coated evenly. Place the coated dough balls on the prepared baking sheet, spacing them evenly. Lightly press down on each dough ball with the back of a spoon or your fingers to slightly flatten. Bake in the preheated oven for 8-10 minutes, or until the edges are set and the cookies are just beginning to crack on top. Remove from the oven and let the cookies cool on the baking sheet for a few minutes before transferring them to a wire rack to cool completely. Enjoy these soft and flavorful Pumpkin Snickerdoodles!
My Notes: the dough is very sticky, I recommend refrigerating it for 15-20 minutes before scooping and in-between scooping each sheet. I used a 1 1/4"" scoop and did not press the cookies down.
Using a 12""x18"" sheet, I was able to get 15 cookies per sheet and made a total of 51 cookies. They are tasty, but I think I might add 1/2 tsp more of the Pumpkin pie spice next time.",0.102,0.898,0.0,0.9425,POS
"your jumpin quick into fall",0.0,1.0,0.0,0.0,NEU
my favorite season 🧡,0.6,0.4,0.0,0.4588,POS
Need a hurricane before we get hurricane snacks! Seems like a Florida storm that is going to last longer.,0.149,0.851,0.0,0.4199,POS
Right! I didn’t get snacks for this one. No hurricane! Lol!,0.265,0.577,0.159,0.3561,POS
"me either
But dang it!!! All these snacks being posted makes me want to go get some though. 😁😁😁",0.114,0.886,0.0,0.3239,POS
"I did go get some 😁",0.0,1.0,0.0,0.0,NEU
or is Denis Phillips trying to tell us something….,0.0,1.0,0.0,0.0,NEU
"don't need a hurricane to get the snacks just need a lazy Sunday, and that's what tomorrow will be",0.0,0.865,0.135,-0.3612,NEG
"it will be a hurricane once it gets into the gulf",0.0,1.0,0.0,0.0,NEU
None 😄,0.0,1.0,0.0,0.0,NEU
top wind is projected to be 60 when it gets to Tampa Bay area. Isn’t a hurricane until 74,0.096,0.904,0.0,0.2023,POS
"Yes, it has potential but it's all a guessing game that people are freaking out over.",0.1,0.701,0.199,-0.431,NEG
yes. We have the winds and heavy rain here in Spring Hill,0.197,0.803,0.0,0.4019,POS
freaking out about things that might never happen sounds stressful… our household does its best to be prepared but “freaking out”?!? That reaction is why it’s difficult to get gas when a storm is approaching,0.102,0.753,0.146,-0.4122,NEG
I’d love to see the stats on increase in Little Debbie’s purchases after this week. Of course if the storm does any serious damage it’ll probably go the other direction.,0.176,0.703,0.122,0.4588,POS
"🤣there’s a Shortage already, 🤣🤣🤪🤪☔️⚡️🫣🫣",0.0,0.6,0.4,-0.25,NEG
"Leftover arancini from BellaBrava!",0.0,1.0,0.0,0.0,NEU
"those are the best things I ever ate! I have no idea how they made it home",0.228,0.66,0.112,0.5093,POS
My kind of hurricane snack 😂,0.0,1.0,0.0,0.0,NEU
