Quiz time.  Which is Shay's and which is mine? 🤣,Pos,Neu,Neg,Compound,Overall Sentiment
Did you get fries Denis? 😂😂,0.0,1.0,0.0,0.0,NEU
"I pretty sure McDonald's cheeseburgers are the sole reason I had to have open heart surgery lol. Boy, I miss them.",0.347,0.586,0.067,0.7717,POS
"Burgers have to be yours.",0.0,1.0,0.0,0.0,NEU
Denis Phillips I found the best cake for you!,0.391,0.609,0.0,0.6696,POS
"Idk but that yogurt looks yummy.",0.469,0.408,0.122,0.6597,POS
"I like the idea of cheeseburgers. Good comfort food",0.612,0.388,0.0,0.7845,POS
Is that even a question? 🤣,0.0,1.0,0.0,0.0,NEU
"They both look good. Share them with each other!",0.435,0.565,0.0,0.6588,POS
"I have to see the cheeseburgers got to be Dennis",0.0,1.0,0.0,0.0,NEU
"You deserve two cheeseburgers for all you do for us.",0.0,1.0,0.0,0.0,NEU
Omg you have me laughing so hard 😂😂😂 that’s an easy one! She’s def not eating 🍔 that!,0.296,0.621,0.083,0.702,POS
Obvious Denis your the cheeseburger eater. Good for you great protein. 😁,0.438,0.562,0.0,0.7906,POS
I’m gonna go the other way & say Shay is stressed about the weather & went for the burgers. 🤣,0.0,0.87,0.13,-0.34,NEG
"Have u slept at all??",0.0,1.0,0.0,0.0,NEU
Too funny 😂,0.744,0.256,0.0,0.4404,POS
they need everything to survive the day . wheres your little debbie snacks 🤣,0.0,1.0,0.0,0.0,NEU
Where's you Dr pepper ? lol,0.412,0.588,0.0,0.4215,POS
"I'm going to say they are all yours Denis Phillips .",0.0,1.0,0.0,0.0,NEU
I’ll say you got the McDonald’s. I know I would!,0.0,1.0,0.0,0.0,NEU
"Denis Burgers, Shay has the nuts. Denis is set for the long haul",0.0,0.839,0.161,-0.3182,NEG
Would love that yogurt bowl 🤤,0.512,0.488,0.0,0.6369,POS
"Great lunch Denis, cheeseburger, Dr Pepper and lil Debbie for dessert?",0.291,0.709,0.0,0.6249,POS
"Shay has the yogurt with berries and sunflower seeds. Denis has McDonald's.",0.0,1.0,0.0,0.0,NEU
The cheeseburger 🍔 that was easy 😂 😂 😂 😂,0.42,0.58,0.0,0.4404,POS
You do the burgers my man..desperate times right now,0.0,1.0,0.0,0.0,NEU
We all know that you're eating the burgers. lol. Enjoy!,0.44,0.56,0.0,0.7424,POS
"Hey,you need all your strength for the rough weather stuff right now!! Enjoy",0.388,0.612,0.0,0.7896,POS
"Those Golden Arches never disappoint when following Rule #7",0.22,0.78,0.0,0.3089,POS
"Yes..the Golden Arches..endorsed by every G.I.
Doctor in the U.S.!😜",0.0,1.0,0.0,0.0,NEU
"Mickie D's HAS to be yours! 🤣 My neighbor just dropped off homemade mini pecan/caramel cheesecakes! 😋
#dietbedamned",0.0,1.0,0.0,0.0,NEU
"Yours is McDonald's",0.0,1.0,0.0,0.0,NEU
Silly man! We got your number.. Lol.,0.456,0.544,0.0,0.4926,POS
"Gee, that's a tough one, I'll go with the cheeseburgers belong to Denis 🤣🤣",0.0,0.889,0.111,-0.128,NEG
Yogurt is namaste so the binge burger.,0.0,1.0,0.0,0.0,NEU
Too easy!,0.761,0.239,0.0,0.4926,POS
"c'mon...give us a challenge! 🤣🤣🤣🤣 however, i will say i am 💯 team Shay on this! except she needs some tupelo honey...the best! 😋 😎",0.273,0.727,0.0,0.7488,POS
"No, contest! Burgers for Denis....",0.0,0.616,0.384,-0.3595,NEG
Your the burgers. Chay the others with the pumpkin seeds 😅,0.0,1.0,0.0,0.0,NEU
"Do you guys have a bird?",0.0,1.0,0.0,0.0,NEU
"Is this a trick question? 🤔",0.0,0.714,0.286,-0.0516,NEG
You took junk food in as snacks so you wouldn’t have parfait for lunch. The burgers are definitely yours.,0.13,0.87,0.0,0.4019,POS
Ooo. Now I want McDonalds...,0.302,0.698,0.0,0.0772,POS
"Your is definitely the cheeseburgers. You got 6 on your way in to work",0.184,0.816,0.0,0.4019,POS
Cheese burger in paradise...,0.0,1.0,0.0,0.0,NEU
Shay doesn't strike me as a 2 cheeseburger type.😂🍔🍔👍,0.186,0.814,0.0,0.0951,POS
"You have the yogurt and sunflower lol 😆",0.318,0.682,0.0,0.4215,POS
Cheeseburgers are your's but where is your diet Dr.Pepper to wash them down with.,0.0,1.0,0.0,0.0,NEU
"Judging from your hurricane supply picture, I am guessing the McDonald’s cheeseburger.",0.0,1.0,0.0,0.0,NEU
Cheeseburgers are yours😁yum! yum,0.0,1.0,0.0,0.0,NEU
"Cheeseburgers are yours 😋",0.0,1.0,0.0,0.0,NEU
You're def the cheeseburger guy. Humble and no worries! LOL,0.223,0.442,0.334,-0.1923,NEG
Yogurt and cheeseburgers do not mix well.,0.0,0.768,0.232,-0.2057,NEG
We all know and it was smart not to have any Dr Pepper cans sitting around lol,0.268,0.732,0.0,0.6705,POS
"Denis enjoy your burgers",0.516,0.484,0.0,0.4939,POS
"They both look amazing to be honest 😂",0.587,0.413,0.0,0.7964,POS
"This is just too hard on my brain!",0.0,0.805,0.195,-0.1759,NEG
Enjoy your cheeseburger... 🤣🤣..Dr.Pepper ❤️,0.444,0.556,0.0,0.4939,POS
Well Shay is gluten free so I’m gonna go with the left.,0.351,0.649,0.0,0.6597,POS
Yours is definitely the burgers!! Ooh and let’s not forget the Dr. Pepper! 😂😂😂😂,0.304,0.696,0.0,0.6419,POS
"Did you get your Dr. Pepper with those burgers?",0.0,1.0,0.0,0.0,NEU
Definitely need some meat to keep up with this storm!!,0.267,0.733,0.0,0.508,POS
"Cheeseburgers!!!! 🥳",0.0,1.0,0.0,0.0,NEU
"it’s the DPL community, great place ! Love it here! Lol",0.625,0.375,0.0,0.9133,POS
I’m on there too! Heheheheh,0.0,1.0,0.0,0.0,NEU
Is this a real question?!?! 🤣,0.0,1.0,0.0,0.0,NEU
Shay has the rabbit food!,0.0,1.0,0.0,0.0,NEU
"I say it’s Shay‘s mouse and your keyboard ￼",0.0,1.0,0.0,0.0,NEU
"Hers is the cheeseburgers and yours is the yogurt.",0.0,1.0,0.0,0.0,NEU
Yours is Mac! Yogurt looks great too 😋,0.423,0.577,0.0,0.6588,POS
"yours is definitely the burgers 🍔",0.403,0.597,0.0,0.4019,POS
"Yogurt sundae is probably yours & also, a love bite out of each of Shay's cheeseburgers.. 😁",0.244,0.756,0.0,0.6369,POS
Cheeseburgers are yours,0.0,1.0,0.0,0.0,NEU
Yours is cheeseburgers but you probably have lots of sweets waiting for you! ❤️,0.261,0.739,0.0,0.68,POS
"Shays is the yogurt concoction, which she will hopefully soon share the recipe with viewers and the honey tea, yours Denis are the cheeseburgers.",0.182,0.818,0.0,0.5994,POS
Question… where’s your Diet Dr. Pepper to go with your burgers??🤣,0.0,1.0,0.0,0.0,NEU
the coffee is yours !,0.0,1.0,0.0,0.0,NEU
"Too easy, you just hid the diet Dr. Pepper 🤣",0.257,0.619,0.124,0.3612,POS
Those are some well deserved cheeseburgers!!! No offense Shay LOL. Those would be my choice too!!,0.296,0.522,0.183,0.5575,POS
"Shay’s = Healthy fruit and nuts
Denis = Cheese Burger 🍔
Me = Winner Winner Chicken Dinner",0.477,0.417,0.106,0.8402,POS
Cheeseburgers for Denis❣️,0.0,1.0,0.0,0.0,NEU
What??????? No Dr Pepper to wash down those yummy burgers😂😂😂😂😂,0.299,0.549,0.151,0.4871,POS
Shays the the berries and pumpkins seeds,0.0,1.0,0.0,0.0,NEU
@ least the ketchup is organic 🙂,0.0,1.0,0.0,0.0,NEU
The absence of a DDP makes it really hard to tell 😂,0.0,0.842,0.158,-0.1761,NEG
"Yours are the cheeseburgers!",0.0,1.0,0.0,0.0,NEU
"Cheese burgers yours",0.0,1.0,0.0,0.0,NEU
"Denis , that's a no brainer...the cheeseburgers are yours.Better eat 'em before the hamburgler gets them! Now I'm telling my age...lol",0.0,0.878,0.122,-0.3595,NEG
Burgers are you Denis..,0.0,1.0,0.0,0.0,NEU
Who is Shay?,0.0,1.0,0.0,0.0,NEU
Yours is the nuts I hope,0.354,0.366,0.28,0.1531,POS
"Hmmm…. Just a wild guess here. Shay has the healthy stuff, and you have the… other stuff. 😂",0.153,0.847,0.0,0.4019,POS
"You are the burger boy. 🍔",0.0,1.0,0.0,0.0,NEU
"Hope you are on a statin",0.42,0.58,0.0,0.4404,POS
"I hope not. Statins do more harm than good. Do the research.",0.34,0.448,0.212,0.3117,POS
"oh my Patricia , thank you for concern about my little joke. My 40 years of nursing and my excellent Dr have it all covered.",0.279,0.721,0.0,0.7968,POS
"How dare you use education, science and personal experience to make a medical decision for yourself?!? 😉😂🤓",0.0,1.0,0.0,0.0,NEU
"AMEN‼️",0.0,1.0,0.0,0.0,NEU
"I believe he was on one and said he head terrible side effects. It may have been a different med, but I'm pretty sure it was a statin.",0.232,0.703,0.065,0.7351,POS
She's having the burgers.,0.0,1.0,0.0,0.0,NEU
"Shay's is the healthy stuff your's not so much 🤣😂",0.231,0.769,0.0,0.4019,POS
"This is too funny!",0.516,0.484,0.0,0.4926,POS
Cheeseburger - yours,0.0,1.0,0.0,0.0,NEU
Shay’s is the healthiest meal,0.0,1.0,0.0,0.0,NEU
"You have the cheeseburgers",0.0,1.0,0.0,0.0,NEU
I would say that the burgers are yours. Enjoy them! They probably cost 25 bucks each. LOL!,0.343,0.657,0.0,0.8083,POS
"Cheeseburgers yours",0.0,1.0,0.0,0.0,NEU
You got good taste in McDonald’s denis,0.326,0.674,0.0,0.4404,POS
"For Denis, Cheeseburgers‼️ 😂😂😂😂😂",0.0,1.0,0.0,0.0,NEU
"Shea’s is the burgers and you are the yogurt",0.0,1.0,0.0,0.0,NEU
I would guess the cheeseburgers are yours Dennis,0.0,1.0,0.0,0.0,NEU
"Cheeseburgers is yours Denis",0.0,1.0,0.0,0.0,NEU
"Holy Yogurt Boat!!! Smart girl got the honey,too!",0.356,0.644,0.0,0.5951,POS
The burger on the right 😆,0.0,1.0,0.0,0.0,NEU
Heck just share your lunches with eathother😅,0.268,0.732,0.0,0.296,POS
"My son recently became a manager at McDonald's. The struggle is real.",0.0,0.813,0.187,-0.3182,NEG
"I am guessing the cheeseburgers are for you",0.0,1.0,0.0,0.0,NEU
"Shay's looks yummy, but yours is better! Maybe have gers for your dessert. 😂",0.366,0.634,0.0,0.7463,POS
You are the burgers,0.0,1.0,0.0,0.0,NEU
"🤣yours is the cheeseburger😂",0.0,1.0,0.0,0.0,NEU
Cheeseburgers,0.0,1.0,0.0,0.0,NEU
"Burgers are yours",0.0,1.0,0.0,0.0,NEU
Our favorite burger boy 🤣🤣,0.429,0.571,0.0,0.4588,POS
I’m with you Denis!!!,0.0,1.0,0.0,0.0,NEU
"The honey for the win!!!",0.539,0.461,0.0,0.6884,POS
Well now I have to know!,0.374,0.626,0.0,0.3382,POS
Yours is the mcdonald's,0.0,1.0,0.0,0.0,NEU
Fun break in our severe weather today.,0.303,0.459,0.239,0.1779,POS
"I know you won't let that yogurt touch your lips. Lol",0.237,0.763,0.0,0.4215,POS
"That parfait looks delicious with the pumpkin seeds on top! 💕",0.42,0.58,0.0,0.6996,POS
I hope the yogurt parfait is your 💪.,0.326,0.674,0.0,0.4404,POS
Cheeseburgers,0.0,1.0,0.0,0.0,NEU
Shays is the salad yogurt thing,0.0,1.0,0.0,0.0,NEU
Cheeseburgers,0.0,1.0,0.0,0.0,NEU
"Trick question - no Diet Dr. P so not yours.",0.0,0.638,0.362,-0.34,NEG
"Can’t tell, no Dr Pepper 🤣",0.0,0.645,0.355,-0.296,NEG
I’m with team Denis!! 😆,0.0,1.0,0.0,0.0,NEU
Hurricane baking since it's National Chocolate chip cookie day!,0.0,1.0,0.0,0.0,NEU
I definitely want Shay's!,0.811,0.189,0.0,0.5093,POS
Cheeseburgers have to be yours! See you on TV soon! 😉,0.0,1.0,0.0,0.0,NEU
Mickie D’s for DP,0.0,1.0,0.0,0.0,NEU
"The McDonalds🍔🍔!!!",0.0,1.0,0.0,0.0,NEU
Yours is on the right.,0.0,1.0,0.0,0.0,NEU
McDonald’s pairs nicely with DDP!,0.444,0.556,0.0,0.4926,POS
That's a tough one. 😂,0.0,0.571,0.429,-0.128,NEG
