"Hurricane Debby has made landfall around 7am,  5 miles west of Steinhatchee, FL  with 80 mph max winds moving NNE at 10mph.",Pos,Neu,Neg,Compound,Overall Sentiment
"me either never saw storms act like this and so widespread. It used to be when it went by it would basically calm down. This one stayed all over to continue massive rain and wind and these tornadoe warning are crazy I don’t remember them being such an issue.
I’ve lived my whole life here 69 yrs",0.078,0.844,0.078,0.0,NEU
I'm just so glad we didn't lose power!!,0.528,0.472,0.0,0.7723,POS
That whole area was still a mess from the storm last year when we drove through in December.,0.0,0.865,0.135,-0.3612,NEG
"Praying for my family up there and everyone else as well 🙏",0.338,0.662,0.0,0.5574,POS
please lmk your family is safe. 😍,0.565,0.435,0.0,0.6369,POS
lasi I heard during the eye of the storm they were ok. Shaken and devastated but safe ✝️🙏,0.247,0.588,0.165,0.4215,POS
up where?,0.0,1.0,0.0,0.0,NEU
Going on 21 hours straight rain in Dover…..that’s enough Debby!!!,0.236,0.764,0.0,0.4168,POS
"I saw another weather forecast last night which interrupted a show I was watching. All I could say was “you have it all wrong, you should be watching Denis”. They had it turning right early. That’s why I trust only Denis with the accurate, RULE#7 forecast. Thanks Denis for getting us through another bumpy night. You are the best.",0.161,0.757,0.082,0.7269,POS
Rough night and morning right now in Gainesville area. No lights. Strong gusts,0.2,0.667,0.133,0.2732,POS
Prayers,0.0,1.0,0.0,0.0,NEU
here in lakeland as well,0.344,0.656,0.0,0.2732,POS
same south of you,0.0,1.0,0.0,0.0,NEU
When will it stop in St. Pete?! 😤,0.0,0.707,0.293,-0.3595,NEG
it’s below us now? Bout how far? Looks pretty calm in the ocean.,0.348,0.652,0.0,0.7059,POS
"It sure wasn't a fun Storm,we got some clean up to do,still we were very blessed, no damage to our house and never lost power,the yard is a mess!!!",0.285,0.451,0.264,0.2232,POS
"Thank you and your team ,as used , got us thru it well informed!",0.308,0.692,0.0,0.5983,POS
Praying everyone stays safe and there is minimal damage.,0.37,0.411,0.219,0.296,POS
Praying for all in the path Steinhatchee has a special place in my heart,0.321,0.679,0.0,0.6369,POS
Glad it wasn't bad for us . Prayers for the ones getting the Cat 1. These storms and hurricanes are always so unpredictable and last minute twists and turns.,0.184,0.816,0.0,0.705,POS
"Praying for all those impacted by this storm. 🙏",0.263,0.737,0.0,0.3612,POS
Does anyone know how 275 and I4 is from Riverview to st Pete? Or specifically Howard Franklin Bridge?,0.0,1.0,0.0,0.0,NEU
the HF is closed Northbound due to water on the bridge. Here is live footage of southbound: https://www.youtube.com/live/f2vRYNmwlLo?si=D6tcfzOjkENE8C0J,0.0,1.0,0.0,0.0,NEU
Still raining and windy here in new port richey. Praying for everyone,0.185,0.815,0.0,0.3612,POS
Wondering about my place in River Crossing. I am out of state until Wed. when I fly back into home there.,0.0,1.0,0.0,0.0,NEU
"Thank you, Sweetheart. My daughter used to live in Water's Edge. In PA now where I am on a short trip. That is very kind of you.",0.228,0.772,0.0,0.7783,POS
"Thank you. I will be flying in Wednesday. So glad the storm is over in our part of the country. Sorry for those that experienced flooding or other negative impact from the storm. I pray that those farther on up the way are spared, too. Thank you for caring and sharing with me.",0.257,0.666,0.077,0.8908,POS
"Thank you. Folks like you and my wonderful peeps at First Baptist, Elfers and my Lord Jesus are such Blessings. All of you bring encouragement!",0.433,0.567,0.0,0.9359,POS
brutal this morning in npr,0.0,0.494,0.506,-0.6249,NEG
I know and my husband had to drive to the usps for work in it at 3 something this morning. :(Was horrible,0.0,0.844,0.156,-0.5423,NEG
my father was a postal employees for 40 years. “Rain or shine”. Etc.,0.0,1.0,0.0,0.0,NEU
Going to continue most of the day.,0.0,1.0,0.0,0.0,NEU
Thank you for keeping us updated Denis Phillips,0.263,0.737,0.0,0.3612,POS
Ok Denis! I am over this already!!!! Could you turn it off for the rest of the season???? Lol ! Wish you you were on now. I swear we had a tornado. In Lakeland off saddle creek road.,0.24,0.731,0.029,0.8634,POS
you probably did lots of warnings posted during the night,0.0,0.804,0.196,-0.296,NEG
"It is pouring in Clearwater again, Debbie needs to take her tails with her.",0.0,1.0,0.0,0.0,NEU
"Still coming down good in north port !",0.347,0.653,0.0,0.4926,POS
"N. WW. 6am got slammed with rain and intense winds. Just before 7 it wasn’t raining 😮Threw clothes on and rushed Dog #1 out successfully ! *almost * got my old boy walked before skies opened again - partial success, lol. Still pouring here but winds seem to be easing. ☕️Time for me now !!",0.191,0.809,0.0,0.8349,POS
same here in Forest Hills…. 2 dogs successfully outside before it started pouring again. Brutal! 🐶,0.163,0.612,0.224,-0.2942,NEG
"It's pouring in Sun City, Ruskin, and Big Bend Road at Balm Riverview...rain is still coming down sideways. Debby is a baddy!!
I've been in my house almost 5yrs and have never seen this much water in the pond connector",0.0,1.0,0.0,0.0,NEU
I obviously and going to need one of those now. My yards haven't flooded in uears,0.0,1.0,0.0,0.0,NEU
"Thanks so much for the updates. We’re in Orlando, over from England-what can we expect here? Currently pouring down, bit of thunder, lightening-will it get worse? Do we need to think about stocking up on goods??",0.071,0.83,0.099,-0.2869,NEG
I doubt you'd find any goods left anywhere anyways. Plus you'll probably encounter flooded roads. Best you stay inside until it's over. I hope you have food or snacks to tie you over. It'll be over soon.,0.171,0.769,0.06,0.6808,POS
I’m from England came last night . Went to supermarket and it’s wet and windy but will settle been here like this before,0.134,0.866,0.0,0.5023,POS
thanks. Yeah-we made a run for it coming out of Target! 😂 just when we think we left all the rain at home!,0.148,0.852,0.0,0.5399,POS
your right ha ha I thought yesterday and today maybe wet but ok tomorrow x,0.383,0.617,0.0,0.6369,POS
you lucky your flight got to Orlando. Lots of flights delayed then cancelled last night after people waited for hours!,0.117,0.709,0.175,-0.1007,NEG
Yes I thought that very sad for people who can’t get here,0.179,0.596,0.225,-0.1761,NEG
it’s pretty much over with in that area. Just some lingering rain bands.,0.211,0.789,0.0,0.4939,POS
"Calm, clear, concise, and continuous factual updates... it's the Denis Phillips way.",0.329,0.671,0.0,0.5994,POS
Still pouring down here in Sarasota,0.0,1.0,0.0,0.0,NEU
it’s ridiculous. I’ve never seen this much rain in Sarasota. My backyard looks like my swimming pool. ,0.125,0.75,0.125,0.0,NEU
yep!,1.0,0.0,0.0,0.3595,POS
"same here in Plant City",0.0,1.0,0.0,0.0,NEU
It has been much worse than we thought here in St Pete. Still raining very hard and windy.,0.0,0.769,0.231,-0.5849,NEG
"We're getting hammered in Sarasota County",0.0,1.0,0.0,0.0,NEU
"Sarasota is a mess with flooding central part of Sarasota main arteries are an issue. Lake Sarasota, Sarasota Springs with major water. Your news people are on Lido, much deeper water elsewhere. It sounds like Philippi Creek is involved from resident reports.",0.057,0.886,0.057,0.0,NEU
Still pouring and flooded on our street in Largo!,0.0,1.0,0.0,0.0,NEU
girrrrlll we are underwater.,0.0,1.0,0.0,0.0,NEU
ugh!!!!! Your car okay?,0.506,0.494,0.0,0.471,POS
"yeah! Luckily our driveways and parking up on an uphill slant!",0.403,0.597,0.0,0.7256,POS
I need the rain to stop my dog is over it! Keeping me up all night. Still raining near ppark,0.0,0.878,0.122,-0.3595,NEG
mine too!!!,0.0,1.0,0.0,0.0,NEU
I with you.... dog has legs crossed!,0.0,1.0,0.0,0.0,NEU
Vero Beach native here.. many hurricanes dealing with dogs not going out to pee so .. I've started using a kiddie pool w a couple pieces of sod in it. It's perfect & after the storm just wash out the pool! Dogs had no problem w it 👍,0.077,0.814,0.108,-0.126,NEG
my dog too!,0.0,1.0,0.0,0.0,NEU
We adopted our girl last August. She slept with me last night for the first time! She is terrified of storms.,0.0,0.823,0.177,-0.6476,NEG
palm harbor too,0.0,1.0,0.0,0.0,NEU
Reminds me of tropical storm Debby 2012 it sat over us for a couple of days and the rain continuously nonstop,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips for staying up with us and getting us through another one RULE #7,0.135,0.865,0.0,0.3612,POS
I am currently in Clearwater and it’s bad 😢 we are safe in our hotels but the winds and the rain are very crazy,0.073,0.711,0.217,-0.5913,NEG
NE Florida winds picking up. Hubby was sent home he said the rain is dumping out there. Pray Debbie decipitates before she gets here! Praying for all in the middle of it now 🙏,0.136,0.802,0.062,0.4199,POS
How many inches of rain has Wesley Chapel received so far? I'm draining my pool here and it's overflowing.,0.0,1.0,0.0,0.0,NEU
hey Dan! Not sure if there’s some kind of map that shows this. It seems it’s been raining since noon yesterday non stop (although I know there are pauses between the rain bands). We found a roof leak last night 😭,0.0,0.836,0.164,-0.7054,NEG
last I saw was up to 5” in most of the WC area.,0.0,1.0,0.0,0.0,NEU
Update on Crystal River please.,0.365,0.635,0.0,0.3182,POS
it’s high tide right now and the waters are rising. Some areas are starting to flood now.,0.0,1.0,0.0,0.0,NEU
"How is Gainesville? I have two kids in college over there. I know they have no power.",0.0,0.864,0.136,-0.296,NEG
the rain is very very heavy right now with about 25-30 mph winds steady,0.0,1.0,0.0,0.0,NEU
"I’m five mins from campus, I have power. The rain has not let up really. I’m not hearing of any flooding or power outages near campus",0.0,1.0,0.0,0.0,NEU
Denis when are you going Live again?,0.0,1.0,0.0,0.0,NEU
"Did the track shift at all?",0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
Denis Phillips here’s something you don’t see everyday… a catfish in our condo parking lot in Oldsmar 😂😂 It was struggling to get back to deeper water so my husband gently scooted her along to the nearby drainage ditch.,0.078,0.856,0.067,0.1189,POS
walking catfish! My old apartment that didn’t even have a pond had them “walking” on their fins on the sidewalks after a heavy rain.,0.0,1.0,0.0,0.0,NEU
They do!,0.0,1.0,0.0,0.0,NEU
"""Walking"" catfish, probably. I've had them before down the curb across the street in front of my house from the preserve a ways over across the street. They travel on those fins!",0.0,1.0,0.0,0.0,NEU
"wow.",1.0,0.0,0.0,0.5859,POS
where in Oldsmar was this?,0.0,1.0,0.0,0.0,NEU
Eastlake Woodlands a little after 7 am,0.0,1.0,0.0,0.0,NEU
oh wow. I live in here also.,0.432,0.568,0.0,0.5859,POS
I thought people were joking in the comments - until I came into work this AM and my coworkers were showing us videos of them pushing catfish back into the storm drains lol,0.144,0.856,0.0,0.5719,POS
"Yep, been there, done that!",0.384,0.616,0.0,0.3595,POS
"Why does this band keep drenching us over Sarasota? Doesn’t seem to be moving at all.",0.0,1.0,0.0,0.0,NEU
its a hurricane......,0.0,1.0,0.0,0.0,NEU
because there’s a TS in the gulf. Brilliant.,0.388,0.612,0.0,0.5859,POS
Isn't that where debby of 2012 hit?,0.0,1.0,0.0,0.0,NEU
Anyone know how Gandy is from Tampa heading to st Pete?? Daughter has to drive it this am and I am worried.,0.0,0.887,0.113,-0.3736,NEG
I came across from st Pete to Tampa at about 7 and it was fine. Just lots of traffic,0.101,0.899,0.0,0.2023,POS
Prayers everyone is safe 🙏,0.492,0.508,0.0,0.4404,POS
"It’s almost 8am why is there no coverage on the storm ?! 😭",0.0,0.815,0.185,-0.3595,NEG
"Well,all this people that wanted rain,I hope you're happy",0.485,0.515,0.0,0.765,POS
"I have never heard of that place.",0.0,1.0,0.0,0.0,NEU
Thank you for all you do to keep us informed. Take care and get some rest!,0.3,0.7,0.0,0.7177,POS
"Lakleland here I have SO MUCH WATER in my yards all under water now, thank goodness for old sandbags surrounding the ac unit. It's still freaking raining I live now in a house boat So thankful not to be in its path but these rain bands!!!",0.148,0.812,0.04,0.6396,POS
"Do not underestimate a Cat 1 storm. I have lived in High Springs just west of the landfall for last 20 years, and this is the worst storm damage we have experienced in that time period.",0.048,0.766,0.186,-0.7515,NEG
A lot of wind here in Hudson right now.,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
We are not in a flood zone and we are on high enough land never flooded before and we had water all the way up to our doors it was very scary not looking forward to any other storms thank you for the great information,0.129,0.802,0.068,0.4779,POS
my friend’s family lives in Venice and I am worried. Any idea how that area is affected?,0.0,0.787,0.213,-0.4215,NEG
that is far south for me I am not sure about Venice,0.0,0.836,0.164,-0.2411,NEG
I think all of Florida is a flood zone.,0.0,1.0,0.0,0.0,NEU
after this storm I believe it,0.0,1.0,0.0,0.0,NEU
Pouring and windy in Pinellas Park. It's also thundering.,0.0,1.0,0.0,0.0,NEU
Prayers 🙏🙏🙏🙏 for all in the path of this storm. Still raining here in Polk County. Please be safe.,0.234,0.766,0.0,0.6369,POS
We are flooded in Parrish. The photo is the fence line in our front yard. The water is going over the road. We’ve got about a 6ft area of grass around the house to potty dogs. This is crazy!,0.0,0.932,0.068,-0.4003,NEG
Just lost electric in Citrus Park Tampa,0.0,0.723,0.277,-0.3182,NEG
So much rain in Nokomis! It was blowing so hard sideways I developed new leaks where there was never a problem before. Dogs were scared first thing this morning with lightening and thunder. I’m so over this.,0.057,0.814,0.129,-0.4215,NEG
Aaaaand it’s pouring again!,0.0,1.0,0.0,0.0,NEU
Thank you for the great job you did keeping us informed. Prayers everyone is safe 🙏,0.442,0.558,0.0,0.8591,POS
New Port Richey,0.0,1.0,0.0,0.0,NEU
Praying for all the Steinhatchee Locals 🙏🏻,0.294,0.706,0.0,0.3612,POS
"What a storm!!!",0.0,1.0,0.0,0.0,NEU
those poor people the stress of waiting for it to hit then being in the middle of it all.. it's just too much to bear...,0.0,0.796,0.204,-0.7096,NEG
"I hope everyone is ok 🙏🏼",0.63,0.37,0.0,0.6249,POS
Never saw so much strange widespread coverage in all my life 69 years in Florida,0.0,0.871,0.129,-0.2682,NEG
"Tell her she can get the heck out of Pinellas Park now, this has been worse than Idalia…12 hrs without power and counting…",0.0,0.876,0.124,-0.4767,NEG
"Prayers for Crystal River area... Thanks for keeping us informed!",0.262,0.738,0.0,0.4926,POS
Yup... it's windy here. We are close to the eye.,0.0,1.0,0.0,0.0,NEU
I don't remember a storm parking like this..,0.333,0.667,0.0,0.3612,POS
"Sending Prayers to everyone in the path of this storm, So Sad🙏❤🙏",0.0,1.0,0.0,0.0,NEU
"For anyone wanting some normal morning news/show, NBC is broadcasting world news.",0.0,1.0,0.0,0.0,NEU
"No power just north of Chiefland, but we’re ok! Rain pounding on the roof all night!",0.178,0.737,0.084,0.4184,POS
