"Tropical Storm Watches and Warnings! What you need to know
We've got a lot to talk about. Tracking what should be Debby in the Gulf later this weekend.   That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
I’m going to paw patrol show at the mahaffey theater Sunday at 3 pm !!?! Will it be ok to drive on gandy bridge to st Pete ?!,0.125,0.875,0.0,0.5759,POS
How about Paw patrol show for Sunday ?!? My daughter is excited but it will be sad if we can’t go !!,0.063,0.738,0.199,-0.6894,NEG
“Perhaps the laws of physics cease to exist on your stove” 🙃,0.0,1.0,0.0,0.0,NEU
Do you think my pizza place will still deliver on Sunday?,0.0,1.0,0.0,0.0,NEU
Gotta be in court Monday... We good or can I have another day of freedom?,0.372,0.628,0.0,0.7964,POS
Will this have any impact on Saturday afternoon in lee county?,0.0,1.0,0.0,0.0,NEU
Do you think the storm surge will be the same as the last December storm?,0.0,1.0,0.0,0.0,NEU
Maybe I missed it. What about Saturday evening?,0.0,0.732,0.268,-0.296,NEG
Clarify please the worst track and the surge Madeira and TI,0.149,0.584,0.266,-0.4215,NEG
If Denis isn’t worried…I’m not worried,0.274,0.726,0.0,0.2235,POS
Likelihood of rain totals overperforming current estimates in Tampa and being in the 6–10 inch range?,0.0,1.0,0.0,0.0,NEU
What do you predict for polk county,0.0,1.0,0.0,0.0,NEU
Flying into Orlando August 7th to the 13th so this storm will be gone but the one coming behind will it be bad ? Sorry for asking never been to Florida I'm coming from Boston,0.0,0.838,0.162,-0.7351,NEG
"Supposed to be flying into Clearwater Sunday morning! Opinion?",0.0,1.0,0.0,0.0,NEU
Should I reschedule the house showing in Safety Harbor on Sunday am? 🤣,0.219,0.781,0.0,0.4215,POS
I can't understand these people who keep asking about specific areas listen to him watch what he's doing don't be a child,0.0,1.0,0.0,0.0,NEU
I know. Annoying.,0.0,0.27,0.73,-0.4019,NEG
"Some are teasing, some need to make their own decisions. There’s only so much Denis can do.",0.0,0.925,0.075,-0.0772,NEG
I have a event tomorrow night around wpb/lw area will there be a lot of rain fall so I know to cancel thank you,0.11,0.791,0.099,0.0609,POS
Are businesses likely to be open Monday?,0.0,1.0,0.0,0.0,NEU
When should my kid drive from Trinity to St Pete on Sunday?,0.0,1.0,0.0,0.0,NEU
"Rain with a name...love it",0.0,1.0,0.0,0.0,NEU
Chances of canceling an outdoor concert on Saturday in Clearwater?,0.167,0.833,0.0,0.2023,POS
"We are flying into Tampa around 5 pm tomorrow, any thoughts ? And thank you!",0.189,0.811,0.0,0.4199,POS
What about my travel trailer north of Gainesville in Waldo?,0.0,1.0,0.0,0.0,NEU
I missed: Flights on Sunday morning from Cincy?,0.0,0.732,0.268,-0.296,NEG
hey from crystal river...please stop saying idalia...we ain't over that yet 🤦‍♀️,0.0,0.833,0.167,-0.296,NEG
Flying into Tampa Airport Sunday around 6:30 pm- maybe? Whats your take on that or should I just rent a car to drive home!??,0.0,1.0,0.0,0.0,NEU
"Loved the little Debbie , sent it to all my friends up north.",0.412,0.588,0.0,0.7906,POS
