A Tornado Warning has been issued for parts of Hardee County. Download the ABC Action News App for the latest information.,Pos,Neu,Neg,Compound,Overall Sentiment
it says on fb u just posted this (sunday),0.0,1.0,0.0,0.0,NEU
"I am getting notifications for old posts from storm Debby. What is going on Denis Phillips, do you know? Very weird!.",0.0,1.0,0.0,0.0,NEU
So glad none happened,0.523,0.477,0.0,0.5095,POS
Getting a lot of repetitive post from last week....🤷🏼‍♂️,0.0,0.778,0.222,-0.25,NEG
"same.",0.0,1.0,0.0,0.0,NEU
same!,0.0,1.0,0.0,0.0,NEU
Denis... what time are you going live today?,0.0,1.0,0.0,0.0,NEU
