"Hurricane season is cranking up!  All NEW Rule #7 logos. Tees, Tanks, Hoodies, Hats and more.  Lots of new colors including your favorite teams. Just click on the link. Proceeds benefit Children's Miracle Network and other local charities. 
Clothing Link:
https://rule-7-stuff-2.creator-spring.com/.../blue-and...
Cups, Mugs and Tumblers Link:
Rule7shop.etsy.com",Pos,Neu,Neg,Compound,Overall Sentiment
"Two things that you can count on: #1 - Many people will benefit from your purchase. And #2 - Everything you order will be quality you can count on, and you will not be disappointed!",0.159,0.841,0.0,0.7046,POS
Love the design and knowing the money goes to the Children Miracle Network.,0.421,0.579,0.0,0.8402,POS
very cool. Checking them out!,0.419,0.581,0.0,0.4376,POS
Got ours ready! #usf #uf #rutgers,0.358,0.642,0.0,0.4199,POS
"A newt here, what is rule number seven",0.178,0.822,0.0,0.0772,POS
that’s rule # 7,0.0,1.0,0.0,0.0,NEU
don’t freak out until Denis Phillips starts to freak out,0.0,0.58,0.42,-0.7003,NEG
I got mine! #ucf #goknights #rule7 #denisphillips,0.0,1.0,0.0,0.0,NEU
we want v-neck t shirts.,0.302,0.698,0.0,0.0772,POS
A wallplaque would be cool,0.434,0.566,0.0,0.3182,POS
How do local charities get to apply to be a part of the proceeds? Christmas for Fosters Give Joy Collective,0.292,0.708,0.0,0.7906,POS
Diet Dr. Pepper cans not for sale?,0.0,1.0,0.0,0.0,NEU
I LOVE my rule #7 shirt! Perfect Bolts colors 😉 My patio table is awesome too!,0.548,0.452,0.0,0.9362,POS
