"Hurricane Debby's Eastern eyewall is making landfall North of Cedar Key. Winds are still 80 mph in a small area. Fortunately,  the storm never rapidly intensified in the very warm Gulf water.",Pos,Neu,Neg,Compound,Overall Sentiment
"I keep saying, “here we go again” every time I hear the rain hit my house. It just keeps going.🥲",0.0,1.0,0.0,0.0,NEU
"same. The noise for sure shot my nerves.",0.237,0.619,0.144,0.2263,POS
"Thank you for your coverage. Appreciate it.",0.51,0.49,0.0,0.6369,POS
"My parking lot is flooded 🤗✨",0.0,1.0,0.0,0.0,NEU
How is it in St Pete?,0.0,1.0,0.0,0.0,NEU
flooding in parts of St pete,0.0,1.0,0.0,0.0,NEU
"just got another tornado warning. Still raining, still wind gusts. I'm about 5 miles north of Tropicana Field. Take care if DOT says don't drive in this DON'T.",0.105,0.817,0.078,0.2023,POS
"we are good in St Pete but we are on higher ground",0.151,0.849,0.0,0.2382,POS
"The flooding is incredible in some of the pictures in Pinellas, places flooded that I have never seen flooding before since I have moved here in 83. People going out today, check your route to make sure you can even get where you are going, There are abandon cars in the floodwaters blocking roads.",0.04,0.863,0.097,-0.4939,NEG
"no thanks to over building, cementing everything in, nonstop building, etc. where is water supposed to go besides the surge? The ripping up of every inch of land. It's only going to get worse.",0.074,0.791,0.135,-0.34,NEG
yes!,1.0,0.0,0.0,0.4574,POS
"This has been a beast of a storm . I’m glad it didn’t rapidly intensify",0.214,0.786,0.0,0.4588,POS
"Non stop rain and very very windy in Sarasota",0.0,0.784,0.216,-0.296,NEG
"same in Nokomis.",0.0,1.0,0.0,0.0,NEU
"thought I was going to go to work today but, I’m not chancing my car stalling out on flooded roadways or hydroplaning. Going to stay home and enjoy this very windy and rainy day and be safe.",0.184,0.724,0.092,0.7273,POS
"Yes. Heavy rain, lightning, thunder and tornado watch still in Nokomis",0.213,0.787,0.0,0.4019,POS
Sarasota winds blowing! RAIN!!Lightening and distant thunder. Is the inland stream flooding over?,0.0,1.0,0.0,0.0,NEU
"I honestly don’t know. I know that the entrance to my condo is flooded and, all its surrounding streets are as well. I live near the old greyhound racing track and, the airport.",0.154,0.846,0.0,0.6249,POS
"Dennis, why on earth the constant notifications of flash flash flooding for Spring hill last night What are we supposed to do get in our canoes and paddle? Created so much anxiety for situation that nothing could be done in.",0.048,0.905,0.047,0.0056,NEU
it's so you stay IN or take precautions if necessary.,0.0,1.0,0.0,0.0,NEU
for your safety,0.583,0.417,0.0,0.4215,POS
Can't swim in the dark 2 feet of water get real!,0.0,1.0,0.0,0.0,NEU
Thank you Dennis! Really appreciate your updates!,0.549,0.451,0.0,0.725,POS
"Absolutely crazy rain in Bradenton!",0.0,0.573,0.427,-0.4561,NEG
"Yes! It has not let up. As others have said, I don't ever remember this much rain for just a tropical storm. It's windy right now also.",0.111,0.889,0.0,0.4574,POS
"Rain finally letting up, after 24+ hours, here in Sarasota👍",0.0,1.0,0.0,0.0,NEU
it's still pretty windy and still raining in my area of Sarasota,0.225,0.775,0.0,0.4939,POS
"still raining and windy in Port Charlotte but not as bad",0.274,0.726,0.0,0.5824,POS
"everytime I say that it hits again.",0.0,1.0,0.0,0.0,NEU
Just woken up by thunder and lightning here in Sun City Center. So much rain and wind from this. Much more than Idalia.,0.0,1.0,0.0,0.0,NEU
What made it turn? Did it wobble?,0.0,1.0,0.0,0.0,NEU
"yes, it wobbled all over Madeira Beach… While The eye may not have gone over us , right next to the eye went over us🙏4 All.",0.101,0.899,0.0,0.4019,POS
"Raining again here about 5 miles inland from AMI. But I did see where the new ""ponds"" have receded some. I believe we are to get another inch or two of rain today.",0.0,1.0,0.0,0.0,NEU
Anyone in South Tampa/Port Tampa?,0.0,1.0,0.0,0.0,NEU
"davis islands, water is super high and many islanders do not have power",0.245,0.755,0.0,0.5994,POS
bayshore by Inman is flooding - that’s the view looking towards tgh,0.0,1.0,0.0,0.0,NEU
"yup typical Bayshore",0.0,1.0,0.0,0.0,NEU
"Can't sleep",0.0,1.0,0.0,0.0,NEU
"s Tampa Davis Islands made out ok
Bayshore flooded as usual but mostly receded this am when I left 0600 for work",0.078,0.922,0.0,0.1531,POS
"yes. Dry here but I do have a tree down",0.209,0.791,0.0,0.2144,POS
"yup",0.0,1.0,0.0,0.0,NEU
very wet here,0.0,1.0,0.0,0.0,NEU
I am dry,0.0,1.0,0.0,0.0,NEU
Great job Dennis Phillips❤️,0.577,0.423,0.0,0.6249,POS
"How are things in Tallahassee? My daughter is at FSU all alone.",0.0,0.846,0.154,-0.25,NEG
"Johnny is there too🙏🏻",0.0,1.0,0.0,0.0,NEU
Really heavy rain and some wind and lightning in Ocala. Prayers for all and stay safe,0.162,0.838,0.0,0.4404,POS
yes it is windy as can be here in Ocala. Rain hasn't really stopped since about 1 pm yesterday. Praying now that the eye is going into land this mess hurries up and calms down.,0.227,0.703,0.07,0.6713,POS
"John T. is out in Paris right now too, so he'll see things when arriving back !!",0.0,1.0,0.0,0.0,NEU
it’s equally scary in Gainesville. I have horses and I’m very upset WEC didn’t offer us evacuation. This is far worse than Idalia for us.,0.0,0.696,0.304,-0.8479,NEG
are you ok? Are the horses?,0.339,0.661,0.0,0.3736,POS
not sure as they live 15 minutes from me and I can’t get to them til morning. Praying they are okay.,0.188,0.728,0.084,0.3481,POS
"they will be ok... i have horses and they are smarter in this
weather... Better than humans",0.296,0.704,0.0,0.7096,POS
Anyone been or heard about downtown Tampa? Are we flooded or ok to drive in?,0.155,0.845,0.0,0.3736,POS
"Craziest storm I've ever seen. Still pouring in valrico",0.0,0.87,0.13,-0.0516,NEG
"what county is Valicro in?",0.0,1.0,0.0,0.0,NEU
"Hillsborough",0.0,1.0,0.0,0.0,NEU
Currently in the Disney bubble and woke up with rain water inside the room. The wind is so hard it pushed water in.,0.0,0.922,0.078,-0.2183,NEG
"It hasn’t stopped raining here in East Lake since yesterday at 10am. Wow. 😮",0.228,0.659,0.114,0.4404,POS
"any idea how east lake rd is looking- flooding?",0.0,1.0,0.0,0.0,NEU
no. I haven’t been on the road since yesterday around 4-5pm.,0.0,0.804,0.196,-0.296,NEG
I have to get from lakeland to brandon( Bloomingdale) going down 60 for work. How is it over there because the wind sounds awful here?!,0.0,0.875,0.125,-0.5093,NEG
"same as there",0.0,1.0,0.0,0.0,NEU
"Brandon is rain and more rain, not to worry.",0.231,0.769,0.0,0.3412,POS
"Rain bands & thunder still coming through Tampa. I’m in Tampa Heights 5 min north of downtown Tampa off Florida Ave.
No power loss here",0.0,0.824,0.176,-0.5423,NEG
Debby has definitely overstayed her welcome here in Weeki Wachee. Geesh! Move along.,0.353,0.647,0.0,0.7177,POS
she sure has. How are you doing?,0.277,0.723,0.0,0.3182,POS
How is it in Port Richey??,0.0,1.0,0.0,0.0,NEU
The tide is supposed to be about halfway to low tide right now and there’s water in the road at the storm drains so the rest of today will be the possible surge event. Rain has stopped right now but logged almost 15” since yesterday morning. Wind was steady but never got over 42ish. Average was around 30 most of the time.,0.0,0.952,0.048,-0.25,NEG
Anyone on Anna Maria island? How is it there?,0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
"flooded everywhere, still raining and windy",0.0,1.0,0.0,0.0,NEU
How are things in appalachicola?,0.0,1.0,0.0,0.0,NEU
"Anyone in Deltona? How is it there?",0.0,1.0,0.0,0.0,NEU
Our power has been out for 10 hrs here in Dunedin. Its still down pouring rain. Yard is pretty flooded. This is the first time in 4 years we’ve had water close to the front and back doors.,0.082,0.918,0.0,0.4939,POS
"where are you in Dunedin? We are south of downtown, just off of Edgewater. We were without power for 6 hours yesterday and the rain was relentless. Flooding in your area?",0.051,0.949,0.0,0.1431,POS
we are off San Salvador backing up towards hammock park,0.109,0.891,0.0,0.0258,NEU
still no power or eta,0.0,0.645,0.355,-0.296,NEG
"So sorry to hear no ETA 😩",0.0,0.513,0.487,-0.4201,NEG
same here 😓,0.0,1.0,0.0,0.0,NEU
