"Tropical Storm Debby LIVE coverage
Let's do this. Bring your questions. That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
"driving from kentucky tonight arriving in clearwater tomorrow around 3, should i be okay or what can i expect?",0.106,0.894,0.0,0.2263,POS
"When would we expect this to die down or frizzle out ?
Will it go out to sea?",0.0,0.79,0.21,-0.644,NEG
Hey!!!!! I have north of 90 plants at home!!!! 🤣,0.0,1.0,0.0,0.0,NEU
Traveled to Anna Maria yesterday for the first time. Are we safe to stay on the island?,0.153,0.847,0.0,0.4404,POS
Yes,1.0,0.0,0.0,0.4019,POS
Look out for storm surge. Ask a local where it usually floods.,0.0,1.0,0.0,0.0,NEU
Thank you so much,0.455,0.545,0.0,0.3612,POS
thank you!!,0.755,0.245,0.0,0.4738,POS
It’s pouring here in Wesley chapel,0.0,1.0,0.0,0.0,NEU
"Is Tampa airport up and running? I heard it was which I’m shocked a little",0.0,0.839,0.161,-0.3182,NEG
Probably 20 phones gave that alert in the middle of our Sunday morning service 😂😂😂,0.136,0.864,0.0,0.296,POS
The wind was so bad in South regard that right behind my house. I had something fly in my yard. Looks like it was a potted plant from another house.,0.076,0.788,0.136,-0.4572,NEG
God bless the linemen,0.71,0.29,0.0,0.5994,POS
I’m gonna ride this one out in Ireland. Y’all stay safe,0.225,0.775,0.0,0.4404,POS
Haven't had much rain where I'm at in Hudson. Could be later. Not complaining.for sure.,0.0,0.877,0.123,-0.2411,NEG
Same in Port Richey,0.0,1.0,0.0,0.0,NEU
Do we think flights will be fine tomorrow in Orlando?,0.167,0.833,0.0,0.2023,POS
"Watching from Tally",0.0,1.0,0.0,0.0,NEU
Welp...water in the lower level of my house on AMI.,0.0,0.804,0.196,-0.296,NEG
Where are you? On the island? Poor Anna Maria gets the worst rain weather.,0.0,0.613,0.387,-0.8205,NEG
By what time will it be through live oak?,0.0,1.0,0.0,0.0,NEU
"It’s relatively calm here in the Valrico/Lithia area, should we expect any severe tropical weather here aside from rain?",0.105,0.776,0.119,-0.0772,NEG
"Still just gloomy looking in Live Oak",0.0,0.789,0.211,-0.1531,NEG
We’ll take a raincheck on that other thing,0.0,1.0,0.0,0.0,NEU
"Rain check, lol",0.583,0.417,0.0,0.4215,POS
"What are we gonna have in store for tomorrow",0.0,1.0,0.0,0.0,NEU
We’ve had worse afternoon and evening storms than this…. But feeling fortunate as Big Bend area may get worse.,0.209,0.56,0.231,-0.1531,NEG
"Sounds like he been drinking bruh 😂 🤣",0.333,0.667,0.0,0.3612,POS
When is the worst suppose to be in Bradenton ???,0.0,0.66,0.34,-0.6848,NEG
"From out of town , staying in Indian Rocks ? Do I have to worry about my car getting flooded ?",0.0,0.831,0.169,-0.504,NEG
Expected arrival time for crystal river ?,0.0,1.0,0.0,0.0,NEU
"Will this frizzle up and dissappear by the 10th?
I'm flying over to Charlotte Douglas, then to Orlando on August 10th. Panic mode",0.0,0.87,0.13,-0.5106,NEG
Fox13 showed power lines burning a front yard in Original Carrollwood,0.204,0.796,0.0,0.3182,POS
"He the best y’all do Delulu 😭😭😭😭",0.412,0.588,0.0,0.6369,POS
Hey Denis! Do you expect any issues with a flight coming from Connecticut to Ft Lauderdale? I’m expecting my daughter tomorrow night around 11pm,0.0,1.0,0.0,0.0,NEU
Should I water my grass today?,0.0,1.0,0.0,0.0,NEU
Lol,1.0,0.0,0.0,0.4215,POS
Yes.. 2 hours per zone,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
"Once this goes through Palm Harbor, will we be done with Debby for the most part? Because Debby has been a ""downer"" for most of the weekend.",0.0,1.0,0.0,0.0,NEU
Debby doesn't have suspenders . . We need suspenders for tropical storms.,0.0,1.0,0.0,0.0,NEU
"suiting up as we speak",0.0,1.0,0.0,0.0,NEU
"will the storm affect the seffner area more than just a little rain?",0.0,1.0,0.0,0.0,NEU
Hi Denis. What about Jax/Duval county tonight into tomorrow morning?,0.0,1.0,0.0,0.0,NEU
"It’s not even raining sideways. Just a normal rainy day.",0.0,0.86,0.14,-0.0772,NEG
It has been raining on and off in port richey,0.0,1.0,0.0,0.0,NEU
Less than one inch in Timber Oaks,0.0,1.0,0.0,0.0,NEU
"I know Etsy is needed. But my OCD is needing you to close some tabs. 😬😂 Thanks for Rule #7. Worrying about tabs, not Hurricanes.",0.133,0.76,0.107,0.1901,POS
When do we think it will ease up here in Cortez FL. Winds are at the highest. We are pretty flooded,0.231,0.769,0.0,0.6908,POS
Hey! From Wesley Chapel im late 😂,0.0,1.0,0.0,0.0,NEU
When is the wirst for Sarasota ??!,0.0,1.0,0.0,0.0,NEU
"When is the high tide for Oldsmar?",0.0,1.0,0.0,0.0,NEU
" 5am and at noon",0.0,1.0,0.0,0.0,NEU
xoox,0.0,1.0,0.0,0.0,NEU
"How close will the eye pass pinellas?",0.0,1.0,0.0,0.0,NEU
"Good question I would love to know",0.64,0.36,0.0,0.7964,POS
"Far enough away!",0.0,1.0,0.0,0.0,NEU
nowhere close,0.0,1.0,0.0,0.0,NEU
Raining nonstop since 6:30 am this morning.,0.0,1.0,0.0,0.0,NEU
We’ve had that in my area over 301 in Riverview next to Gibsonton,0.0,1.0,0.0,0.0,NEU
The wave pool off the Cape has been turned on. Stay prepared Florida. TY Dennis for your years of being there for us,0.199,0.801,0.0,0.6408,POS
Thank you for all you do for us,0.263,0.737,0.0,0.3612,POS
We had more rain with random storms. Didn’t even have to drain pool yet,0.0,1.0,0.0,0.0,NEU
Where do you live? We’ve dumped about 6” already.,0.0,0.748,0.252,-0.4019,NEG
"You are Lucky!
We drained about 6” in the morning!
And we have to drain again in Bradenton!
I hope it will hold up until the morning!",0.212,0.711,0.077,0.6562,POS
What should we expect around Jacksonville.,0.0,1.0,0.0,0.0,NEU
I'm in Cortez FL. It's been bad since 8am but this is def the worst. We are on bay and our roads and grass are covered,0.0,0.752,0.248,-0.836,NEG
Do you guys think the interpreter is actually legit this time,0.0,1.0,0.0,0.0,NEU
I only listen to Denis Phillips ! He is the best!,0.374,0.626,0.0,0.6988,POS
I love seeing you have loads of tabs open across your screen. 😂 I feel seen.,0.259,0.741,0.0,0.6369,POS
"Where da heat lightning at? 😂🤦‍♀️",0.0,1.0,0.0,0.0,NEU
My daughter is flying from Raleigh to Tampa tomorrow. Do you foresee those flights being cancelled?,0.0,0.882,0.118,-0.25,NEG
I’ve been keeping my eye on the flight radar some planes are flying are flights still allowed to takeoff in this weather??,0.0,1.0,0.0,0.0,NEU
"Thank you for the ASL interpretation",0.333,0.667,0.0,0.3612,POS
