On my way to the store to get storm snacks for work. #littledebbie #cosmicbrownies,Pos,Neu,Neg,Compound,Overall Sentiment
It’s a good thing us Debbie’s have a good sense of humor 😂😂😂😂😂😂😘…. And your welcome for all the little snacks too 😘,0.405,0.595,0.0,0.872,POS
me too I am letting it go as it is Debby not Debbie lol got to love the 50’s names,0.178,0.722,0.099,0.4344,POS
this here is the exact reason I cringe when people call me Debbie 😂,0.0,1.0,0.0,0.0,NEU
Just took this pic from my backyard pretty cool I think! Palm Harbor! ❤️,0.356,0.644,0.0,0.7256,POS
"I get it “Little Debbie’s” for the Debby named storm. No Debbie Downers allowed.
~ Debbie
(I don’t want a bad name so keep it on the down low)",0.043,0.767,0.19,-0.6597,NEG
My Winn Dixie has little Debbie buy one get one,0.0,1.0,0.0,0.0,NEU
I saw some double Little Debbie Oatmeal Crème Pies (individually wrapped) at Race Track this morning. Was very tempted to get one!!,0.0,1.0,0.0,0.0,NEU
"Mmmm, we got the Zebra Cake Rolls",0.0,1.0,0.0,0.0,NEU
Those are my favorites too. Hope the grocery store give u all for free. You deserve it,0.409,0.591,0.0,0.8402,POS
"I love most Little Debbie snacks, but not those.",0.271,0.729,0.0,0.3818,POS
"Cosmic Brownies sound highly delicious.",0.5,0.5,0.0,0.6115,POS
Oohhh… I loved the Swiss cake rolls!,0.456,0.544,0.0,0.636,POS
"Love little Debbie's, put in fridge n eat chilled, the best n top with Cool Whip",0.556,0.444,0.0,0.91,POS
"Swiss Rolls are the best!!!",0.559,0.441,0.0,0.7249,POS
Just look at all the excuses to buy junk food 😆 I’m baking organic brownies to switch it up😂,0.0,1.0,0.0,0.0,NEU
Omg these were my childhood favorite!! Adult life has me homemaking all the sweets 😫 they’re not the same.,0.298,0.702,0.0,0.7772,POS
"Denis we need to have a serious talk about your eating habits. Brownies and Dr Pepper are not a wonderful diet, and we non-weather knowing folk need you to live forever!😂",0.0,0.855,0.145,-0.5559,NEG
but it’s diet Dr Pepper. 😂😂,0.0,1.0,0.0,0.0,NEU
hey sometimes he eats bacon he makes in the microwave!!! Lolol,0.0,1.0,0.0,0.0,NEU
